kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel
scheme_a,double,local,local,10000,10000,3,1,1,1,1,1.570000000e-07,1.321877280e-01,3.818600000e-05,1.322260710e-01,1.322260710e-01,-1.000000000e+00,-1.000000000e+00,4.537683,4.538999,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,2,1.715000000e-06,1.343722490e-01,3.330400000e-05,1.344072680e-01,1.344072680e-01,-1.000000000e+00,-1.000000000e+00,4.464044,4.465208,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,3,1.319999998e-07,1.343834200e-01,3.698100000e-05,1.344205330e-01,1.344205330e-01,-1.000000000e+00,-1.000000000e+00,4.463604,4.464837,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,4,1.670000001e-07,1.328961720e-01,3.298600000e-05,1.329293250e-01,1.329293250e-01,-1.000000000e+00,-1.000000000e+00,4.513677,4.514803,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,5,2.219999999e-07,1.335406370e-01,3.576800000e-05,1.335766270e-01,1.335766270e-01,-1.000000000e+00,-1.000000000e+00,4.491804,4.493014,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,6,2.360000000e-07,1.316487630e-01,3.134800000e-05,1.316803470e-01,1.316803470e-01,-1.000000000e+00,-1.000000000e+00,4.556489,4.557582,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,7,1.310000000e-07,1.322141020e-01,9.703700000e-05,1.323112700e-01,1.323112700e-01,-1.000000000e+00,-1.000000000e+00,4.534761,4.538094,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,8,1.690000000e-07,1.316754560e-01,3.431800000e-05,1.317099430e-01,1.317099430e-01,-1.000000000e+00,-1.000000000e+00,4.555465,4.556658,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,9,1.740000002e-07,1.314482770e-01,3.267500000e-05,1.314811260e-01,1.314811260e-01,-1.000000000e+00,-1.000000000e+00,4.563393,4.564533,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,10,1.882000000e-06,1.348567250e-01,3.447300000e-05,1.348930800e-01,1.348930800e-01,-1.000000000e+00,-1.000000000e+00,4.447967,4.449166,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,11,1.370000002e-07,1.339078270e-01,3.276100000e-05,1.339407250e-01,1.339407250e-01,-1.000000000e+00,-1.000000000e+00,4.479593,4.480694,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,12,1.279999999e-07,1.345254970e-01,3.511800000e-05,1.345607430e-01,1.345607430e-01,-1.000000000e+00,-1.000000000e+00,4.458953,4.460121,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,13,2.089999995e-07,1.349934870e-01,3.174900000e-05,1.350254450e-01,1.350254450e-01,-1.000000000e+00,-1.000000000e+00,4.443607,4.444659,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,14,1.740000002e-07,1.394425030e-01,3.475000000e-05,1.394774270e-01,1.394774270e-01,-1.000000000e+00,-1.000000000e+00,4.301771,4.302849,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,15,1.720000000e-07,1.344080660e-01,3.470100000e-05,1.344429390e-01,1.344429390e-01,-1.000000000e+00,-1.000000000e+00,4.462860,4.464018,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,16,1.860000003e-07,1.314934830e-01,3.064800000e-05,1.315243170e-01,1.315243170e-01,-1.000000000e+00,-1.000000000e+00,4.561894,4.562964,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,17,1.269999998e-07,1.325457900e-01,3.515400000e-05,1.325810710e-01,1.325810710e-01,-1.000000000e+00,-1.000000000e+00,4.525533,4.526738,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,18,1.792000000e-06,1.340082540e-01,2.915400000e-05,1.340392000e-01,1.340392000e-01,-1.000000000e+00,-1.000000000e+00,4.476302,4.477336,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,19,1.479999998e-07,1.344179900e-01,3.540800000e-05,1.344535460e-01,1.344535460e-01,-1.000000000e+00,-1.000000000e+00,4.462508,4.463688,-1.000000
scheme_a,double,local,local,10000,10000,3,1,1,1,20,2.320000001e-07,1.324769900e-01,3.297100000e-05,1.325101930e-01,1.325101930e-01,-1.000000000e+00,-1.000000000e+00,4.527954,4.529088,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,1,2.459999999e-07,1.412776420e-01,7.119200000e-05,1.413490800e-01,1.413490800e-01,-1.000000000e+00,-1.000000000e+00,8.489620,8.493913,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,2,1.001000000e-06,1.428061780e-01,6.544500000e-05,1.428726240e-01,1.428726240e-01,-1.000000000e+00,-1.000000000e+00,8.399090,8.402998,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,3,1.670000001e-07,1.421129700e-01,6.076900000e-05,1.421739060e-01,1.421739060e-01,-1.000000000e+00,-1.000000000e+00,8.440367,8.443986,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,4,1.480000000e-07,1.413107180e-01,1.840740000e-04,1.414949400e-01,1.414949400e-01,-1.000000000e+00,-1.000000000e+00,8.480869,8.491925,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,5,1.759999999e-07,1.406694670e-01,6.629200000e-05,1.407359350e-01,1.407359350e-01,-1.000000000e+00,-1.000000000e+00,8.526607,8.530636,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,6,3.060000000e-07,1.414459910e-01,1.475800000e-04,1.415938770e-01,1.415938770e-01,-1.000000000e+00,-1.000000000e+00,8.474943,8.483804,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,7,1.450000000e-07,1.413927710e-01,6.487400000e-05,1.414577900e-01,1.414577900e-01,-1.000000000e+00,-1.000000000e+00,8.483096,8.486997,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,8,1.359999999e-07,1.420047110e-01,5.993700000e-05,1.420647840e-01,1.420647840e-01,-1.000000000e+00,-1.000000000e+00,8.446851,8.450424,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,9,1.095000000e-06,1.418596310e-01,5.802400000e-05,1.419187500e-01,1.419187500e-01,-1.000000000e+00,-1.000000000e+00,8.455542,8.459066,-1.000000
scheme_a,double,local,local,10000,10000,6,1,1,1,10,3.000000004e-07,1.405364550e-01,6.134100000e-05,1.405980960e-01,1.405980960e-01,-1.000000000e+00,-1.000000000e+00,8.534966,8.538710,-1.000000
