kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,20,1.111000000e-07,3.382602545e-08,1.130620475e-02,7.459338588e-05,4.503795000e-05,1.474171256e-06,1.135135380e-02,1.135917300e-02,1.118558400e-02,7.498219435e-05,6.605572839e-01,1.113148829e-02,1.114282546e-02,1.096920405e-02,7.353518178e-05,6.606051221e-01,1.108633924e-02,1.109686375e-02,1.092560005e-02,7.312577643e-05,6.596025512e-01,2.198655147e-04,5.035661603e-06,6.530737580e-01,144.689793,145.279041,145.279041,-1,-1,-1.000e+00,1.674889260e-01,2.551029975e-04,4.852834990e-01,4.425215,1.198256005e-04,1.691895047e-06,3.281569,9.043040127e-05,4.800712118e-06,4.348272,9.609512968e-06,5.717670631e-07,2.769999992e-05,1.070856619e+00,0.000000000e+00,3.023659956e-04,0.000000000e+00,1.724260443e+00,2.750249987e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,6,1,1,1,20,1.115000000e-07,2.060020435e-08,1.082551240e-02,1.860534893e-05,9.207245000e-05,6.336461618e-06,1.091769635e-02,1.091954050e-02,1.088768900e-02,1.707619320e-05,1.564083910e-01,1.048636482e-02,1.049086153e-02,1.045535237e-02,1.939064534e-05,1.849129386e-01,1.039418087e-02,1.039867210e-02,1.034841633e-02,2.066075590e-05,1.987723339e-01,4.313315299e-04,6.156086452e-06,6.123059370e-01,307.182282,309.906621,309.906621,-1,-1,-1.000e+00,1.326053760e-01,2.584750036e-04,4.793979630e-01,4.479543,2.329455987e-04,3.312555595e-06,3.376033,1.886096001e-04,6.443754747e-06,4.169629,9.776331215e-06,4.646014176e-07,5.755899474e-05,9.372907270e-01,0.000000000e+00,5.316860043e-04,0.000000000e+00,1.550185909e+00,2.180119991e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,8,1,1,1,20,1.825000000e-07,3.270039431e-08,1.321947230e-02,2.051243731e-04,1.203496500e-04,1.239040090e-06,1.334000445e-02,1.321014200e-02,1.318532100e-02,2.054086128e-04,1.539794185e+00,1.279870345e-02,1.267221572e-02,1.265204176e-02,1.979567264e-04,1.546693594e+00,1.267817130e-02,1.255227232e-02,1.253071976e-02,1.976727384e-04,1.559158128e+00,5.413009991e-04,1.118599328e-05,6.135398510e-01,335.578312,338.768675,338.768675,-1,-1,-1.000e+00,1.335547900e-01,2.703620048e-04,4.796703580e-01,4.476999,3.099792004e-04,6.818597345e-06,3.382730,2.211247995e-04,6.214761124e-06,4.742010,1.019699920e-05,6.049036397e-07,2.863100235e-05,9.412017890e-01,0.000000000e+00,6.786439990e-04,0.000000000e+00,1.555448915e+00,1.853619979e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,20,1,1,1,20,1.511500000e-07,2.896327072e-08,3.205878985e-02,1.894501497e-04,3.447037000e-04,1.395032180e-04,3.240364470e-02,3.230996100e-02,3.210069800e-02,2.908612446e-04,8.976189168e-01,3.128561327e-02,3.121049975e-02,3.103037173e-02,1.749543988e-04,5.592167790e-01,3.094075842e-02,3.090195179e-02,3.071670341e-02,1.177198483e-04,3.804685286e-01,1.118031431e-03,1.677161045e-04,6.130530080e-01,343.206257,347.031514,347.031514,-1,-1,-1.000e+00,1.349991640e-01,3.059439987e-04,4.776267930e-01,4.496154,6.296847939e-04,1.183546740e-04,4.163099,4.769487992e-04,1.239898829e-04,5.496271,1.139783782e-05,1.234693059e-06,2.705399675e-05,9.366692300e-01,0.000000000e+00,1.640636998e-03,0.000000000e+00,1.551389929e+00,1.867600004e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,32,1,1,1,20,2.225000000e-07,2.770625048e-07,5.075343560e-02,2.494151322e-04,5.726469000e-04,2.242373248e-04,5.132630500e-02,5.118263700e-02,5.110582300e-02,4.161993857e-04,8.108890474e-01,4.942972384e-02,4.939108256e-02,4.927375322e-02,1.974412933e-04,3.994383905e-01,4.885685444e-02,4.888532829e-02,4.872304153e-02,7.958109431e-05,1.628862423e-01,1.896581161e-03,2.586449124e-04,6.085640570e-01,347.561504,351.636825,351.636825,-1,-1,-1.000e+00,1.351120810e-01,3.026159975e-04,4.731066350e-01,4.539111,1.012203202e-03,1.902871376e-04,4.143737,8.721999913e-04,1.889870109e-04,4.808879,1.217796822e-05,8.848954923e-07,2.514700464e-05,9.253436550e-01,0.000000000e+00,2.417460004e-03,0.000000000e+00,1.536350319e+00,2.225209973e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,20,2.268500000e-07,7.871352119e-08,1.100489515e-02,1.238362995e-04,4.425885000e-05,7.244367158e-07,1.104938085e-02,1.109071900e-02,1.083117300e-02,1.239343129e-04,1.121640340e+00,1.083168567e-02,1.087315745e-02,1.061881025e-02,1.225236389e-04,1.131159476e+00,1.078719997e-02,1.082910395e-02,1.057392025e-02,1.224307615e-04,1.134963306e+00,2.176951759e-04,3.470274882e-06,6.521605960e-01,148.694560,149.307767,149.307767,-1,-1,-1.000e+00,1.804821620e-01,2.575589970e-04,4.713768010e-01,4.555769,1.193856005e-04,1.282423441e-06,3.293664,8.905440010e-05,2.907944297e-06,4.415458,9.255175376e-06,6.718714268e-07,5.160200089e-05,9.007111570e-01,0.000000000e+00,2.827100034e-04,0.000000000e+00,1.553206065e+00,1.917690024e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,6,1,1,1,20,1.795500000e-07,1.709870727e-08,1.085006820e-02,3.255469988e-05,8.956920000e-05,1.273286861e-06,1.093981695e-02,1.093548050e-02,1.087751800e-02,3.270144847e-05,2.989213496e-01,1.052464798e-02,1.052576136e-02,1.046984166e-02,2.885123733e-05,2.741301882e-01,1.043489923e-02,1.043423986e-02,1.037910366e-02,2.865359844e-05,2.745939160e-01,4.151689652e-04,5.930183833e-06,6.205401920e-01,306.064913,308.697324,308.697324,-1,-1,-1.000e+00,1.410147570e-01,2.596430058e-04,4.792214240e-01,4.481193,2.319680005e-04,1.700966063e-06,3.390261,1.739520013e-04,5.038648928e-06,4.520971,9.248963364e-06,6.314902791e-07,5.511399650e-05,8.938129870e-01,0.000000000e+00,5.406599957e-04,0.000000000e+00,1.514948953e+00,1.875020025e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,8,1,1,1,20,1.364500000e-07,2.204415427e-08,1.347440740e-02,9.959458304e-04,1.200472000e-04,1.162182819e-06,1.359459105e-02,1.320969250e-02,1.316273100e-02,9.960527475e-04,7.326831266e+00,1.285418038e-02,1.267419700e-02,1.263116545e-02,2.232314814e-04,1.736645005e+00,1.273399673e-02,1.255279970e-02,1.251353645e-02,2.230776506e-04,1.751827454e+00,7.404106749e-04,9.191931774e-04,6.144474110e-01,334.130001,337.283524,337.283524,-1,-1,-1.000e+00,1.369474390e-01,2.644359993e-04,4.771921640e-01,4.500249,3.083296031e-04,2.841701958e-06,3.400828,4.218384109e-04,9.196168264e-04,2.485729,1.024266090e-05,6.421566179e-07,2.871800098e-05,9.347896980e-01,0.000000000e+00,6.501980024e-04,0.000000000e+00,1.549916025e+00,1.826949956e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,20,1,1,1,20,1.812000000e-07,9.529323170e-08,3.229487625e-02,3.925540396e-04,3.627953000e-04,1.782455628e-04,3.265785275e-02,3.254965350e-02,3.209315000e-02,4.435595457e-04,1.358201806e+00,3.143076853e-02,3.144061996e-02,3.100953568e-02,2.400206474e-04,7.636486747e-01,3.106779203e-02,3.103806400e-02,3.071183968e-02,1.819439574e-04,5.856353011e-01,1.227084216e-03,3.859680197e-04,6.197401000e-01,341.621244,345.612531,345.612531,-1,-1,-1.000e+00,1.371483600e-01,3.111189944e-04,4.821577730e-01,4.453902,6.059744030e-04,2.547434226e-05,4.325991,6.098416016e-04,3.873666755e-04,4.298559,1.126821128e-05,1.188982023e-06,2.765800309e-05,9.420965040e-01,0.000000000e+00,1.106078002e-03,0.000000000e+00,1.562970340e+00,1.931120059e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,32,1,1,1,20,2.692000000e-07,3.551692850e-07,5.090355260e-02,2.435708719e-04,5.837742500e-04,2.136118125e-04,5.148759605e-02,5.135618200e-02,5.114951400e-02,4.231944747e-04,8.219348098e-01,4.962936205e-02,4.956185139e-02,4.935811080e-02,2.318007972e-04,4.670638259e-01,4.904531860e-02,4.902528000e-02,4.879609680e-02,1.050852576e-04,2.142615455e-01,1.858233996e-03,2.578339682e-04,6.245606310e-01,346.163410,350.285607,350.285607,-1,-1,-1.000e+00,1.448257470e-01,3.086670040e-04,4.793756710e-01,4.479751,1.012983996e-03,1.882465772e-04,4.140543,8.331631988e-04,1.859936290e-04,5.034193,1.208680198e-05,9.193708159e-07,2.842799586e-05,9.400456980e-01,0.000000000e+00,2.417888994e-03,0.000000000e+00,1.567052646e+00,2.054560027e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk192),double,local,local,16384,16384,3,1,1,1,20,1.525000000e-07,4.643218030e-08,1.183009425e-02,3.904943749e-05,4.424995000e-05,5.160828651e-07,1.187449670e-02,1.187117550e-02,1.180542700e-02,3.910006055e-05,3.292776237e-01,1.165751132e-02,1.165765140e-02,1.158001316e-02,3.929039824e-05,3.370393316e-01,1.161310887e-02,1.161321640e-02,1.153635216e-02,3.923805156e-05,3.378772384e-01,2.169853766e-04,3.364984300e-06,6.473396720e-01,138.160941,138.689196,138.689196,-1,-1,-1.000e+00,1.678707910e-01,2.526680037e-04,4.791729720e-01,4.481646,1.195615999e-04,1.624406500e-06,3.288815,8.825440034e-05,2.980107475e-06,4.455483,9.169376350e-06,6.500269489e-07,2.721800411e-05,9.323866390e-01,0.000000000e+00,2.990399953e-04,0.000000000e+00,1.580052569e+00,1.754780023e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk192),double,local,local,16384,16384,6,1,1,1,20,2.733000000e-07,6.259821759e-08,1.135613485e-02,1.248699390e-04,9.074710000e-05,3.339823379e-06,1.144715525e-02,1.139131050e-02,1.135090600e-02,1.249065554e-04,1.091158045e+00,1.101639162e-02,1.095851378e-02,1.093017178e-02,1.241769322e-04,1.127201506e+00,1.092537122e-02,1.086902428e-02,1.084083176e-02,1.242225104e-04,1.137009516e+00,4.307636323e-04,7.669855118e-06,6.170271330e-01,292.402956,294.838995,294.838995,-1,-1,-1.000e+00,1.385112540e-01,2.560219946e-04,4.782163590e-01,4.490611,2.317423999e-04,2.181850870e-06,3.393561,1.894432001e-04,6.608076665e-06,4.151281,9.578032260e-06,5.780998728e-07,3.884799662e-05,9.413041100e-01,0.000000000e+00,5.648420047e-04,0.000000000e+00,1.558934933e+00,1.991509998e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_naive(blk192),double,local,local,16384,16384,8,1,1,1,20,1.466000000e-07,2.949826048e-08,1.366376690e-02,4.958812477e-04,1.199247000e-04,9.639895774e-07,1.378383820e-02,1.372126900e-02,1.348216500e-02,4.960117846e-04,3.598502662e+00,1.312756084e-02,1.303087613e-02,1.293608684e-02,1.791673256e-04,1.364818094e+00,1.300748954e-02,1.291056013e-02,1.281491184e-02,1.794044085e-04,1.379239306e+00,6.562773618e-04,5.075062731e-04,6.054884480e-01,327.171769,330.191870,330.191870,-1,-1,-1.000e+00,1.344995440e-01,2.643760017e-04,4.706843520e-01,4.562471,3.072480023e-04,1.985910763e-06,3.412800,3.390048034e-04,5.069899541e-04,3.093101,1.002455607e-05,4.689487577e-07,2.885799768e-05,9.114469160e-01,0.000000000e+00,6.300430032e-04,0.000000000e+00,1.517594265e+00,1.840130062e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
