kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,20,1.093500000e-07,1.060424446e-08,6.486017100e-03,2.483214011e-04,4.664095000e-05,5.199284369e-06,6.532767400e-03,6.639437000e-03,5.929909000e-03,2.489900579e-04,3.811402468e+00,6.314577525e-03,6.423075098e-03,5.715085127e-03,2.484586733e-04,3.934684028e+00,6.267827225e-03,6.376048088e-03,5.668352127e-03,2.477838074e-04,3.953264800e+00,2.181898753e-04,4.036143200e-06,6.400935050e-01,255.062628,256.965082,256.965082,16,128,-1.000e+00,1.607769130e-01,2.702159982e-04,4.776365730e-01,4.496062,1.197903994e-04,9.898231547e-07,3.282534,8.896480016e-05,3.920301717e-06,4.419905,9.434675657e-06,5.505760017e-07,2.029699681e-05,9.141574700e-01,0.000000000e+00,2.853010010e-04,0.000000000e+00,1.554556573e+00,1.782999971e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,6,1,1,1,20,1.471000000e-07,2.291609411e-08,1.579754825e-02,2.656867331e-04,9.242555000e-05,2.716320702e-06,1.589012090e-02,1.578261900e-02,1.565434100e-02,2.662749765e-04,1.675726561e+00,1.546778694e-02,1.535815499e-02,1.524636546e-02,2.623938846e-04,1.696389313e+00,1.537521429e-02,1.526596785e-02,1.515286446e-02,2.618456998e-04,1.703037726e+00,4.223339594e-04,9.918965397e-06,6.115030580e-01,208.253804,209.507680,209.507680,16,64,-1.000e+00,1.341622960e-01,2.680970065e-04,4.757547280e-01,4.513846,2.322591975e-04,5.412237559e-06,3.386010,1.791536011e-04,8.398209664e-06,4.389708,1.092116077e-05,3.782980247e-06,2.792399755e-05,8.950113100e-01,0.000000000e+00,5.672469997e-04,0.000000000e+00,1.507109539e+00,1.811530019e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,8,1,1,1,20,1.909000000e-07,5.766500353e-08,1.446313280e-02,7.823760052e-04,1.225234000e-04,2.436433640e-06,1.458584710e-02,1.441524200e-02,1.420952300e-02,7.824258512e-04,5.364281182e+00,1.386949980e-02,1.386338304e-02,1.368165496e-02,5.440210555e-05,3.922427365e-01,1.374678550e-02,1.374027157e-02,1.355881596e-02,5.429719494e-05,3.949810299e-01,7.163473023e-04,7.834676072e-04,6.164726540e-01,309.669949,312.434299,312.434299,16,32,-1.000e+00,1.347193470e-01,2.641869942e-04,4.801594720e-01,4.472438,3.097792000e-04,5.361309818e-06,3.384914,3.959535964e-04,7.838550737e-04,2.648230,1.061450599e-05,9.564967967e-07,6.908600335e-05,8.942058120e-01,0.000000000e+00,6.353060016e-04,0.000000000e+00,1.511382858e+00,1.904899982e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,20,1,1,1,20,2.092000000e-07,5.902595325e-08,3.389125830e-02,2.426758273e-04,3.373292000e-04,1.290129557e-04,3.422879670e-02,3.408595050e-02,3.401758600e-02,3.288222072e-04,9.606595584e-01,3.312753874e-02,3.299639055e-02,3.294709772e-02,2.494230371e-04,7.529175018e-01,3.279000034e-02,3.268947220e-02,3.264003372e-02,2.043265142e-04,6.231366637e-01,1.101257957e-03,1.151589574e-04,6.141448820e-01,324.123634,327.460144,327.460144,12,32,-1.000e+00,1.355330430e-01,3.121720001e-04,4.770131850e-01,4.501938,6.052463979e-04,2.495566236e-05,4.331195,4.845600009e-04,1.142153441e-04,5.409939,1.145155793e-05,1.305667999e-06,2.638799924e-05,8.948782930e-01,0.000000000e+00,1.062495001e-03,0.000000000e+00,1.510112058e+00,2.034479985e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,32,1,1,1,20,1.862000000e-07,1.704401732e-07,5.393267400e-02,3.691793889e-04,6.181904000e-04,2.854457713e-04,5.455105060e-02,5.438636150e-02,5.403466800e-02,6.031288977e-04,1.105622882e+00,5.263157011e-02,5.262517457e-02,5.228587264e-02,3.255066178e-04,6.184626776e-01,5.201319351e-02,5.203449631e-02,5.176771164e-02,1.505122330e-04,2.893731818e-01,1.919480488e-03,3.221372977e-04,6.176334200e-01,326.417569,330.298296,330.298296,7,32,-1.000e+00,1.416001980e-01,3.361909985e-04,4.744117620e-01,4.526624,1.020883200e-03,1.918581466e-04,4.108505,8.852143943e-04,2.650975351e-04,4.738179,1.338289413e-05,1.398701154e-06,2.905200381e-05,8.907452580e-01,0.000000000e+00,2.417408999e-03,0.000000000e+00,1.510825139e+00,1.984020055e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,3,1,1,1,20,1.427500000e-07,4.927033376e-08,5.852300000e-03,1.410385295e-05,4.489645000e-05,1.050183015e-06,5.897339200e-03,5.899493000e-03,5.864556000e-03,1.413150961e-05,2.396251790e-01,5.678103255e-03,5.681936502e-03,5.647715203e-03,1.327245267e-05,2.337479978e-01,5.633064055e-03,5.636960030e-03,5.600992203e-03,1.325161409e-05,2.352469981e-01,2.192359446e-04,3.037865972e-06,6.492627950e-01,283.653302,285.921254,285.921254,8,256,-1.000e+00,1.770690200e-01,2.911129995e-04,4.704574200e-01,4.564672,1.195008002e-04,1.127715816e-06,3.290488,8.999200016e-05,3.589738130e-06,4.369455,9.743144172e-06,6.597833811e-07,6.310900062e-05,8.911048220e-01,0.000000000e+00,2.839190056e-04,0.000000000e+00,1.540714645e+00,1.935140026e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,6,1,1,1,20,1.534000000e-07,2.148536834e-08,9.933909700e-03,4.747005473e-04,9.157725000e-05,2.140138359e-06,1.002564035e-02,9.913695000e-03,9.904021000e-03,4.748147912e-04,4.736004630e+00,9.504314669e-03,9.503624575e-03,9.493039857e-03,7.940442251e-06,8.354565824e-02,9.412584019e-03,9.411135674e-03,9.403967857e-03,6.972407036e-06,7.407537634e-02,5.213256813e-04,4.734978012e-04,6.080275510e-01,338.922435,342.225415,342.225415,8,128,-1.000e+00,1.392748970e-01,2.521170027e-04,4.672124800e-01,4.596375,2.320864007e-04,3.185535982e-06,3.388531,2.791951999e-04,4.739922326e-04,2.816782,1.004408070e-05,8.498547972e-07,3.080700117e-05,8.913395060e-01,0.000000000e+00,5.345900063e-04,0.000000000e+00,1.499932454e+00,1.955719999e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,8,1,1,1,20,2.069500000e-07,1.909663788e-08,1.347797805e-02,3.315520698e-04,1.228909500e-04,1.940825692e-06,1.360107595e-02,1.356960250e-02,1.337760900e-02,3.317600492e-04,2.439219150e+00,1.297852841e-02,1.298392205e-02,1.283686388e-02,9.049675506e-05,6.972805561e-01,1.285543051e-02,1.286225605e-02,1.271171188e-02,9.155782754e-05,7.122112907e-01,6.225475423e-04,3.529819764e-04,6.162786030e-01,330.928682,334.097508,334.097508,8,96,-1.000e+00,1.435358370e-01,2.669370006e-04,4.711719090e-01,4.557750,3.086799994e-04,2.463837433e-06,3.396968,3.036048010e-04,3.527922650e-04,3.453753,1.026274193e-05,5.721447855e-07,2.572399535e-05,8.773733840e-01,0.000000000e+00,6.335210055e-04,0.000000000e+00,1.494311232e+00,1.836480005e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,20,1,1,1,20,1.813000000e-07,8.461684544e-08,3.233732245e-02,2.765838544e-04,3.351204500e-04,1.273605714e-04,3.267262420e-02,3.257234600e-02,3.253109300e-02,4.003144913e-04,1.225229075e+00,3.157590672e-02,3.153163205e-02,3.151602387e-02,1.435651745e-04,4.546668310e-01,3.124060497e-02,3.122049618e-02,3.121177673e-02,7.650537488e-05,2.448908238e-01,1.096717477e-03,2.723577627e-04,6.078548960e-01,340.050987,343.700714,343.700714,6,64,-1.000e+00,1.359715170e-01,3.106529985e-04,4.702785200e-01,4.566408,6.390832037e-04,1.634782744e-04,4.101876,4.462991998e-04,1.104925048e-04,5.873728,1.133507373e-05,6.403393752e-07,2.437899821e-05,8.818976960e-01,0.000000000e+00,1.566038998e-03,0.000000000e+00,1.491343010e+00,2.058290047e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,32,1,1,1,20,2.400000001e-07,1.990551365e-07,5.245603070e-02,2.620099059e-04,5.999371500e-04,2.090916965e-04,5.305620785e-02,5.292064200e-02,5.286561300e-02,4.338749829e-04,8.177647827e-01,5.118585563e-02,5.113520987e-02,5.112304100e-02,2.094976517e-04,4.092881698e-01,5.058567848e-02,5.058555222e-02,5.057865524e-02,3.833884702e-06,7.578992349e-03,1.870352218e-03,2.609579575e-04,6.094376390e-01,335.637042,339.619230,339.619230,4,32,-1.000e+00,1.379406720e-01,3.129629986e-04,4.699095270e-01,4.569994,1.006507200e-03,1.875241676e-04,4.167187,8.513200074e-04,1.919583743e-04,4.926824,1.252501050e-05,9.771568551e-07,5.354300083e-05,8.767389110e-01,0.000000000e+00,2.373743999e-03,0.000000000e+00,1.488603837e+00,2.122489968e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
