kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,1,2.159999999e-07,5.719790000e-03,4.741400000e-05,5.767420000e-03,5.540558028e-03,5.492928028e-03,2.268619719e-04,290.695040,293.215700,293.215700,1.212159991e-04,9.567999840e-05,9.965974369e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,2,1.699999999e-07,5.707007000e-03,4.481400000e-05,5.751991000e-03,5.535800116e-03,5.490816116e-03,2.161908837e-04,290.944886,293.328478,293.328478,1.190079972e-04,8.739200234e-05,9.790884108e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,3,1.180000000e-07,5.708098000e-03,4.337900000e-05,5.751595000e-03,5.532777224e-03,5.489280224e-03,2.188177762e-04,291.103847,293.410551,293.410551,1.191359982e-04,8.966399729e-05,1.001778067e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,4,1.450000000e-07,5.704523000e-03,4.394200000e-05,5.748610000e-03,5.533526964e-03,5.489439964e-03,2.150830357e-04,291.064405,293.402013,293.402013,1.195520014e-04,8.483199775e-05,1.069903660e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,5,1.490000001e-07,5.702333000e-03,4.888700000e-05,5.751369000e-03,5.538092110e-03,5.489056110e-03,2.132768896e-04,290.824476,293.422531,293.422531,1.179199964e-04,8.675199747e-05,8.604895766e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,6,1.169999999e-07,5.712051000e-03,4.401400000e-05,5.756182000e-03,5.542786796e-03,5.498655796e-03,2.133952039e-04,290.578151,292.910267,292.910267,1.200639978e-04,8.300799876e-05,1.032320738e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,7,1.470000002e-07,5.683237000e-03,4.548200000e-05,5.728866000e-03,5.511997198e-03,5.466368198e-03,2.168688016e-04,292.201298,294.640368,294.640368,1.181759983e-04,8.867199719e-05,1.002080609e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,8,1.100000000e-07,5.680359000e-03,4.560500000e-05,5.726074000e-03,5.509330894e-03,5.463615894e-03,2.167431057e-04,292.342712,294.788793,294.788793,1.195840016e-04,8.835200220e-05,8.807101878e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,9,1.310000000e-07,5.688593000e-03,4.424600000e-05,5.732970000e-03,5.521464975e-03,5.477087975e-03,2.115050255e-04,291.700254,294.063697,294.063697,1.186560020e-04,8.313599974e-05,9.713023728e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,10,1.120000002e-07,5.707347000e-03,4.507200000e-05,5.752531000e-03,5.511936052e-03,5.466752052e-03,2.405949477e-04,292.204540,294.619679,294.619679,1.376959980e-04,9.375999868e-05,9.138951060e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,11,1.580000002e-07,5.681568000e-03,4.507100000e-05,5.726797000e-03,5.514285129e-03,5.469056129e-03,2.125118705e-04,292.080061,294.495558,294.495558,1.196480021e-04,8.303999901e-05,9.823869448e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,12,8.499999993e-08,5.682363000e-03,4.455600000e-05,5.727004000e-03,5.511681062e-03,5.467040062e-03,2.153229380e-04,292.218058,294.604158,294.604158,1.181439981e-04,8.822400123e-05,8.954938734e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile8)(blk64),double,local,local,16384,16384,3,1,1,1,13,1.210000000e-07,5.687499000e-03,4.376500000e-05,5.731385000e-03,5.513518149e-03,5.469632149e-03,2.178668513e-04,292.120692,294.464544,294.464544,1.191359982e-04,8.918400109e-05,9.546851980e-06,row,0,-1.000000000e+00,-1.000000
