kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,1,1.090000001e-07,5.672105000e-03,4.481100000e-05,5.717025000e-03,5.495992216e-03,5.451072216e-03,2.210327840e-04,293.052223,295.467143,295.467143,1.204480007e-04,9.094399959e-05,9.640783648e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,2,1.009999999e-07,5.675491000e-03,4.383400000e-05,5.719426000e-03,5.499902903e-03,5.455967903e-03,2.195230969e-04,292.843849,295.202018,295.202018,1.196800023e-04,9.091199934e-05,8.931095186e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,3,1.080000001e-07,5.663100000e-03,4.463100000e-05,5.707839000e-03,5.491523019e-03,5.446784019e-03,2.163159805e-04,293.290719,295.699762,295.699762,1.195200011e-04,8.739200234e-05,9.403977072e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,4,1.070000000e-07,5.671031000e-03,4.413300000e-05,5.715271000e-03,5.496143820e-03,5.451903820e-03,2.191271800e-04,293.044139,295.422074,295.422074,1.200959980e-04,8.947200328e-05,9.559178632e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,5,1.160000000e-07,5.664016000e-03,4.404900000e-05,5.708181000e-03,5.488581046e-03,5.444416046e-03,2.195999539e-04,293.447928,295.828372,295.828372,1.197120026e-04,9.001599997e-05,9.871951309e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,6,1.189999999e-07,5.677992000e-03,4.314200000e-05,5.721253000e-03,5.494045206e-03,5.450784206e-03,2.272077936e-04,293.156076,295.482755,295.482755,1.229759976e-04,9.487999976e-05,9.351796226e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,7,1.070000000e-07,5.662754000e-03,4.390400000e-05,5.706765000e-03,5.493067149e-03,5.449056149e-03,2.136978515e-04,293.208274,295.576462,295.576462,1.190079972e-04,8.617600054e-05,8.513853720e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,8,1.119999999e-07,5.669020000e-03,4.337800000e-05,5.712510000e-03,5.491106100e-03,5.447616100e-03,2.214038997e-04,293.312988,295.654596,295.654596,1.191359982e-04,9.283199906e-05,9.435902436e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,9,1.040000002e-07,5.661653000e-03,4.435500000e-05,5.706112000e-03,5.489771023e-03,5.445312023e-03,2.163409768e-04,293.384320,295.779696,295.779696,1.186240017e-04,8.777599782e-05,9.940977278e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,10,1.080000001e-07,5.672831000e-03,4.309500000e-05,5.716034000e-03,5.495298985e-03,5.452095985e-03,2.207350146e-04,293.089191,295.411662,295.411662,1.194880009e-04,9.113600105e-05,1.011101267e-05,column,0,-1.000000000e+00,-1.000000
