kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,1,1.430000001e-07,5.649273000e-03,4.474600000e-05,5.694162000e-03,5.474201229e-03,5.429312229e-03,2.199607708e-04,294.218767,296.651338,296.651338,1.201279983e-04,9.001599997e-05,9.816772578e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,2,1.130000000e-07,1.022308800e-02,4.441400000e-05,1.026761500e-02,5.474062866e-03,5.429535866e-03,4.793552134e-03,294.226204,296.639119,296.639119,1.197440028e-04,4.663936138e-03,9.871993244e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,3,1.670000001e-07,5.652241000e-03,4.390800000e-05,5.696316000e-03,5.474603164e-03,5.430528164e-03,2.217128361e-04,294.197166,296.584915,296.584915,1.253120005e-04,8.723200113e-05,9.168834451e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,4,1.110000001e-07,5.652080000e-03,4.358400000e-05,5.695775000e-03,5.475502995e-03,5.431807995e-03,2.202720052e-04,294.148818,296.515035,296.515035,1.198719963e-04,9.100800008e-05,9.392008738e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,5,1.070000000e-07,5.641271000e-03,4.459800000e-05,5.685976000e-03,5.470529165e-03,5.425824165e-03,2.154468347e-04,294.416260,296.842044,296.842044,1.204800010e-04,8.640000224e-05,8.566831442e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,6,1.170000001e-07,5.646197000e-03,4.426400000e-05,5.690578000e-03,5.477724887e-03,5.433343887e-03,2.128531127e-04,294.029505,296.431216,296.431216,1.188480034e-04,8.412799984e-05,9.877109382e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,7,1.020000000e-07,5.641449000e-03,4.410400000e-05,5.685655000e-03,5.472909785e-03,5.428703785e-03,2.127452151e-04,294.288194,296.684586,296.684586,1.193599999e-04,8.409599960e-05,9.289215564e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,8,1.039999999e-07,5.643643000e-03,4.420900000e-05,5.687956000e-03,5.474553154e-03,5.430240154e-03,2.134028457e-04,294.199854,296.600646,296.600646,1.188800037e-04,8.611200005e-05,8.410841995e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,9,1.079999998e-07,5.643541000e-03,4.469100000e-05,5.688340000e-03,5.473567158e-03,5.428768158e-03,2.147728420e-04,294.252850,296.681068,296.681068,1.196800023e-04,8.521600068e-05,9.876839033e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp(blk128),double,local,local,16384,16384,3,1,1,1,10,1.080000001e-07,5.644198000e-03,4.375300000e-05,5.688059000e-03,5.473332970e-03,5.429471970e-03,2.147260304e-04,294.265440,296.642610,296.642610,1.197120026e-04,8.537600189e-05,9.638025926e-06,row,0,-1.000000000e+00,-1.000000
