kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,20,1.523000000e-07,3.932737094e-08,5.694074500e-03,3.871364326e-04,4.442490000e-05,3.970469812e-07,5.738651700e-03,5.654051000e-03,5.637372000e-03,3.872221755e-04,6.747615917e+00,5.428468425e-03,5.426456502e-03,5.415017815e-03,8.221701705e-06,1.514552736e-01,5.383891225e-03,5.381392002e-03,5.371071815e-03,8.109320816e-06,1.506219290e-01,3.101832751e-04,3.866608030e-04,6.379460520e-01,296.697449,299.154026,299.154026,-1,-1,-1.000e+00,1.633032480e-01,2.581650042e-04,4.743352690e-01,4.527354,1.205824003e-04,1.408979033e-06,3.260973,1.803631987e-04,3.868529272e-04,2.180134,9.237676134e-06,5.774350323e-07,2.294500155e-05,8.593224300e-01,0.000000000e+00,2.803390016e-04,0.000000000e+00,1.497571766e+00,1.825030049e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,6,1,1,1,20,1.962000000e-07,7.210927378e-08,1.334591920e-02,8.032736544e-06,8.979660000e-05,1.488469486e-06,1.343591200e-02,1.343332550e-02,1.342502600e-02,7.860136352e-06,5.850095142e-02,1.301424078e-02,1.301336331e-02,1.300557838e-02,5.508733249e-06,4.232850262e-02,1.292424798e-02,1.292291212e-02,1.291628838e-02,5.386017224e-06,4.167373786e-02,4.216712199e-04,4.620542108e-06,6.100069320e-01,247.515435,249.238909,249.238909,-1,-1,-1.000e+00,1.366131810e-01,2.618369981e-04,4.730668190e-01,4.539493,2.314975992e-04,1.944078359e-06,3.397150,1.806351997e-04,3.842599138e-06,4.353703,9.538421002e-06,5.281841559e-07,3.463900066e-05,8.348646330e-01,0.000000000e+00,5.317839968e-04,0.000000000e+00,1.445437988e+00,1.855700029e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,8,1,1,1,20,2.525500000e-07,6.195114802e-08,2.471655785e-02,7.305870568e-04,1.191764500e-04,2.490060187e-06,2.483598685e-02,2.467308000e-02,2.464303100e-02,7.326519619e-04,2.949961144e+00,2.412214249e-02,2.412548355e-02,2.409732909e-02,1.252480094e-05,5.192242335e-02,2.400271349e-02,2.400758362e-02,2.397852707e-02,1.319166238e-05,5.495904615e-02,7.138443605e-04,7.355464390e-04,6.179737930e-01,178.050822,178.936740,178.936740,-1,-1,-1.000e+00,1.417165220e-01,2.741149947e-04,4.759143410e-01,4.512332,3.088447988e-04,2.828630563e-06,3.395155,3.946719944e-04,7.355704935e-04,2.656829,1.032756722e-05,5.778089091e-07,3.280899546e-05,8.387528040e-01,0.000000000e+00,6.382889987e-04,0.000000000e+00,1.457397695e+00,1.956549968e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,20,1,1,1,20,2.960000000e-07,5.289938812e-07,6.748880865e-02,2.704026023e-04,3.360065000e-04,1.263520623e-04,6.782511115e-02,6.773086100e-02,6.743170200e-02,3.533415267e-04,5.209597459e-01,6.669284318e-02,6.663727215e-02,6.636680945e-02,2.501871497e-04,3.751334293e-01,6.635654068e-02,6.632611465e-02,6.606848145e-02,1.939345673e-04,2.922614189e-01,1.132267970e-03,1.625267985e-04,6.082100580e-01,160.998058,161.814015,161.814015,-1,-1,-1.000e+00,1.341709000e-01,3.052870015e-04,4.736692610e-01,4.533720,6.244063973e-04,1.182779611e-04,4.198291,4.951743975e-04,1.194337823e-04,5.293973,1.268717520e-05,7.171917330e-06,5.583100574e-05,8.371464420e-01,0.000000000e+00,1.603605997e-03,0.000000000e+00,1.447015937e+00,1.935429973e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,32,1,1,1,20,4.244499999e-07,3.582929520e-07,1.923903943e-01,4.047871374e-04,7.075888500e-04,3.383494047e-04,1.930984076e-01,1.927153590e-01,1.926204670e-01,6.719787233e-04,3.479980657e-01,1.910181848e-01,1.908824032e-01,1.908375612e-01,3.415877768e-04,1.788247423e-01,1.903101715e-01,1.902994537e-01,1.902503052e-01,3.255082779e-05,1.710409251e-02,2.080222791e-03,3.919031737e-04,6.083852920e-01,89.938396,90.272995,90.272995,-1,-1,-1.000e+00,1.365030640e-01,3.111139958e-04,4.715019620e-01,4.554559,1.101542404e-03,3.032673458e-04,3.807665,9.660991997e-04,3.017436469e-04,4.341484,1.258118726e-05,1.097371063e-06,2.464600402e-05,8.393928740e-01,0.000000000e+00,2.490648003e-03,0.000000000e+00,1.450293460e+00,1.916069959e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8),double,local,local,16384,16384,3,1,1,1,20,1.271500000e-07,4.003192802e-08,5.556410600e-03,8.032258851e-06,4.475840000e-05,6.611206913e-07,5.601296150e-03,5.599265500e-03,5.590285000e-03,8.078924038e-06,1.442331171e-01,5.383055125e-03,5.381787876e-03,5.368678128e-03,6.911156945e-06,1.283872594e-01,5.338169575e-03,5.336495876e-03,5.325024128e-03,6.836461118e-06,1.280675149e-01,2.182410253e-04,5.778740622e-06,6.111326440e-01,299.200491,301.716293,301.716293,-1,-1,-1.000e+00,1.371009710e-01,2.630540039e-04,4.737035720e-01,4.533391,1.204656005e-04,3.692588507e-06,3.264135,8.833920024e-05,3.726395177e-06,4.451206,9.436224529e-06,1.059733179e-06,2.450199827e-05,8.463329610e-01,0.000000000e+00,2.823929972e-04,0.000000000e+00,1.457772500e+00,2.464659992e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8),double,local,local,16384,16384,6,1,1,1,20,2.392500000e-07,1.290853961e-07,9.645844050e-03,4.046820907e-04,8.923880000e-05,1.493143614e-06,9.735322100e-03,9.626601500e-03,9.615533000e-03,4.052808192e-04,4.162993428e+00,9.226425300e-03,9.209797249e-03,9.201593644e-03,2.879503650e-05,3.120930974e-01,9.136947250e-03,9.119744301e-03,9.112575531e-03,2.887510427e-05,3.160257302e-01,5.088967996e-04,4.077062314e-04,6.108792930e-01,349.130391,352.549422,352.549422,-1,-1,-1.000e+00,1.373977240e-01,2.542930015e-04,4.731583770e-01,4.538615,2.318287991e-04,2.173552646e-06,3.392296,2.673840001e-04,4.068800895e-04,2.941208,9.684000412e-06,4.728780792e-07,5.602999590e-05,8.323737390e-01,0.000000000e+00,5.393719985e-04,0.000000000e+00,1.443848434e+00,2.134630049e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8),double,local,local,16384,16384,8,1,1,1,20,2.163000000e-07,6.450793500e-08,2.439517945e-02,5.372092999e-04,1.203693000e-04,3.474664226e-06,2.451576505e-02,2.439480050e-02,2.437830400e-02,5.403413007e-04,2.204056449e+00,2.384579980e-02,2.384553699e-02,2.384004713e-02,4.680004789e-06,1.962611793e-02,2.372521420e-02,2.372534370e-02,2.372099113e-02,2.809095110e-06,1.184012539e-02,6.699652547e-04,5.365969937e-04,6.110839890e-01,180.114206,181.029653,181.029653,-1,-1,-1.000e+00,1.369703250e-01,2.547909971e-04,4.737935660e-01,4.532530,3.086384013e-04,3.506856917e-06,3.397426,3.505056061e-04,5.367872843e-04,2.991610,1.082124733e-05,5.048332163e-07,2.819099609e-05,8.436950170e-01,0.000000000e+00,6.383049986e-04,0.000000000e+00,1.455445502e+00,1.800030004e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8),double,local,local,16384,16384,20,1,1,1,20,2.373000000e-07,2.625139796e-07,6.586810640e-02,3.503640112e-04,4.180647000e-04,4.524846858e-04,6.628640840e-02,6.607480950e-02,6.580797100e-02,6.136059295e-04,9.256889071e-01,6.509040436e-02,6.496287865e-02,6.472093487e-02,4.610260788e-04,7.082857809e-01,6.467210236e-02,6.460476685e-02,6.440211487e-02,2.077940066e-04,3.213039302e-01,1.196004044e-03,3.169400177e-04,6.103397300e-01,164.961615,166.028594,166.028594,-1,-1,-1.000e+00,1.361884820e-01,3.106709992e-04,4.737706470e-01,4.532749,6.290880054e-04,1.347263695e-04,4.167048,5.556736037e-04,2.973994110e-04,4.717590,1.124243491e-05,1.048900660e-06,2.618200233e-05,8.377478140e-01,0.000000000e+00,1.714457998e-03,0.000000000e+00,1.449828184e+00,1.895500027e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_tiled(tile8),double,local,local,16384,16384,32,1,1,1,20,1.923500000e-07,3.141617918e-08,1.913724022e-01,4.273623453e-04,7.661209000e-04,4.139937501e-04,1.921387154e-01,1.920166080e-01,1.914212840e-01,7.432626771e-04,3.868364976e-01,1.899174584e-01,1.896792841e-01,1.896296112e-01,4.124431657e-04,2.171696953e-01,1.891511452e-01,1.891212006e-01,1.891029510e-01,7.663862769e-05,4.051713651e-02,2.221256978e-03,4.383597194e-04,6.138606390e-01,90.459662,90.826144,90.826144,-1,-1,-1.000e+00,1.378907840e-01,3.021099983e-04,4.755967310e-01,4.515346,1.182553601e-03,3.802110622e-04,3.546819,1.027060798e-03,3.716998745e-04,4.083793,1.164257881e-05,9.087623518e-07,2.186200436e-05,8.334783520e-01,0.000000000e+00,2.438799005e-03,0.000000000e+00,1.449799652e+00,2.113250011e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
