kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,1,1.880000000e-07,5.611762000e-03,4.448800000e-05,5.656438000e-03,5.434851819e-03,5.390175819e-03,2.215861806e-04,296.348969,298.805232,298.805232,1.212479994e-04,9.187199920e-05,8.466182029e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,2,1.700000003e-07,5.612456000e-03,4.472300000e-05,5.657349000e-03,5.434396956e-03,5.389503956e-03,2.229520442e-04,296.373774,298.842481,298.842481,1.200959980e-04,9.321600199e-05,9.640044122e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,3,1.380000003e-07,5.601723000e-03,4.388300000e-05,5.645744000e-03,5.420308937e-03,5.376287937e-03,2.254350628e-04,297.144084,299.577098,299.577098,1.196800023e-04,9.603200108e-05,9.723059426e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,4,1.560000000e-07,5.601575000e-03,4.471300000e-05,5.646444000e-03,5.418693120e-03,5.373824120e-03,2.277508804e-04,297.232691,299.714449,299.714449,1.239039972e-04,9.532800317e-05,8.518880022e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,5,1.380000001e-07,5.616359000e-03,4.385800000e-05,5.660355000e-03,5.436604166e-03,5.392608166e-03,2.237508343e-04,296.253449,298.670455,298.670455,1.187200025e-04,9.616000205e-05,8.870829734e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,6,1.480000000e-07,7.338433000e-03,4.478000000e-05,7.383361000e-03,5.430496142e-03,5.385568142e-03,1.952864858e-03,296.586664,299.060878,299.060878,1.201599985e-04,1.823871970e-03,8.832889350e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,7,3.060000000e-07,5.611536000e-03,4.531300000e-05,5.657155000e-03,5.426578988e-03,5.380959988e-03,2.305760124e-04,296.800754,299.316988,299.316988,1.216960028e-04,9.926400334e-05,9.616006242e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,8,1.390000000e-07,5.609017000e-03,4.398900000e-05,5.653145000e-03,5.427040159e-03,5.382912159e-03,2.261048410e-04,296.775533,299.208437,299.208437,1.205120012e-04,9.679999948e-05,8.792840342e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,9,1.459999999e-07,5.618128000e-03,4.431200000e-05,5.662586000e-03,5.440713970e-03,5.396255970e-03,2.218720300e-04,296.029665,298.468558,298.468558,1.226880029e-04,9.062399715e-05,8.560029963e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_tiled(tile4),double,local,local,16384,16384,3,1,1,1,10,1.370000002e-07,5.625646000e-03,4.490400000e-05,5.670687000e-03,5.446320926e-03,5.401279926e-03,2.243660737e-04,295.724905,298.190940,298.190940,1.201279983e-04,9.452799708e-05,9.710078331e-06,row,0,-1.000000000e+00,-1.000000
