kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,1,2.760000000e-07,6.633698000e-03,4.517300000e-05,6.679147000e-03,6.463081103e-03,6.417632103e-03,2.160658970e-04,249.202000,250.966822,250.966822,1.190079972e-04,8.678399771e-05,1.027390210e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,2,1.530000000e-07,6.636208000e-03,4.415500000e-05,6.680516000e-03,6.455764108e-03,6.411456108e-03,2.247518919e-04,249.484447,251.208572,251.208572,1.231999993e-04,9.222400188e-05,9.327890690e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,3,1.139999999e-07,6.629528000e-03,4.483700000e-05,6.674479000e-03,6.453527012e-03,6.408576012e-03,2.209519883e-04,249.570930,251.321469,251.321469,1.187520027e-04,9.177599847e-05,1.042398715e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,4,1.150000000e-07,6.647103000e-03,4.788800000e-05,6.695106000e-03,6.472451013e-03,6.424448013e-03,2.226549867e-04,248.841240,250.700563,250.700563,1.188480034e-04,9.347199649e-05,1.033498676e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,5,1.130000000e-07,6.639955000e-03,4.393600000e-05,6.684004000e-03,6.469937062e-03,6.425888062e-03,2.140669385e-04,248.937929,250.644381,250.644381,1.188480034e-04,8.521600068e-05,1.000293435e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,6,1.139999999e-07,6.627130000e-03,4.489100000e-05,6.672135000e-03,6.456685222e-03,6.411680222e-03,2.154497784e-04,249.448855,251.199792,251.199792,1.183359995e-04,8.764799684e-05,9.465782051e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,7,1.139999999e-07,6.638196000e-03,4.463100000e-05,6.682941000e-03,6.454441102e-03,6.409696102e-03,2.284998979e-04,249.535585,251.277551,251.277551,1.190719977e-04,9.916800261e-05,1.025989755e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,8,1.439999999e-07,6.628638000e-03,4.535200000e-05,6.674134000e-03,6.447383894e-03,6.401887894e-03,2.267501063e-04,249.808723,251.584027,251.584027,1.219839975e-04,9.468799829e-05,1.007811050e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,9,1.220000001e-07,6.628482000e-03,4.434200000e-05,6.672946000e-03,6.459823974e-03,6.415359974e-03,2.131220261e-04,249.327651,251.055707,251.055707,1.189439967e-04,8.473599702e-05,9.442032344e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,10,1.330000001e-07,6.634080000e-03,4.490200000e-05,6.679115000e-03,6.456074829e-03,6.411039829e-03,2.230401707e-04,249.472439,251.224884,251.224884,1.200319976e-04,9.427200258e-05,8.736170607e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g16),double,local,local,16384,16384,3,1,1,1,11,1.520000001e-07,6.628767000e-03,4.471500000e-05,6.673634000e-03,6.456323108e-03,6.411456108e-03,2.173108919e-04,249.462846,251.208572,251.208572,1.188480034e-04,8.777599782e-05,1.068689064e-05,row,0,-1.000000000e+00,-1.000000
