"kernel","tile_granularity","scalar","a_mode","x_mode","M","N","k","P","pr","pc","reps","t_bcast_mean_s","t_bcast_std_s","t_local_mean_s","t_local_std_s","t_reduce_mean_s","t_reduce_std_s","t_total_mean_s","t_total_median_s","t_total_min_s","t_total_std_s","t_total_cv_pct","t_official_mean_s","t_official_median_s","t_official_min_s","t_official_std_s","t_official_cv_pct","t_kernel_mean_s","t_kernel_median_s","t_kernel_min_s","t_kernel_std_s","t_kernel_cv_pct","t_transfer_runtime_overhead_mean_s","t_transfer_runtime_overhead_std_s","t_setup_s","gflops","gflops_compute","gflops_kernel","blocks_per_sm","x_rows_per_tile","rel_err","t_setup_device_init_s","t_setup_device_alloc_s","t_setup_h2d_A_s","bw_h2d_A_gbs","t_h2d_X_mean_s","t_h2d_X_std_s","bw_h2d_X_gbs","t_d2h_Y_mean_s","t_d2h_Y_std_s","bw_d2h_Y_gbs","t_launch_overhead_mean_s","t_launch_overhead_std_s","t_prep_alloc_buffers_s","t_prep_gen_A_s","t_prep_distrib_A_s","t_prep_gen_X_s","t_prep_distrib_X_s","t_prep_total_s","t_io_csv_raw_s","x_layout","t_prep_convert_X_s","group_timing","t_local_group_mean_s","t_local_group_std_s","gflops_local_group"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","20","1.410500000e-07","5.282789831e-08","5.982488350e-03","2.827390195e-04","4.455240000e-05","7.406524435e-07","6.027181800e-03","5.904102000e-03","5.862145000e-03","2.829371480e-04","4.694352309e+00","5.810541419e-03","5.684763598e-03","5.647998936e-03","2.821957872e-04","4.856617771e+00","5.765847969e-03","5.640592098e-03","5.603871822e-03","2.819970537e-04","4.890816671e+00","2.166403809e-04","3.162796148e-06","6.346906660e-01","277.188066","279.336664","279.336664","16","128","-1.000e+00","1.610619130e-01","2.524320007e-04","4.719363690e-01","4.550367","1.198847998e-04","1.426458212e-06","3.279949","8.748479895e-05","3.150418287e-06","4.494678","9.270782199e-06","6.823585018e-07","2.641299943e-05","8.544705210e-01","0.000000000e+00","2.861119938e-04","0.000000000e+00","1.489473712e+00","1.891149950e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","6","1","1","1","20","1.307500000e-07","2.439558846e-08","1.301452200e-02","9.444778791e-04","9.029540000e-05","2.149926618e-06","1.310494815e-02","1.286586800e-02","1.284273300e-02","9.453817301e-04","7.213929573e+00","1.246976213e-02","1.244451358e-02","1.242156043e-02","4.403797557e-05","3.531581046e-01","1.237933598e-02","1.235209608e-02","1.233248043e-02","4.420569749e-05","3.570926387e-01","6.351860244e-04","9.501487919e-04","6.133811320e-01","258.322929","260.209875","260.209875","16","73","-1.000e+00","1.366534360e-01","2.660169994e-04","4.751242160e-01","4.519836","2.321328007e-04","2.133234023e-06","3.387854","3.932640098e-04","9.511262851e-04","1.999756","9.789213881e-06","6.292376502e-07","2.443600533e-05","8.452270360e-01","0.000000000e+00","5.417319990e-04","0.000000000e+00","1.459174336e+00","1.847019957e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","8","1","1","1","20","1.849000000e-07","6.391598103e-08","2.314112375e-02","2.018586094e-05","1.221089000e-04","4.866456518e-06","2.326341755e-02","2.325657050e-02","2.323611100e-02","2.091517173e-05","8.990584329e-02","2.270498661e-02","2.270113413e-02","2.268621377e-02","2.032965728e-05","8.953829230e-02","2.258269281e-02","2.257691193e-02","2.256646347e-02","2.072500855e-05","9.177385852e-02","5.584309361e-04","1.171982003e-05","6.158370230e-01","189.164053","190.188448","190.188448","16","56","-1.000e+00","1.379692280e-01","2.601599990e-04","4.762633170e-01","4.509026","3.084704027e-04","3.356669951e-06","3.399276","2.397760011e-04","9.944320033e-06","4.373148","1.018453234e-05","5.412144924e-07","5.585599865e-05","8.432271210e-01","0.000000000e+00","6.285639975e-04","0.000000000e+00","1.459748564e+00","1.824049978e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","20","1","1","1","20","2.809000000e-07","1.146215282e-07","3.324692810e-02","3.849142135e-04","3.308025500e-04","1.368109152e-04","3.357801155e-02","3.346640400e-02","3.315384300e-02","5.162401553e-04","1.537435159e+00","3.242650448e-02","3.240425119e-02","3.207558612e-02","2.269006653e-04","6.997382818e-01","3.209542103e-02","3.210200119e-02","3.177743912e-02","1.287416488e-04","4.011215453e-01","1.151507072e-03","3.087396545e-04","6.049106660e-01","331.130919","334.546733","334.546733","12","32","-1.000e+00","1.337601240e-01","3.048270009e-04","4.694944950e-01","4.574034","6.479712009e-04","1.926077157e-04","4.045612","4.921375990e-04","1.190500502e-04","5.326640","1.139827193e-05","8.921556834e-07","6.264800322e-05","8.444234410e-01","0.000000000e+00","1.587879997e-03","0.000000000e+00","1.450984635e+00","1.925769975e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","32","1","1","1","20","2.779000000e-07","2.036821311e-07","5.299158430e-02","3.582948961e-04","5.735590500e-04","2.100803711e-04","5.356542125e-02","5.343577650e-02","5.314923000e-02","5.271606006e-04","9.841434798e-01","5.169100328e-02","5.161330958e-02","5.135794500e-02","3.562586075e-04","6.892081502e-01","5.111716633e-02","5.108206558e-02","5.084006500e-02","2.253361202e-04","4.408227927e-01","1.874417972e-03","2.612422506e-04","6.148015310e-01","332.357047","336.088058","336.088058","7","32","-1.000e+00","1.369339910e-01","3.147320022e-04","4.761915170e-01","4.509706","1.012267199e-03","1.875655161e-04","4.143475","8.498911977e-04","1.846766216e-04","4.935107","1.225957473e-05","9.771360587e-07","2.591600060e-05","8.506216960e-01","0.000000000e+00","2.419643999e-03","0.000000000e+00","1.467868787e+00","1.968969955e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)(g1)","1","double","local","local","16384","16384","3","1","1","1","20","1.211500000e-07","1.377746061e-08","5.702157600e-03","1.192598142e-04","4.415060000e-05","4.867581697e-07","5.746429350e-03","5.668309000e-03","5.640059000e-03","1.191271566e-04","2.073063972e+00","5.529562969e-03","5.452619533e-03","5.426660182e-03","1.181566702e-04","2.136817519e+00","5.485291219e-03","5.408416033e-03","5.382016182e-03","1.182879738e-04","2.156457499e+00","2.168663812e-04","5.197092857e-06","6.514193020e-01","291.273062","293.623925","293.623925","8","256","-1.000e+00","1.754520170e-01","2.589860014e-04","4.742854620e-01","4.527829","1.198432006e-04","1.462666560e-06","3.281087","8.745760024e-05","4.745623169e-06","4.496076","9.565580412e-06","7.792141015e-07","2.938700345e-05","8.396454870e-01","0.000000000e+00","2.855869971e-04","0.000000000e+00","1.491379763e+00","1.901670039e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)(g1)","1","double","local","local","16384","16384","6","1","1","1","20","2.160500000e-07","8.121023722e-08","1.055961505e-02","2.051417211e-05","8.995460000e-05","1.528454100e-06","1.064978570e-02","1.064069050e-02","1.062868600e-02","2.078838583e-05","1.952000389e-01","1.023128283e-02","1.022083796e-02","1.021201721e-02","2.024003040e-05","1.978249525e-01","1.014111218e-02","1.012961626e-02","1.012332821e-02","2.003202143e-05","1.975327860e-01","4.185028655e-04","8.052419933e-06","6.124682340e-01","314.840819","317.640256","317.640256","8","146","-1.000e+00","1.355928450e-01","2.552059959e-04","4.752850160e-01","4.518307","2.331935994e-04","6.524284718e-06","3.372442","1.755519994e-04","4.201201018e-06","4.479767","9.757266682e-06","6.178842188e-07","5.511900235e-05","8.418158680e-01","0.000000000e+00","5.340290008e-04","0.000000000e+00","1.454873250e+00","1.950700025e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)(g1)","1","double","local","local","16384","16384","8","1","1","1","20","1.900000000e-07","3.717950758e-08","2.479881940e-02","7.184292609e-04","1.208675500e-04","2.840709965e-06","2.491987695e-02","2.473859950e-02","2.472230400e-02","7.200979635e-04","2.889652966e+00","2.419453587e-02","2.417586717e-02","2.416764025e-02","7.835812527e-05","3.238670322e-01","2.407347832e-02","2.405663967e-02","2.404719925e-02","7.879113043e-05","3.272943336e-01","7.253410827e-04","7.183990307e-04","6.105581960e-01","177.518069","178.410749","178.410749","8","113","-1.000e+00","1.376701360e-01","2.672170012e-04","4.710213480e-01","4.559207","3.075727999e-04","2.518402193e-06","3.409196","4.074992023e-04","7.179574821e-04","2.573198","1.026908048e-05","5.877797295e-07","2.704800136e-05","8.390180290e-01","0.000000000e+00","6.289740049e-04","0.000000000e+00","1.450232247e+00","1.810800022e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)(g1)","1","double","local","local","16384","16384","20","1","1","1","20","1.488000000e-07","6.512950665e-08","3.183190645e-02","1.145260717e-04","3.293148000e-04","1.271803566e-04","3.216137005e-02","3.209844350e-02","3.206338200e-02","2.384932493e-04","7.415518958e-01","3.107037241e-02","3.103819944e-02","3.102701532e-02","1.248554182e-04","4.018471890e-01","3.074090881e-02","3.073572826e-02","3.072908783e-02","9.873904307e-06","3.211975406e-02","1.090997637e-03","1.160016773e-04","6.057194450e-01","345.583828","349.287599","349.287599","6","64","-1.000e+00","1.343440970e-01","3.088070007e-04","4.697143920e-01","4.571892","5.969983995e-04","2.520971610e-05","4.391034","4.828912005e-04","1.134142446e-04","5.428635","1.110803654e-05","6.947516612e-07","2.897199738e-05","8.417271380e-01","0.000000000e+00","1.040477000e-03","0.000000000e+00","1.448516032e+00","2.012170007e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)(g1)","1","double","local","local","16384","16384","32","1","1","1","20","2.558500000e-07","2.362953716e-07","5.305709945e-02","2.619960123e-04","5.848319000e-04","2.177866723e-04","5.364218720e-02","5.349295900e-02","5.344840900e-02","4.347418114e-04","8.104475863e-01","5.172492273e-02","5.167365713e-02","5.165885042e-02","2.168288473e-04","4.191960779e-01","5.113983498e-02","5.113776016e-02","5.113161469e-02","6.112363563e-06","1.195225516e-02","1.917264474e-03","2.613334302e-04","6.093619540e-01","332.139098","335.939081","335.939081","4","62","-1.000e+00","1.367073280e-01","3.009270004e-04","4.709982740e-01","4.559430","1.032345596e-03","2.020898685e-04","4.062887","8.727599919e-04","1.868505349e-04","4.805793","1.215888596e-05","7.290319101e-07","2.392400347e-05","8.377312550e-01","0.000000000e+00","2.397181001e-03","0.000000000e+00","1.449514314e+00","3.056817300e-02","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
