"kernel","tile_granularity","scalar","a_mode","x_mode","M","N","k","P","pr","pc","rep","t_bcast_s","t_local_s","t_reduce_s","t_total_s","t_official_s","t_kernel_s","t_transfer_runtime_overhead_s","gflops","gflops_compute","gflops_kernel","t_h2d_X_s","t_d2h_Y_s","t_launch_overhead_s","x_layout","group_timing","t_local_group_s","gflops_local_group"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","1","1.859999998e-07","6.632755000e-03","4.578500000e-05","6.678726000e-03","6.461394870e-03","6.415423870e-03","2.173311299e-04","249.267034","251.053207","251.053207","1.194880009e-04","8.780799806e-05","1.003513098e-05","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","2","6.900000016e-08","6.615259000e-03","4.497600000e-05","6.660304000e-03","6.442325216e-03","6.397280216e-03","2.179787838e-04","250.004879","251.765232","251.765232","1.223360002e-04","8.534400165e-05","1.029878193e-05","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","3","1.670000001e-07","6.621833000e-03","4.448300000e-05","6.666483000e-03","6.448138159e-03","6.403488159e-03","2.183448408e-04","249.779502","251.521155","251.521155","1.187840030e-04","9.065599740e-05","8.904840465e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","4","7.999999996e-08","6.080283000e-03","4.408600000e-05","6.124449000e-03","5.904869945e-03","5.860703945e-03","2.195790548e-04","272.760069","274.815577","274.815577","1.203840002e-04","9.017600119e-05","9.019053407e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","5","1.040000002e-07","5.932535000e-03","4.403800000e-05","5.976677000e-03","5.766093962e-03","5.721951962e-03","2.105830385e-04","279.324747","281.479598","281.479598","1.184640005e-04","8.307199925e-05","9.047038708e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","6","1.430000001e-07","5.936661000e-03","4.473700000e-05","5.981541000e-03","5.761136142e-03","5.716256142e-03","2.204048583e-04","279.565123","281.760071","281.760071","1.196800023e-04","9.167999774e-05","9.044858264e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","7","2.240000001e-07","5.903097000e-03","4.412800000e-05","5.947449000e-03","5.725215857e-03","5.680863857e-03","2.222331427e-04","281.319129","283.515461","283.515461","1.222079992e-04","9.155199677e-05","8.473146734e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","8","1.030000001e-07","5.871993000e-03","4.388200000e-05","5.915978000e-03","5.700913062e-03","5.656928062e-03","2.150649376e-04","282.518382","284.715082","284.715082","1.209919974e-04","8.553600311e-05","8.536937027e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","9","1.099999998e-07","5.854565000e-03","4.418900000e-05","5.898864000e-03","5.681227082e-03","5.636928082e-03","2.176369185e-04","283.497335","285.725259","285.725259","1.189759970e-04","9.024000168e-05","8.420919838e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","10","1.070000000e-07","5.865296000e-03","4.393700000e-05","5.909340000e-03","5.688300115e-03","5.644256115e-03","2.210398850e-04","283.144824","285.354297","285.354297","1.191999987e-04","9.155199677e-05","1.028788960e-05","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","11","1.070000000e-07","5.852573000e-03","4.475100000e-05","5.897431000e-03","5.678393862e-03","5.633535862e-03","2.190371380e-04","283.638785","285.897308","285.897308","1.189759970e-04","9.027200192e-05","9.789139138e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","12","2.330000000e-07","5.821630000e-03","4.367000000e-05","5.865533000e-03","5.647998936e-03","5.604095936e-03","2.175340642e-04","285.165198","287.399208","287.399208","1.238399968e-04","8.387199789e-05","9.822069531e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","13","1.100000002e-07","5.832338000e-03","4.410800000e-05","5.876556000e-03","5.663641866e-03","5.619423866e-03","2.129141337e-04","284.377574","286.615278","286.615278","1.185280010e-04","8.463999629e-05","9.746136427e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","14","1.980000000e-07","5.829324000e-03","4.639500000e-05","5.875917000e-03","5.660960962e-03","5.614367962e-03","2.149560381e-04","284.512249","286.873384","286.873384","1.200959980e-04","8.537600189e-05","9.484038173e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","15","1.089999999e-07","5.831657000e-03","4.393500000e-05","5.875701000e-03","5.660428029e-03","5.616384029e-03","2.152729706e-04","284.539036","286.770407","286.770407","1.196480021e-04","8.582399786e-05","9.800970668e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","16","2.219999999e-07","5.868953000e-03","4.532100000e-05","5.914496000e-03","5.698982999e-03","5.653439999e-03","2.155130014e-04","282.614062","284.890746","284.890746","1.187520027e-04","8.860799670e-05","8.153001955e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","17","1.050000000e-07","5.820222000e-03","4.472100000e-05","5.865048000e-03","5.648697822e-03","5.603871822e-03","2.163501776e-04","285.129916","287.410702","287.410702","1.191999987e-04","8.767999709e-05","9.470181880e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","18","1.159999998e-07","5.825787000e-03","4.385400000e-05","5.869757000e-03","5.655425917e-03","5.611455917e-03","2.143310826e-04","284.790705","287.022256","287.022256","1.191359982e-04","8.640000224e-05","8.795082211e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","19","1.130000000e-07","5.835504000e-03","4.562400000e-05","5.881241000e-03","5.664904805e-03","5.619167805e-03","2.163361953e-04","284.314175","286.628339","286.628339","1.193599999e-04","8.863999695e-05","8.336198441e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","3","1","1","1","20","2.150000000e-07","5.817502000e-03","4.442800000e-05","5.862145000e-03","5.651778773e-03","5.607135773e-03","2.103662273e-04","284.974483","287.243399","287.243399","1.196480021e-04","8.076799661e-05","9.950228597e-06","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","6","1","1","1","1","1.500000000e-07","1.286249200e-02","8.842000000e-05","1.295106200e-02","1.251896989e-02","1.243039989e-02","4.320921053e-04","257.307550","259.140937","259.140937","2.335360050e-04","1.881600022e-04","1.039609803e-05","row","0","-1.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)(g1)","1","double","local","local","16384","16384","6","1","1","1","2","1.240000000e-07","1.286516700e-02","8.868600000e-05","1.295397700e-02","1.251908210e-02","1.243027210e-02","4.348948976e-04","257.305244","259.143601","259.143601","2.316800058e-04","1.921280026e-04","1.108688921e-05","row","0","-1.000000000e+00","-1.000000"
