kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,1,2.139999999e-07,1.550531700e-02,5.722000000e-06,1.551125300e-02,1.409422431e-02,1.408828831e-02,1.417028693e-03,228.549326,228.645624,228.645624,1.385599971e-03,2.271999978e-05,8.708722217e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,2,1.720000000e-07,1.533847800e-02,1.345500000e-05,1.535210500e-02,1.389986701e-02,1.388624001e-02,1.452237995e-03,231.745057,231.972476,231.972476,1.411712050e-03,2.953599952e-05,1.098994455e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,3,1.950000001e-07,1.589164100e-02,6.923000000e-06,1.589875900e-02,1.445818974e-02,1.445107174e-02,1.440569261e-03,222.795905,222.905645,222.905645,1.411263943e-03,1.894400083e-05,1.036131726e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,4,1.130000000e-07,1.557702800e-02,5.988000000e-06,1.558312900e-02,1.415282093e-02,1.414671993e-02,1.430308067e-03,227.603068,227.701226,227.701226,1.403807998e-03,1.686399989e-05,9.636069852e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,5,1.450000000e-07,1.542858900e-02,6.657000000e-06,1.543539100e-02,1.401601831e-02,1.400921631e-02,1.419372691e-03,229.824577,229.936165,229.936165,1.387328029e-03,2.175999992e-05,1.028466281e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,6,1.150000002e-07,1.594669300e-02,6.281000000e-06,1.595308900e-02,1.453986806e-02,1.453347206e-02,1.413220939e-03,221.544340,221.641839,221.641839,1.386080027e-03,1.744000055e-05,9.700911667e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,7,1.170000004e-07,1.583260100e-02,6.222000000e-06,1.583894000e-02,1.442509072e-02,1.441875172e-02,1.413849283e-03,223.307121,223.405294,223.405294,1.385663986e-03,1.920000091e-05,8.985296268e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,8,1.090000001e-07,1.538955900e-02,6.509000000e-06,1.539617700e-02,1.397800968e-02,1.397139168e-02,1.418167322e-03,230.449509,230.558669,230.558669,1.387104034e-03,2.287999913e-05,8.183288589e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,9,1.090000001e-07,1.550405300e-02,6.070000000e-06,1.551023200e-02,1.407414737e-02,1.406796837e-02,1.436084631e-03,228.875355,228.975882,228.975882,1.406048059e-03,2.006400004e-05,9.972571966e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,10,9.700000003e-08,1.575382700e-02,6.092000000e-06,1.576001600e-02,1.433524479e-02,1.432905579e-02,1.424771214e-03,224.706695,224.803750,224.803750,1.393023968e-03,2.287999913e-05,8.867246993e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,11,1.370000002e-07,1.571149700e-02,6.382000000e-06,1.571801600e-02,1.431298320e-02,1.430646420e-02,1.405032805e-03,225.056190,225.158741,225.158741,1.370432019e-03,2.483199909e-05,9.768786421e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2048,262144,3,1,1,1,12,1.080000001e-07,1.539978800e-02,6.177000000e-06,1.540607300e-02,1.400516539e-02,1.399888039e-02,1.400907614e-03,230.002673,230.105936,230.105936,1.370815992e-03,2.025599964e-05,9.835621652e-06,column,0,-1.000000000e+00,-1.000000
