kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,1,2.130000003e-07,1.376975400e-02,7.324000000e-06,1.377729100e-02,1.235899269e-02,1.235145569e-02,1.418298312e-03,260.638189,260.797233,260.797233,1.385504007e-03,2.239999920e-05,1.039430498e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,2,2.179999998e-07,1.385992300e-02,6.749000000e-06,1.386689000e-02,1.243282264e-02,1.242585564e-02,1.434067363e-03,259.090439,259.235707,259.235707,1.405951977e-03,1.843200065e-05,9.683385975e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,3,1.060000003e-07,1.387823900e-02,7.099000000e-06,1.388544400e-02,1.247962092e-02,1.247241592e-02,1.405823076e-03,258.118856,258.267964,258.267964,1.371039987e-03,2.617600001e-05,8.607089303e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,4,1.169999999e-07,1.386534300e-02,6.337000000e-06,1.387179700e-02,1.245835830e-02,1.245190430e-02,1.413438703e-03,258.559386,258.693401,258.693401,1.384896040e-03,1.961600035e-05,8.926662808e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,5,1.200000002e-07,1.364916500e-02,7.147000000e-06,1.365643200e-02,1.222157097e-02,1.221430397e-02,1.434861030e-03,263.568855,263.725668,263.725668,1.400352001e-03,2.563199960e-05,8.877028876e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,6,1.219999999e-07,1.385650200e-02,6.944000000e-06,1.386356800e-02,1.243644165e-02,1.242937565e-02,1.427126352e-03,259.015043,259.162291,259.162291,1.391711950e-03,2.528000064e-05,1.013440056e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,7,6.899999994e-08,1.375943200e-02,6.629000000e-06,1.376613000e-02,1.235143410e-02,1.234473610e-02,1.414695901e-03,260.797689,260.939193,260.939193,1.383103967e-03,2.217599936e-05,9.415934686e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,8,1.250000001e-07,1.388979500e-02,6.631000000e-06,1.389655100e-02,1.247834032e-02,1.247158432e-02,1.418210680e-03,258.145345,258.285186,258.285186,1.389215946e-03,1.939200051e-05,9.602733223e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,9,9.700000003e-08,1.384335600e-02,6.774000000e-06,1.385022700e-02,1.244741513e-02,1.244054413e-02,1.402811872e-03,258.786699,258.929629,258.929629,1.371359944e-03,2.249599993e-05,8.955927306e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,10,9.400000023e-08,1.381456100e-02,6.925000000e-06,1.382158000e-02,1.242061897e-02,1.241359997e-02,1.400961032e-03,259.345004,259.491645,259.491645,1.372032046e-03,1.977599971e-05,9.152986015e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,11,1.249999997e-07,1.388837300e-02,6.270000000e-06,1.389476800e-02,1.247593083e-02,1.246953583e-02,1.418837172e-03,258.195201,258.327617,258.327617,1.388448000e-03,2.080000006e-05,9.589172353e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,12,1.200000002e-07,1.347892300e-02,6.886000000e-06,1.348592900e-02,1.208374245e-02,1.207673645e-02,1.402186550e-03,266.575151,266.729798,266.729798,1.370463967e-03,2.195199952e-05,9.770582966e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,13,1.119999999e-07,1.343298600e-02,1.462200000e-05,1.344772000e-02,1.203716633e-02,1.202243233e-02,1.410553673e-03,267.606626,267.934590,267.934590,1.372992039e-03,2.720000036e-05,1.036163364e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,14,1.749999998e-07,1.343983900e-02,6.925000000e-06,1.344693900e-02,1.202313222e-02,1.201603222e-02,1.423806781e-03,267.918993,268.077300,268.077300,1.392223954e-03,2.195199952e-05,9.630827351e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,15,7.499999999e-08,1.347312800e-02,6.542000000e-06,1.347974500e-02,1.206565707e-02,1.205904007e-02,1.414087930e-03,266.974724,267.121218,267.121218,1.383648038e-03,2.166399918e-05,8.775893325e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,16,8.499999993e-08,1.339197300e-02,6.557000000e-06,1.339861500e-02,1.197355427e-02,1.196691227e-02,1.425060730e-03,269.028344,269.177662,269.177662,1.392544031e-03,2.252800018e-05,9.988699089e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,17,1.219999999e-07,1.347121200e-02,6.622000000e-06,1.347795600e-02,1.206418380e-02,1.205743980e-02,1.413772196e-03,267.007327,267.156670,267.156670,1.384415984e-03,1.916800067e-05,1.018821110e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,18,1.250000001e-07,1.334933800e-02,6.414000000e-06,1.335587700e-02,1.191873134e-02,1.191219234e-02,1.437145655e-03,270.265801,270.414159,270.414159,1.404031992e-03,2.415999956e-05,8.953663812e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,19,1.250000001e-07,1.347349200e-02,6.663000000e-06,1.348028000e-02,1.205040429e-02,1.204361629e-02,1.429875705e-03,267.312647,267.463309,267.463309,1.398208022e-03,2.291199937e-05,8.755683647e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,3,1,1,1,20,1.200000002e-07,1.330174600e-02,7.259000000e-06,1.330912500e-02,1.190827507e-02,1.190089607e-02,1.400849928e-03,270.503113,270.670835,270.670835,1.373023987e-03,1.788800023e-05,9.937940561e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,1,4.840000001e-07,2.555724500e-02,1.687800000e-05,2.557460700e-02,2.281236971e-02,2.279500771e-02,2.762237294e-03,282.410422,282.625522,282.625522,2.716415882e-03,3.593600169e-05,9.885410513e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,2,1.549999999e-07,2.373636800e-02,1.467800000e-05,2.375120100e-02,2.099521783e-02,2.098038483e-02,2.755983173e-03,306.853256,307.070199,307.070199,2.711328030e-03,3.523200005e-05,9.423143654e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,3,1.340000000e-07,2.357319400e-02,1.519400000e-05,2.358852200e-02,2.083743913e-02,2.082211113e-02,2.751082870e-03,309.176713,309.404311,309.404311,2.710880041e-03,3.030399978e-05,9.898829335e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,4,1.640000002e-07,2.357598600e-02,1.527600000e-05,2.359142600e-02,2.082046319e-02,2.080502319e-02,2.770962807e-03,309.428800,309.658436,309.658436,2.724575996e-03,3.708799928e-05,9.298810957e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,5,1.659999995e-07,2.355655700e-02,1.412700000e-05,2.357085000e-02,2.082530145e-02,2.081100845e-02,2.745548547e-03,309.356912,309.569378,309.569378,2.704256058e-03,3.129599988e-05,9.996489007e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,6,1.629999997e-07,2.359520400e-02,2.261500000e-05,2.361798200e-02,2.085516211e-02,2.083238411e-02,2.762819891e-03,308.913971,309.251736,309.251736,2.714272022e-03,3.855999932e-05,9.987868939e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,7,9.499999987e-08,2.356360200e-02,1.496500000e-05,2.357866200e-02,2.082555538e-02,2.081049538e-02,2.753106623e-03,309.353140,309.577010,309.577010,2.706079960e-03,3.827200085e-05,8.754662694e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,8,1.320000003e-07,2.341500300e-02,1.590700000e-05,2.343104200e-02,2.072560702e-02,2.070956802e-02,2.705434976e-03,310.844982,311.085723,311.085723,2.662976027e-03,3.184000030e-05,1.061894948e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,9,1.290000000e-07,2.343092900e-02,1.489800000e-05,2.344595600e-02,2.073582740e-02,2.072080040e-02,2.710128600e-03,310.691771,310.917089,310.917089,2.669888020e-03,3.001599945e-05,1.022458121e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,10,1.379999999e-07,2.342012800e-02,1.460000000e-05,2.343486600e-02,2.072616187e-02,2.071142387e-02,2.708704126e-03,310.836661,311.057848,311.057848,2.666176081e-03,3.203200176e-05,1.049604363e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,11,1.239999996e-07,2.340160600e-02,1.426000000e-05,2.341599000e-02,2.070811149e-02,2.069372749e-02,2.707878507e-03,311.107604,311.323851,311.323851,2.668064117e-03,2.857599966e-05,1.123838962e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,12,1.290000000e-07,2.341564900e-02,1.557800000e-05,2.343135600e-02,2.072361182e-02,2.070790482e-02,2.707744184e-03,310.874909,311.110709,311.110709,2.663232088e-03,3.523200005e-05,9.280096184e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,13,1.430000003e-07,2.343674400e-02,1.471200000e-05,2.345159900e-02,2.070403919e-02,2.068918419e-02,2.747559811e-03,311.168796,311.392218,311.392218,2.706207991e-03,3.126399964e-05,1.008782087e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,14,1.210000002e-07,2.339479300e-02,1.388700000e-05,2.340880100e-02,2.070587964e-02,2.069187164e-02,2.702921357e-03,311.141137,311.351774,311.351774,2.661952019e-03,3.228799999e-05,8.681338208e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,15,1.299999997e-07,2.339460600e-02,1.483000000e-05,2.340956600e-02,2.070427198e-02,2.068931198e-02,2.705294019e-03,311.165297,311.390294,311.390294,2.663647890e-03,3.296000138e-05,8.686127329e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,16,1.350000001e-07,2.340353800e-02,1.451700000e-05,2.341819000e-02,2.071599554e-02,2.070134354e-02,2.702194464e-03,310.989203,311.209315,311.209315,2.658368111e-03,3.366399929e-05,1.016235368e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,17,1.950000001e-07,2.343355100e-02,1.576400000e-05,2.344951000e-02,2.070943091e-02,2.069347191e-02,2.740079091e-03,311.087783,311.327697,311.327697,2.689280033e-03,3.974400088e-05,1.105505744e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,18,1.109999999e-07,2.351935300e-02,1.489900000e-05,2.353436300e-02,2.080608285e-02,2.079107285e-02,2.728280155e-03,309.642665,309.866210,309.866210,2.681152105e-03,3.695999831e-05,1.016805090e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,19,1.999999997e-07,2.341761400e-02,1.526100000e-05,2.343307500e-02,2.071142963e-02,2.069596863e-02,2.721645372e-03,311.057762,311.290139,311.290139,2.676383972e-03,3.436800092e-05,1.089339898e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,2048,262144,6,1,1,1,20,2.110000001e-07,2.340072200e-02,1.475100000e-05,2.341568400e-02,2.071112136e-02,2.069615936e-02,2.704562637e-03,311.062392,311.287270,311.287270,2.663232088e-03,3.145600110e-05,9.874548015e-06,row,0,-1.000000000e+00,-1.000000
