kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,20,8.324999996e-08,8.972912436e-09,5.667925000e-03,8.009681347e-05,4.399955000e-05,5.503126839e-07,5.712007800e-03,5.672418000e-03,5.653577000e-03,8.033976660e-05,1.406506598e+00,5.477217165e-03,5.452699000e-03,5.439554908e-03,4.352006672e-05,7.945652949e-01,5.433134365e-03,5.409024000e-03,5.395999908e-03,4.358261808e-05,8.021634503e-01,2.347906349e-04,7.486957856e-05,6.450226790e-01,294.056760,296.442648,296.442648,4,672,-1.000e+00,1.689539240e-01,3.018939969e-04,4.743361260e-01,4.527346,1.203455992e-04,7.538769725e-07,3.267390,1.051040005e-04,7.488907001e-05,3.741209,9.341035220e-06,4.311863127e-07,2.914899960e-05,8.337528030e-01,0.000000000e+00,2.912509954e-04,0.000000000e+00,1.479095882e+00,1.780259990e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,6,1,1,1,20,1.885500000e-07,9.021055778e-08,1.068150255e-02,1.654397499e-04,9.073040000e-05,1.498747702e-06,1.077242150e-02,1.072125700e-02,1.071210200e-02,1.658946936e-04,1.539994453e+00,1.030333975e-02,1.030271527e-02,1.029822618e-02,3.524280265e-06,3.420522230e-02,1.021242080e-02,1.021180820e-02,1.020800018e-02,3.119171424e-06,3.054291912e-02,4.690817527e-04,1.644719301e-04,6.041335860e-01,312.638965,315.422321,315.422321,4,320,-1.000e+00,1.322720970e-01,2.544090021e-04,4.702767330e-01,4.566425,2.325296000e-04,2.037273440e-06,3.382073,2.268927991e-04,1.634979325e-04,3.466095,9.659353548e-06,7.332378015e-07,2.227999357e-05,8.352439950e-01,0.000000000e+00,5.370159997e-04,0.000000000e+00,1.439936877e+00,1.898900009e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,8,1,1,1,20,1.604000000e-07,1.807411642e-08,1.362701100e-02,1.320985108e-05,1.204812500e-04,1.506920662e-06,1.374765265e-02,1.374723750e-02,1.372598700e-02,1.339897493e-05,9.746372909e-02,1.318023852e-02,1.317938541e-02,1.317001942e-02,7.197142816e-06,5.460555819e-02,1.305959687e-02,1.305833578e-02,1.305059242e-02,6.627396515e-06,5.074732842e-02,5.674141277e-04,9.030364588e-06,6.139734660e-01,325.864156,328.874416,328.874416,4,256,-1.000e+00,1.419330900e-01,2.597400016e-04,4.704545960e-01,4.564699,3.059983999e-04,2.347781638e-06,3.426737,2.511167996e-04,7.702474735e-06,4.175651,1.029892825e-05,4.939323166e-07,7.115799963e-05,8.467004500e-01,0.000000000e+00,6.380640043e-04,0.000000000e+00,1.461383138e+00,1.909889979e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,20,1,1,1,20,2.214500000e-07,8.611037893e-08,3.163567040e-02,1.380496972e-03,2.998139500e-04,5.380798273e-06,3.193570580e-02,3.160564500e-02,3.156403800e-02,1.381042458e-03,4.324446332e+00,3.051777460e-02,3.051691285e-02,3.050370709e-02,8.419601881e-06,2.758917382e-02,3.021773920e-02,3.021948814e-02,3.020467186e-02,6.347722173e-06,2.100660851e-02,1.417931199e-03,1.379593218e-03,6.100739910e-01,351.841456,355.334930,355.334930,3,128,-1.000e+00,1.366261480e-01,3.163389993e-04,4.717734550e-01,4.551938,9.277119964e-04,1.372730669e-03,2.825705,4.793135971e-04,1.622815018e-05,5.469154,1.090560589e-05,7.053072455e-07,2.740199852e-05,8.347487720e-01,0.000000000e+00,1.604636003e-03,0.000000000e+00,1.446454801e+00,1.934339962e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,32,1,1,1,20,2.660499999e-07,2.773867668e-07,9.861746800e-02,4.948248512e-04,6.473769000e-04,3.051450052e-04,9.926511095e-02,9.884015150e-02,9.876803200e-02,6.595141914e-04,6.643967705e-01,9.726228147e-02,9.699849631e-02,9.694317750e-02,4.080967788e-04,4.195838023e-01,9.661463852e-02,9.643265533e-02,9.639923096e-02,3.424428309e-04,3.544419729e-01,2.002829481e-03,3.498945201e-04,6.073256040e-01,176.634446,177.818491,177.818491,2,128,-1.000e+00,1.322023500e-01,3.044139958e-04,4.734609570e-01,4.535714,1.068003210e-03,2.667847743e-04,3.927239,9.218256027e-04,2.589160876e-04,4.549997,1.300066764e-05,1.478927439e-06,4.045300011e-05,8.331684080e-01,0.000000000e+00,2.432829999e-03,0.000000000e+00,1.442967295e+00,2.085110027e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,20,1.152500000e-07,2.856364084e-08,5.684416900e-03,1.701467424e-04,4.528115000e-05,1.203491162e-06,5.729813300e-03,5.691675000e-03,5.671693000e-03,1.707907837e-04,2.980739071e+00,5.472927619e-03,5.474805544e-03,5.458565039e-03,8.721382807e-06,1.593549817e-01,5.427531219e-03,5.429136038e-03,5.412672043e-03,8.691573283e-06,1.601386143e-01,2.568856815e-04,1.700893627e-04,6.167787450e-01,294.287235,296.748682,296.748682,4,512,-1.000e+00,1.375021550e-01,2.640259991e-04,4.776255120e-01,4.496166,1.208624002e-04,5.375153213e-06,3.253419,1.263775993e-04,1.704532074e-04,3.111437,9.645681998e-06,8.828371467e-07,2.749900159e-05,8.398849570e-01,0.000000000e+00,2.885349968e-04,0.000000000e+00,1.456979736e+00,1.774550037e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,20,1.734000000e-07,2.610182489e-08,9.732178850e-03,5.726152175e-04,9.159010000e-05,1.297336011e-06,9.823942350e-03,9.660813500e-03,9.626912000e-03,5.725227754e-04,5.827831180e+00,9.232571462e-03,9.224807549e-03,9.206430731e-03,1.675704530e-05,1.814992212e-01,9.140807962e-03,9.132447720e-03,9.115391731e-03,1.668136672e-05,1.824933506e-01,5.913708876e-04,5.730224549e-04,6.124804670e-01,348.897973,352.400519,352.400519,4,288,-1.000e+00,1.387115230e-01,2.627020003e-04,4.721249740e-01,4.548549,2.343695991e-04,3.912006975e-06,3.355521,3.469183929e-04,5.733123042e-04,2.266908,1.008289558e-05,5.786725181e-07,2.371399751e-05,8.383898640e-01,0.000000000e+00,5.383349999e-04,0.000000000e+00,1.451432380e+00,1.815099968e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,8,1,1,1,20,1.090000000e-07,3.233215773e-08,1.272932985e-02,1.277159899e-05,1.213019500e-04,1.865078254e-06,1.285074080e-02,1.285195650e-02,1.283398500e-02,1.273863806e-05,9.912765543e-02,1.230093737e-02,1.229864862e-02,1.229386397e-02,6.202879840e-06,5.042607446e-02,1.217952642e-02,1.217756796e-02,1.217206383e-02,6.058913504e-06,4.974670848e-02,5.498034256e-04,8.453944218e-06,6.142313510e-01,349.157724,352.638284,352.638284,4,224,-1.000e+00,1.360830700e-01,2.649240050e-04,4.764940320e-01,4.506843,3.074623972e-04,3.476627897e-06,3.410420,2.320879981e-04,8.566232061e-06,4.518010,1.025303028e-05,5.226606504e-07,2.933799988e-05,8.342173950e-01,0.000000000e+00,6.645910034e-04,0.000000000e+00,1.449142675e+00,2.354259996e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,20,1,1,1,20,2.032000000e-07,9.634619592e-08,3.161136860e-02,1.545381488e-04,3.308467500e-04,1.293255908e-04,3.194241855e-02,3.187152800e-02,3.182951700e-02,2.605529949e-04,8.156958887e-01,3.081303724e-02,3.078525180e-02,3.075907572e-02,1.305442100e-04,4.236655057e-01,3.048198729e-02,3.048304081e-02,3.045990372e-02,1.398874096e-05,4.589182727e-02,1.129381314e-03,1.559760661e-04,6.071693980e-01,348.469973,352.254534,352.254534,3,128,-1.000e+00,1.345840780e-01,3.074149936e-04,4.709154250e-01,4.560232,6.199695975e-04,1.171304345e-04,4.228336,4.984672010e-04,1.113455567e-04,5.259002,1.094451593e-05,8.079665392e-07,3.082500189e-05,8.339691640e-01,0.000000000e+00,1.604554003e-03,0.000000000e+00,1.442773941e+00,2.054119977e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,32,1,1,1,20,4.551500000e-07,4.733462374e-07,5.188057125e-02,2.732388678e-04,5.873875000e-04,2.214843576e-04,5.246841390e-02,5.233484800e-02,5.229626700e-02,4.552382354e-04,8.676424567e-01,5.057469110e-02,5.052504632e-02,5.050057083e-02,2.221157727e-04,4.391836467e-01,4.998684845e-02,4.998654556e-02,4.997584152e-02,5.320224619e-06,1.064324874e-02,1.893722800e-03,2.728883789e-04,6.059084310e-01,339.693013,343.687784,343.687784,2,96,-1.000e+00,1.339892120e-01,3.016169940e-04,4.702642990e-01,4.566546,1.014048001e-03,2.008509063e-04,4.136199,8.681983948e-04,1.951024698e-04,4.831043,1.147640435e-05,8.233929173e-07,2.577900159e-05,8.323072300e-01,0.000000000e+00,2.532006001e-03,0.000000000e+00,1.440773446e+00,2.048710012e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
