kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,1,1.679999999e-07,5.717160000e-03,4.509100000e-05,5.762419000e-03,5.543818952e-03,5.498559952e-03,2.186000482e-04,290.524050,292.915372,292.915372,1.191039979e-04,8.963199705e-05,9.864053223e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,2,1.469999997e-07,5.723224000e-03,4.358800000e-05,5.766959000e-03,5.543735000e-03,5.500000000e-03,2.232240000e-04,290.528450,292.838679,292.838679,1.197440028e-04,9.481599927e-05,8.663997911e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,3,1.780000001e-07,5.722862000e-03,4.458600000e-05,5.767626000e-03,5.548603970e-03,5.503839970e-03,2.190220304e-04,290.273508,292.634369,292.634369,1.185280010e-04,9.110400081e-05,9.390028548e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,4,1.480000000e-07,5.722809000e-03,4.467900000e-05,5.767636000e-03,5.543867127e-03,5.499040127e-03,2.237688732e-04,290.521526,292.889795,292.889795,1.285119951e-04,8.575999737e-05,9.496880755e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,5,1.660000000e-07,5.718614000e-03,4.456400000e-05,5.763344000e-03,5.544954113e-03,5.500224113e-03,2.183898865e-04,290.464574,292.826747,292.826747,1.224000007e-04,8.659200370e-05,9.397882141e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,6,1.470000002e-07,5.717955000e-03,4.345700000e-05,5.761559000e-03,5.544627769e-03,5.501023769e-03,2.169312306e-04,290.481670,292.784180,292.784180,1.188160032e-04,8.806400001e-05,1.005122741e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,7,1.510000001e-07,5.719721000e-03,4.394600000e-05,5.763818000e-03,5.544033104e-03,5.499936104e-03,2.197848962e-04,290.512828,292.842081,292.842081,1.191359982e-04,9.216000140e-05,8.488896593e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,8,1.650000001e-07,5.719389000e-03,4.719500000e-05,5.766749000e-03,5.552544174e-03,5.505184174e-03,2.142048264e-04,290.067523,292.562916,292.562916,1.188160032e-04,8.591999859e-05,9.468824626e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,9,1.400000000e-07,5.721717000e-03,4.376500000e-05,5.765622000e-03,5.547329168e-03,5.503424168e-03,2.182928324e-04,290.340214,292.656478,292.656478,1.189759970e-04,8.908800036e-05,1.022883504e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,10,1.429999998e-07,5.719533000e-03,4.378300000e-05,5.763459000e-03,5.545109987e-03,5.501183987e-03,2.183490133e-04,290.456409,292.775653,292.775653,1.177600026e-04,9.055999666e-05,1.002901406e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,11,1.530000000e-07,5.712839000e-03,4.408100000e-05,5.757073000e-03,5.543594085e-03,5.499360085e-03,2.134789155e-04,290.535835,292.872755,292.872755,1.174720004e-04,8.585599810e-05,1.015091695e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(pad0),double,local,local,16384,16384,3,1,1,1,12,1.400000000e-07,5.736376000e-03,4.381700000e-05,5.780333000e-03,5.541076904e-03,5.497119904e-03,2.392560964e-04,290.667819,292.992106,292.992106,1.192639992e-04,1.091839969e-04,1.080810036e-05,row,0,-1.000000000e+00,-1.000000
