kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,20,1.129000000e-07,1.007811595e-08,6.015059950e-03,2.140495304e-04,4.410070000e-05,4.509233918e-07,6.059273550e-03,5.976484000e-03,5.962617000e-03,2.141336536e-04,3.533982280e+00,5.841632838e-03,5.758302683e-03,5.746635094e-03,2.132805455e-04,3.651043319e+00,5.797419238e-03,5.714320183e-03,5.702176094e-03,2.131980514e-04,3.677464793e+00,2.176407119e-04,3.216506438e-06,6.228890110e-01,275.712764,277.815468,277.815468,16,128,-1.000e+00,1.484990260e-01,2.823809991e-04,4.723638390e-01,4.546249,1.189679999e-04,8.640858104e-07,3.305225,8.942239955e-05,3.317107324e-06,4.397288,9.250312468e-06,4.721633571e-07,5.247999798e-05,8.212836890e-01,0.000000000e+00,2.856520005e-04,0.000000000e+00,1.444510832e+00,1.815479991e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,6,1,1,1,20,2.245000000e-07,5.844880804e-08,1.556851440e-02,1.010469796e-05,9.003365000e-05,1.259694293e-06,1.565877255e-02,1.565521300e-02,1.564633800e-02,1.007347697e-05,6.433120436e-02,1.524685820e-02,1.524760104e-02,1.523469387e-02,7.917233068e-06,5.192698041e-02,1.515660005e-02,1.515582418e-02,1.514499187e-02,7.736770447e-06,5.104555390e-02,4.119143538e-04,5.812410606e-06,6.106738840e-01,211.271426,212.529556,212.529556,16,64,-1.000e+00,1.363164350e-01,2.516820023e-04,4.727592340e-01,4.542447,2.319455989e-04,2.527780021e-06,3.390588,1.698847994e-04,4.928206069e-06,4.629208,1.008395555e-05,1.101665044e-06,2.885299909e-05,8.228575180e-01,0.000000000e+00,5.354250025e-04,0.000000000e+00,1.434095680e+00,1.790629976e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,8,1,1,1,20,1.261500000e-07,2.056382879e-08,1.435450130e-02,7.092703741e-05,1.206344000e-04,2.588388452e-06,1.447526185e-02,1.445848750e-02,1.434369900e-02,7.041226393e-05,4.864317113e-01,1.392531907e-02,1.391008499e-02,1.380559098e-02,6.389137593e-05,4.588144489e-01,1.380455852e-02,1.379071999e-02,1.368607998e-02,6.444394097e-05,4.668308725e-01,5.499427845e-04,1.076691222e-05,6.183014510e-01,308.428645,311.126741,311.126741,16,32,-1.000e+00,1.421728430e-01,2.624769986e-04,4.745087850e-01,4.525698,3.094895989e-04,5.242129386e-06,3.388082,2.302480012e-04,8.059107295e-06,4.554116,1.020518436e-05,6.653849808e-07,7.556399942e-05,8.431211360e-01,0.000000000e+00,6.320179964e-04,0.000000000e+00,1.462130169e+00,1.803790001e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,20,1,1,1,20,1.515500000e-07,8.718551002e-08,3.401082270e-02,2.120419240e-04,3.621059500e-04,1.594876266e-04,3.437308020e-02,3.429451400e-02,3.408248100e-02,2.821473161e-04,8.208380352e-01,3.319887344e-02,3.315998921e-02,3.299857224e-02,1.855838988e-04,5.590066153e-01,3.283661594e-02,3.281966400e-02,3.269062424e-02,1.110366270e-04,3.381488127e-01,1.174206756e-03,1.822023898e-04,6.089450840e-01,323.427187,326.995274,326.995274,12,32,-1.000e+00,1.339234580e-01,3.058220027e-04,4.733342880e-01,4.536928,6.326207995e-04,1.133050047e-04,4.143778,5.297952026e-04,1.491860760e-04,4.948025,1.179075394e-05,1.620734432e-06,5.707400123e-05,8.372421370e-01,0.000000000e+00,1.600329000e-03,0.000000000e+00,1.447844624e+00,2.132540030e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,32,1,1,1,20,4.558500000e-07,4.632114755e-07,5.410636050e-02,2.744326794e-04,6.467232500e-04,3.035141460e-04,5.475353960e-02,5.461081200e-02,5.438621600e-02,4.017820188e-04,7.338009958e-01,5.285703513e-02,5.281134169e-02,5.257155518e-02,3.414043290e-04,6.459013983e-01,5.220985603e-02,5.224836922e-02,5.204697418e-02,1.283515300e-04,2.458377398e-01,1.896504467e-03,2.499479267e-04,6.170543990e-01,325.025215,329.054138,329.054138,7,32,-1.000e+00,1.351714480e-01,3.136910018e-04,4.802125230e-01,4.471944,1.020736003e-03,1.843720448e-04,4.109098,8.631040007e-04,1.814636120e-04,4.859558,1.266446307e-05,8.429043739e-07,6.928500079e-05,8.444531540e-01,0.000000000e+00,2.496428002e-03,0.000000000e+00,1.464073266e+00,2.211530009e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,3,1,1,1,20,1.699000000e-07,1.721351977e-08,5.612023000e-03,1.021481701e-05,4.478135000e-05,2.692934425e-06,5.656974250e-03,5.654565500e-03,5.636682000e-03,1.039175966e-05,1.836981963e-01,5.436928894e-03,5.433737731e-03,5.420772226e-03,8.927268726e-06,1.641969005e-01,5.391977644e-03,5.388671875e-03,5.376992226e-03,8.183656699e-06,1.517746779e-01,2.200453560e-04,5.109289266e-06,6.142181590e-01,296.235755,298.705381,298.705381,8,256,-1.000e+00,1.390160130e-01,2.620460000e-04,4.735507170e-01,4.534855,1.209647998e-04,4.496045169e-06,3.250665,8.986400068e-05,3.350786638e-06,4.375679,9.216555534e-06,5.392917369e-07,2.880299871e-05,8.352759410e-01,0.000000000e+00,3.008060012e-04,0.000000000e+00,1.449823709e+00,1.795789940e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,6,1,1,1,20,1.339500000e-07,2.247214653e-08,1.005610085e-02,9.534611490e-04,9.103700000e-05,4.124468246e-06,1.014727180e-02,9.934103500e-03,9.911021000e-03,9.541920574e-04,9.403434501e+00,9.508198233e-03,9.510065958e-03,9.492668640e-03,1.057048640e-05,1.111723393e-01,9.417027283e-03,9.419631958e-03,9.403807640e-03,8.943879733e-06,9.497561667e-02,6.390735673e-04,9.553837764e-04,6.118289420e-01,338.784004,342.063942,342.063942,8,128,-1.000e+00,1.342501550e-01,2.705720035e-04,4.759269120e-01,4.512213,2.330479994e-04,6.293247539e-06,3.374549,3.961407974e-04,9.556635306e-04,1.985234,9.884770407e-06,5.427743392e-07,2.398800279e-05,8.406387080e-01,0.000000000e+00,5.407159988e-04,0.000000000e+00,1.453032354e+00,2.664489948e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,8,1,1,1,20,3.227000000e-07,1.202327130e-07,1.347695775e-02,9.901302005e-04,1.222173500e-04,5.133424006e-06,1.359949780e-02,1.338024050e-02,1.335245600e-02,9.904137438e-04,7.282722924e+00,1.282770324e-02,1.282617045e-02,1.281383763e-02,9.946223268e-06,7.753705460e-02,1.270516319e-02,1.270086432e-02,1.269452763e-02,9.520989600e-06,7.493795598e-02,7.717945573e-04,9.920869155e-04,6.153788340e-01,334.819664,338.048967,338.048967,8,96,-1.000e+00,1.402989330e-01,2.552360020e-04,4.734577910e-01,4.535745,3.104671985e-04,6.493284208e-06,3.377413,4.512272075e-04,9.927718202e-04,2.323832,1.010015128e-05,7.179348762e-07,2.744500671e-05,8.409926960e-01,0.000000000e+00,6.669130016e-04,0.000000000e+00,1.457065888e+00,1.821249971e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,20,1,1,1,20,1.895000000e-07,5.395563481e-08,3.236410645e-02,1.516285354e-04,3.275391000e-04,1.268105260e-04,3.269183505e-02,3.261848650e-02,3.257513800e-02,2.530453854e-04,7.740323694e-01,3.155639109e-02,3.153157093e-02,3.150919641e-02,1.239752198e-04,3.928688152e-01,3.122866249e-02,3.122731209e-02,3.121430397e-02,1.087661558e-05,3.482895106e-02,1.135443959e-03,1.514609532e-04,6.198127350e-01,340.261287,343.832152,343.832152,6,64,-1.000e+00,1.417985640e-01,3.165540038e-04,4.763372670e-01,4.508326,6.195888042e-04,1.150347929e-04,4.230935,5.046704009e-04,1.098689594e-04,5.194361,1.118475399e-05,7.054386548e-07,2.725499508e-05,8.380727430e-01,0.000000000e+00,1.567517997e-03,0.000000000e+00,1.459480251e+00,1.900560019e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp_smem(blk128),double,local,local,16384,16384,32,1,1,1,20,2.622000000e-07,2.564635195e-07,5.270970205e-02,4.570582587e-04,6.522531500e-04,3.036728491e-04,5.336221740e-02,5.298850300e-02,5.291684200e-02,6.288606391e-04,1.178475464e+00,5.135064138e-02,5.112921231e-02,5.109614221e-02,3.692772112e-04,7.191287222e-01,5.069812603e-02,5.059192085e-02,5.057958221e-02,2.519848267e-04,4.970298638e-01,2.011576020e-03,3.433228307e-04,6.133079740e-01,334.559973,338.865961,338.865961,4,32,-1.000e+00,1.367353750e-01,3.165860035e-04,4.748831730e-01,4.522130,1.058329609e-03,2.694780449e-04,3.963136,9.405760050e-04,2.617766624e-04,4.459293,1.267040601e-05,1.174581008e-06,2.315699385e-05,8.232633860e-01,0.000000000e+00,2.424644001e-03,0.000000000e+00,1.439019161e+00,2.097990000e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
