kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,1,1.270000001e-07,5.922093000e-03,4.450100000e-05,5.966721000e-03,5.749972200e-03,5.705344200e-03,2.167487999e-04,280.107917,282.298960,282.298960,1.186240017e-04,8.928000182e-05,8.844796305e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,2,1.349999998e-07,5.926731000e-03,4.370100000e-05,5.970567000e-03,5.756540182e-03,5.712704182e-03,2.140268183e-04,279.788325,281.935260,281.935260,1.177920029e-04,8.758399636e-05,8.650819117e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,3,1.000000001e-07,5.932967000e-03,4.402900000e-05,5.977096000e-03,5.761281119e-03,5.717152119e-03,2.158148813e-04,279.558088,281.715914,281.715914,1.180799976e-04,8.857599646e-05,9.158887260e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,4,1.379999999e-07,5.929086000e-03,4.827700000e-05,5.977501000e-03,5.751934821e-03,5.703519821e-03,2.255661788e-04,280.012341,282.389259,282.389259,1.186880022e-04,9.628800303e-05,1.059017358e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,5,2.180000001e-07,5.933183000e-03,4.777500000e-05,5.981176000e-03,5.757209118e-03,5.709216118e-03,2.239668821e-04,279.755816,282.107509,282.107509,1.206720024e-04,9.292799979e-05,1.036687991e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,6,1.360000002e-07,5.955657000e-03,5.091600000e-05,6.006709000e-03,5.790955927e-03,5.739903927e-03,2.157530732e-04,278.125539,280.599250,280.599250,1.188800037e-04,8.764799684e-05,9.225072617e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,7,1.310000002e-07,5.919720000e-03,4.423000000e-05,5.964081000e-03,5.745544796e-03,5.701183796e-03,2.185362041e-04,280.323763,282.504966,282.504966,1.193279997e-04,8.873599768e-05,1.047220674e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,8,1.170000001e-07,5.931194000e-03,4.463100000e-05,5.975942000e-03,5.757420234e-03,5.712672234e-03,2.185217664e-04,279.745558,281.936836,281.936836,1.207360029e-04,8.851200342e-05,9.273760075e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,9,1.319999998e-07,5.947295000e-03,4.411200000e-05,5.991539000e-03,5.753460118e-03,5.709216118e-03,2.380788821e-04,279.938107,282.107509,282.107509,1.384000033e-04,9.068799764e-05,8.990881188e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64)(g8),double,local,local,16384,16384,3,1,1,1,10,1.260000000e-07,5.925552000e-03,4.548100000e-05,5.971159000e-03,5.751591116e-03,5.705984116e-03,2.195678844e-04,280.029074,282.267301,282.267301,1.205760017e-04,9.065599740e-05,8.335885300e-06,row,0,-1.000000000e+00,-1.000000
