kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cublas,double,local,local,16384,16384,3,1,1,1,1,2.220000002e-07,1.048072580e-01,4.376800000e-05,1.048512480e-01,1.045261677e-01,1.044821777e-01,3.250802656e-04,15.408704,15.415191,15.415191,2.263039947e-04,8.841600269e-05,1.036026828e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,2,1.600000004e-07,1.047021270e-01,4.605200000e-05,1.047483390e-01,1.045111702e-01,1.044649582e-01,2.371688091e-04,15.410915,15.417732,15.417732,1.221119985e-04,1.034879982e-04,1.156881234e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,3,1.791000000e-06,1.046949950e-01,4.343600000e-05,1.047402220e-01,1.045062484e-01,1.044610214e-01,2.339735767e-04,15.411641,15.418313,15.418313,1.360960007e-04,8.825600147e-05,9.621574516e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,4,1.170000004e-07,1.046765980e-01,4.443300000e-05,1.047211480e-01,1.045053197e-01,1.044607697e-01,2.158283467e-04,15.411778,15.418350,15.418350,1.193599999e-04,8.604799956e-05,1.042034722e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,5,1.009999999e-07,1.047015990e-01,4.606700000e-05,1.047477670e-01,1.045061671e-01,1.044599991e-01,2.415999155e-04,15.411653,15.418464,15.418464,1.216320023e-04,1.072959974e-04,1.267191579e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,6,1.503000000e-06,1.046813240e-01,4.439600000e-05,1.047272230e-01,1.045002981e-01,1.044543991e-01,2.269248911e-04,15.412518,15.419291,15.419291,1.353279948e-04,8.281599730e-05,8.780898987e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,7,1.560000000e-07,1.046788660e-01,4.389000000e-05,1.047229120e-01,1.044985748e-01,1.044545288e-01,2.243371914e-04,15.412772,15.419271,15.419271,1.193599999e-04,9.513600171e-05,9.841189805e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,8,1.180000000e-07,1.046730730e-01,4.280900000e-05,1.047160000e-01,1.044971354e-01,1.044542084e-01,2.188646260e-04,15.412985,15.419319,15.419319,1.208639964e-04,8.787199855e-05,1.012863098e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,9,1.479999998e-07,1.046994170e-01,4.307000000e-05,1.047426350e-01,1.045061620e-01,1.044629440e-01,2.364729692e-04,15.411653,15.418029,15.418029,1.398079991e-04,8.752000332e-05,9.144966785e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,10,1.569999997e-07,1.046770230e-01,4.419300000e-05,1.047213730e-01,1.045063022e-01,1.044619522e-01,2.150707905e-04,15.411633,15.418176,15.418176,1.224640012e-04,8.380799741e-05,8.798791943e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,11,1.529999998e-07,1.047646320e-01,1.239220000e-04,1.048887070e-01,1.045837231e-01,1.044596481e-01,3.049838677e-04,15.400224,15.418516,15.418516,1.212479994e-04,1.741759926e-04,9.559875698e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,12,1.220000003e-07,1.047713040e-01,4.432500000e-05,1.048157510e-01,1.045178586e-01,1.044734116e-01,2.978924399e-04,15.409929,15.416485,15.416485,2.028799951e-04,8.502399921e-05,9.988445619e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,13,1.500000000e-07,1.046784670e-01,4.373300000e-05,1.047223500e-01,1.045090319e-01,1.044651489e-01,2.133180742e-04,15.411230,15.417704,15.417704,1.202879995e-04,8.371199667e-05,9.318078034e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,14,1.450000000e-07,1.047899450e-01,1.296910000e-04,1.049197810e-01,1.045920781e-01,1.044622421e-01,3.277028735e-04,15.398994,15.418133,15.418133,1.205440015e-04,1.935359985e-04,1.362287361e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,15,1.623000000e-06,1.048118750e-01,4.483400000e-05,1.048583320e-01,1.045394456e-01,1.044929886e-01,3.188864136e-04,15.406746,15.413596,15.413596,2.216960043e-04,8.844800293e-05,8.742406368e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,16,1.020000000e-07,1.046770310e-01,4.552600000e-05,1.047226590e-01,1.045053753e-01,1.044597473e-01,2.172836855e-04,15.411769,15.418501,15.418501,1.205760017e-04,8.656000346e-05,1.014768038e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,17,1.120000004e-07,1.046735520e-01,4.417800000e-05,1.047178420e-01,1.045035872e-01,1.044592972e-01,2.142548198e-04,15.412033,15.418568,15.418568,1.199359968e-04,8.575999737e-05,8.558825626e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,18,1.219999999e-07,1.046876770e-01,4.301300000e-05,1.047308120e-01,1.045034850e-01,1.044603500e-01,2.273269634e-04,15.412048,15.418412,15.418412,1.311360002e-04,8.675199747e-05,9.438965752e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,19,1.140000001e-07,1.047763700e-01,1.228890000e-04,1.048993730e-01,1.045800266e-01,1.044570236e-01,3.193463794e-04,15.400768,15.418903,15.418903,1.197120026e-04,1.862400025e-04,1.339437431e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,3,1,1,1,20,1.593000000e-06,1.047980570e-01,4.386200000e-05,1.048435120e-01,1.045376120e-01,1.044921570e-01,3.059000176e-04,15.407017,15.413719,15.413719,2.127680033e-04,8.377599716e-05,9.356017072e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,1,1.880000000e-07,1.048005670e-01,2.878520000e-04,1.050886070e-01,1.045034636e-01,1.042154236e-01,5.851434160e-04,30.824102,30.909297,30.909297,2.344319969e-04,3.384639919e-04,1.224742719e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,2,2.980000000e-07,1.048281240e-01,8.992000000e-05,1.049183420e-01,1.043116612e-01,1.042214432e-01,6.066808237e-04,30.880780,30.907512,30.907512,4.070079923e-04,1.885759979e-04,1.109683351e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,3,2.450000003e-07,1.046361000e-01,8.820600000e-05,1.047245510e-01,1.043103367e-01,1.042218857e-01,4.142143188e-04,30.881172,30.907380,30.907380,2.344319969e-04,1.695359945e-04,1.024632738e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,4,2.200000000e-07,1.046584100e-01,9.049900000e-05,1.047491290e-01,1.043084467e-01,1.042177277e-01,4.406823389e-04,30.881732,30.908614,30.908614,2.399359941e-04,1.872320026e-04,1.351434210e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,5,1.771000000e-06,1.046452070e-01,8.952200000e-05,1.047365000e-01,1.043099133e-01,1.042186203e-01,4.265866997e-04,30.881298,30.908349,30.908349,2.494720072e-04,1.668799967e-04,1.023469589e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,6,2.580000000e-07,1.046329390e-01,8.737700000e-05,1.047205740e-01,1.043082771e-01,1.042206421e-01,4.122969102e-04,30.881782,30.907749,30.907749,2.322240025e-04,1.694079936e-04,1.066491412e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,7,2.310000000e-07,1.046241760e-01,8.826000000e-05,1.047126670e-01,1.043100944e-01,1.042216034e-01,4.025726064e-04,30.881244,30.907464,30.907464,2.317759991e-04,1.614399999e-04,9.356607438e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,8,1.720000000e-07,1.046410170e-01,8.972100000e-05,1.047309100e-01,1.043122899e-01,1.042223969e-01,4.186201494e-04,30.880594,30.907229,30.907229,2.390719950e-04,1.690240055e-04,1.052414886e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,9,1.450000000e-07,1.046329030e-01,8.957800000e-05,1.047226260e-01,1.043080610e-01,1.042183380e-01,4.145649873e-04,30.881846,30.908433,30.908433,2.319040000e-04,1.720000058e-04,1.066098142e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,10,1.910000003e-07,1.046370520e-01,1.096110000e-04,1.047468540e-01,1.043378675e-01,1.042280655e-01,4.089865093e-04,30.873024,30.905548,30.905548,2.351679951e-04,1.648000032e-04,9.018511011e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,11,1.969999999e-07,1.046297020e-01,8.884200000e-05,1.047187410e-01,1.043099329e-01,1.042208939e-01,4.088081401e-04,30.881292,30.907675,30.907675,2.336000055e-04,1.643519998e-04,1.085613487e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,12,1.839999997e-07,1.048029290e-01,2.689720000e-04,1.050720850e-01,1.044944978e-01,1.042253418e-01,5.775872031e-04,30.826747,30.906356,30.906356,2.342080027e-04,3.319999874e-04,1.137921308e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,13,1.780000005e-07,1.047948760e-01,8.832100000e-05,1.048833750e-01,1.043097438e-01,1.042212448e-01,5.736311880e-04,30.881348,30.907571,30.907571,4.034560025e-04,1.607680023e-04,9.407183242e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,14,1.610000000e-07,1.046166960e-01,8.897900000e-05,1.047058360e-01,1.043053342e-01,1.042161942e-01,4.005018472e-04,30.882653,30.909068,30.909068,2.330559939e-04,1.583359987e-04,9.109854599e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,15,2.090000000e-07,1.048370980e-01,2.693870000e-04,1.051066940e-01,1.044918326e-01,1.042222366e-01,6.148613667e-04,30.827534,30.907276,30.907276,2.311359942e-04,3.688960075e-04,1.482936497e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,16,1.914000000e-06,1.048128000e-01,8.752200000e-05,1.049022360e-01,1.043101086e-01,1.042206726e-01,5.921273926e-04,30.881240,30.907740,30.907740,4.158720076e-04,1.650879979e-04,1.116738706e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,16384,16384,6,1,1,1,17,2.690000001e-07,1.046441990e-01,8.918000000e-05,1.047336480e-01,1.043068257e-01,1.042173767e-01,4.268222910e-04,30.882212,30.908718,30.908718,2.340479940e-04,1.835519969e-04,9.222300052e-06,row,0,-1.000000000e+00,-1.000000
