kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,1,8.999999990e-08,1.109543700e-02,4.435700000e-05,1.113988400e-02,1.091926294e-02,1.087481594e-02,2.206210591e-04,147.501965,148.104827,148.104827,1.186560020e-04,9.180799872e-05,1.015705844e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,2,1.139999999e-07,1.110213800e-02,4.442000000e-05,1.114667200e-02,1.092610196e-02,1.088156796e-02,2.205700450e-04,147.409638,148.012928,148.012928,1.192319989e-04,9.116800129e-05,1.017004477e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,3,1.279999999e-07,1.117625500e-02,4.454100000e-05,1.122092400e-02,1.100198063e-02,1.095731163e-02,2.189433698e-04,146.392981,146.989772,146.989772,1.176640019e-04,9.151999652e-05,9.759371345e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,4,1.080000001e-07,1.107567900e-02,4.325100000e-05,1.111903800e-02,1.090310307e-02,1.085974407e-02,2.159349280e-04,147.720582,148.310377,148.310377,1.183679998e-04,8.812800050e-05,9.438927750e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,5,1.119999999e-07,1.112003800e-02,4.438200000e-05,1.116453200e-02,1.093799814e-02,1.089350414e-02,2.265338572e-04,147.249315,147.850748,147.850748,1.189119965e-04,9.756799787e-05,1.005386288e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,6,1.460000001e-07,1.107622200e-02,4.490400000e-05,1.112127200e-02,1.090495429e-02,1.085990429e-02,2.163177108e-04,147.695505,148.308189,148.308189,1.199359968e-04,8.758399636e-05,8.797717568e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,7,1.180000000e-07,1.112859500e-02,4.424100000e-05,1.117295400e-02,1.095904711e-02,1.091468811e-02,2.139068896e-04,146.966494,147.563789,147.563789,1.196160018e-04,8.563199639e-05,8.658891411e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,8,1.390000000e-07,1.085177600e-02,4.331200000e-05,1.089522700e-02,1.067733924e-02,1.063388824e-02,2.178877554e-04,150.844016,151.460378,151.460378,1.183039993e-04,9.084799886e-05,8.735757209e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,9,1.160000000e-07,1.082916000e-02,4.409100000e-05,1.087336700e-02,1.066007938e-02,1.061587238e-02,2.132876169e-04,151.088250,151.717417,151.717417,1.186240017e-04,8.499199897e-05,9.671616171e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,10,1.119999999e-07,1.079410800e-02,4.354500000e-05,1.083776500e-02,1.062144917e-02,1.057779217e-02,2.163158323e-04,151.637758,152.263602,152.263602,1.180799976e-04,8.953599632e-05,8.699838419e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,11,1.670000001e-07,1.084158300e-02,4.449200000e-05,1.088624200e-02,1.067361866e-02,1.062895966e-02,2.126233442e-04,150.896597,151.530610,151.530610,1.190399975e-04,8.435200155e-05,9.231345232e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,12,1.140000001e-07,1.087664500e-02,4.330400000e-05,1.092006300e-02,1.070194633e-02,1.065852833e-02,2.181166721e-04,150.497179,151.110236,151.110236,1.185280010e-04,9.020800143e-05,9.380669613e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,13,1.140000001e-07,1.085512000e-02,4.300600000e-05,1.089824000e-02,1.068600044e-02,1.064288044e-02,2.122395602e-04,150.721755,151.332409,151.332409,1.177280024e-04,8.492799848e-05,9.583559389e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,14,1.390000002e-07,1.089987400e-02,4.310500000e-05,1.094311800e-02,1.070858824e-02,1.066534424e-02,2.345297617e-04,150.403835,151.013666,151.013666,1.367360055e-04,8.816000074e-05,9.633755432e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,15,1.679999999e-07,1.086341600e-02,4.409100000e-05,1.090767500e-02,1.068182747e-02,1.063756847e-02,2.258475262e-04,150.780636,151.407978,151.407978,1.228159964e-04,9.318400174e-05,9.847528032e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,16,1.159999998e-07,1.079892800e-02,4.388800000e-05,1.084293200e-02,1.062515596e-02,1.058115196e-02,2.177760377e-04,151.584856,152.215254,152.215254,1.188160032e-04,9.046400338e-05,8.496031132e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,17,1.119999999e-07,1.079037500e-02,4.439000000e-05,1.083487700e-02,1.062331841e-02,1.057881641e-02,2.115585861e-04,151.611076,152.248860,152.248860,1.179199964e-04,8.511999995e-05,8.518589795e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,18,9.000000012e-08,1.078718500e-02,4.368900000e-05,1.083096400e-02,1.061913930e-02,1.057536030e-02,2.118247018e-04,151.670742,152.298616,152.298616,1.179199964e-04,8.521600068e-05,8.688704786e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,19,1.359999999e-07,1.084954000e-02,4.404400000e-05,1.089372000e-02,1.068149194e-02,1.063731194e-02,2.122280646e-04,150.785372,151.411630,151.411630,1.190079972e-04,8.358400315e-05,9.636064210e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,3,1,1,1,20,1.350000001e-07,1.081461200e-02,4.406000000e-05,1.085880700e-02,1.064019472e-02,1.059599972e-02,2.186122823e-04,151.370607,152.001961,152.001961,1.182719991e-04,9.046400338e-05,9.876279842e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,6,1,1,1,1,1.429999998e-07,1.080734100e-02,9.026200000e-05,1.089774600e-02,1.047440482e-02,1.038399982e-02,4.233411755e-04,307.533032,310.210471,310.210471,2.321919948e-04,1.820800006e-04,9.069180051e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,16384,16384,6,1,1,1,2,1.620000001e-07,1.091026500e-02,9.138300000e-05,1.100181000e-02,1.056159295e-02,1.047004795e-02,4.402170493e-04,304.994283,307.661005,307.661005,2.328960001e-04,1.975360066e-04,9.785042539e-06,row,0,-1.000000000e+00,-1.000000
