kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,1,1.830000000e-07,5.560175000e-03,4.408100000e-05,5.604439000e-03,5.376872223e-03,5.332608223e-03,2.275667770e-04,299.544544,302.030952,302.030952,1.305280030e-04,8.761599660e-05,9.422777462e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,2,1.180000000e-07,5.546929000e-03,4.320800000e-05,5.590255000e-03,5.369758228e-03,5.326432228e-03,2.204967719e-04,299.941388,302.381156,302.381156,1.204480007e-04,9.171199799e-05,8.336773197e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,3,1.109999999e-07,5.558034000e-03,4.437200000e-05,5.602517000e-03,5.381315047e-03,5.336832047e-03,2.212019535e-04,299.297239,301.791910,301.791910,1.208959967e-04,9.036800265e-05,9.937954148e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,4,1.159999998e-07,5.562320000e-03,4.393100000e-05,5.606367000e-03,5.379951121e-03,5.335904121e-03,2.264158786e-04,299.373117,301.844392,301.844392,1.239999980e-04,9.379199892e-05,8.623881705e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,5,1.200000002e-07,5.558531000e-03,4.349800000e-05,5.602149000e-03,5.379522121e-03,5.335904121e-03,2.226268786e-04,299.396991,301.844392,301.844392,1.203520000e-04,9.337600321e-05,8.898875397e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,6,1.130000000e-07,5.547631000e-03,4.337600000e-05,5.591120000e-03,5.372993013e-03,5.329504013e-03,2.181269869e-04,299.760810,302.206872,302.206872,1.212159991e-04,8.796799928e-05,8.942988533e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,7,1.130000000e-07,5.550278000e-03,4.402900000e-05,5.594420000e-03,5.375566236e-03,5.331424236e-03,2.188537637e-04,299.617318,302.098026,302.098026,1.200639978e-04,8.892799914e-05,9.861766759e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,8,1.090000001e-07,5.549520000e-03,4.477700000e-05,5.594406000e-03,5.379701979e-03,5.334815979e-03,2.147040210e-04,299.386981,301.905959,301.905959,1.191679984e-04,8.566399664e-05,9.872025926e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,9,1.119999999e-07,5.550845000e-03,4.389800000e-05,5.594855000e-03,5.376201944e-03,5.332191944e-03,2.186530559e-04,299.581889,302.054531,302.054531,1.224640012e-04,8.662399650e-05,9.565058203e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,10,1.219999999e-07,5.568159000e-03,4.481200000e-05,5.613093000e-03,5.369861807e-03,5.324927807e-03,2.432311931e-04,299.935602,302.466586,302.466586,1.192959994e-04,1.139200032e-04,1.001519056e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,11,1.180000000e-07,5.557112000e-03,4.338900000e-05,5.600619000e-03,5.386771103e-03,5.343264103e-03,2.138478971e-04,298.994092,301.428622,301.428622,1.194560006e-04,8.454400301e-05,9.847893428e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,12,1.250000001e-07,5.539635000e-03,4.230100000e-05,5.582061000e-03,5.368217836e-03,5.325791836e-03,2.138431642e-04,300.027455,302.417516,302.417516,1.186880022e-04,8.528000116e-05,9.875160823e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,13,1.379999999e-07,5.546898000e-03,4.378100000e-05,5.590817000e-03,5.374702844e-03,5.330783844e-03,2.161141560e-04,299.665448,302.134317,302.134317,1.182079986e-04,8.873599768e-05,9.170159755e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,14,1.290000000e-07,5.556737000e-03,4.394900000e-05,5.600815000e-03,5.381390222e-03,5.337312222e-03,2.194247785e-04,299.293058,301.764759,301.764759,1.211839989e-04,8.950400352e-05,8.736776065e-06,column,0,-1.000000000e+00,-1.000000
