kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,1,1.889999999e-07,5.652931000e-03,6.146000000e-05,5.714580000e-03,5.486512815e-03,5.424863815e-03,2.280671847e-04,293.558548,296.894593,296.894593,1.192959994e-04,9.759999812e-05,1.117118717e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,2,1.690000000e-07,5.642831000e-03,4.568400000e-05,5.688684000e-03,5.456989150e-03,5.411136150e-03,2.316948496e-04,295.146773,297.647794,297.647794,1.205760017e-04,1.006399989e-04,1.047884902e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,3,1.400000000e-07,5.647509000e-03,4.429700000e-05,5.691946000e-03,5.464725086e-03,5.420288086e-03,2.272209141e-04,294.728959,297.145227,297.145227,1.219519973e-04,9.536000341e-05,9.908913370e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,4,3.359999998e-07,5.647023000e-03,4.541000000e-05,5.692769000e-03,5.475313814e-03,5.429567814e-03,2.174551861e-04,294.158982,296.637374,296.637374,1.185920015e-04,8.995199949e-05,8.911185144e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,5,1.240000000e-07,5.655096000e-03,4.450900000e-05,5.699729000e-03,5.467321007e-03,5.422688007e-03,2.324079926e-04,294.589020,297.013720,297.013720,1.290239990e-04,9.427200258e-05,9.111991092e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,6,1.269999998e-07,5.660251000e-03,4.398200000e-05,5.704360000e-03,5.486701144e-03,5.442592144e-03,2.176588560e-04,293.548472,295.927509,295.927509,1.184000000e-04,9.087999910e-05,8.378856851e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,7,1.340000000e-07,5.638722000e-03,5.396100000e-05,5.692817000e-03,5.472494811e-03,5.418399811e-03,2.203221892e-04,294.310510,297.248780,297.248780,1.177600026e-04,9.273599833e-05,9.826188263e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,8,3.440000000e-07,5.662309000e-03,4.435600000e-05,5.707009000e-03,5.491899821e-03,5.447199821e-03,2.151091785e-04,293.270596,295.677190,295.677190,1.170879975e-04,8.928000182e-05,8.741179213e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,9,1.590000001e-07,5.674301000e-03,4.342300000e-05,5.717883000e-03,5.496222057e-03,5.452640057e-03,2.216609434e-04,293.039968,295.382185,295.382185,1.211839989e-04,9.126400203e-05,9.212942482e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,10,1.299999999e-07,5.652266000e-03,4.384300000e-05,5.696239000e-03,5.479205162e-03,5.435232162e-03,2.170338375e-04,293.950069,296.328232,296.328232,1.191359982e-04,8.918400109e-05,8.713838247e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,11,1.130000000e-07,5.661801000e-03,4.448900000e-05,5.706403000e-03,5.489049994e-03,5.444447994e-03,2.173530058e-04,293.422858,295.826636,295.826636,1.178560033e-04,8.934400231e-05,1.015300012e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,12,1.180000000e-07,5.634773000e-03,4.383700000e-05,5.678728000e-03,5.463091047e-03,5.419136047e-03,2.156369526e-04,294.817114,297.208397,297.208397,1.187520027e-04,8.806400001e-05,8.820949910e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,13,1.190000001e-07,5.622769000e-03,4.323600000e-05,5.666124000e-03,5.449819100e-03,5.406464100e-03,2.163049001e-04,295.535082,297.905009,297.905009,1.183039993e-04,8.822400123e-05,9.776899583e-06,row,0,-1.000000000e+00,-1.000000
