kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,1,1.909999998e-07,1.128086700e-02,4.373500000e-05,1.132479300e-02,1.110248637e-02,1.105856037e-02,2.223066286e-04,145.067752,145.643979,145.643979,1.222079992e-04,9.043200314e-05,9.666626231e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,2,1.400000000e-07,1.128394800e-02,4.419200000e-05,1.132828000e-02,1.110897205e-02,1.106464005e-02,2.193079548e-04,144.983058,145.563952,145.563952,1.198080033e-04,9.030400217e-05,9.195949362e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,3,1.130000000e-07,1.134082300e-02,4.772900000e-05,1.138866500e-02,1.116867444e-02,1.112083244e-02,2.199905568e-04,144.208048,144.828433,144.828433,1.184640005e-04,9.145600349e-05,1.007055275e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,4,1.340000000e-07,1.133168700e-02,4.404000000e-05,1.137586100e-02,1.115598182e-02,1.111180782e-02,2.198791768e-04,144.372119,144.946058,144.946058,1.206080019e-04,9.043200314e-05,8.839171731e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,5,1.599999999e-07,1.145908300e-02,4.536700000e-05,1.150461000e-02,1.127064659e-02,1.122511959e-02,2.339634092e-04,142.903313,143.482902,143.482902,1.200639978e-04,1.046719998e-04,9.227411624e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,6,1.340000000e-07,1.135454200e-02,4.461700000e-05,1.139929300e-02,1.118315108e-02,1.113840008e-02,2.161419222e-04,144.021370,144.600008,144.600008,1.216000021e-04,8.544000238e-05,9.101917748e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,7,1.299999999e-07,1.138023600e-02,4.482900000e-05,1.142519500e-02,1.121017545e-02,1.116521645e-02,2.150195541e-04,143.674177,144.252711,144.252711,1.193599999e-04,8.691199869e-05,8.747555493e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,8,1.029999999e-07,1.133927000e-02,4.445900000e-05,1.138383200e-02,1.116420998e-02,1.111964798e-02,2.196220203e-04,144.265715,144.843860,144.843860,1.188160032e-04,9.129600227e-05,9.510014792e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,9,1.130000000e-07,1.139525400e-02,4.476600000e-05,1.144013300e-02,1.121703915e-02,1.117216015e-02,2.230938514e-04,143.586263,144.163055,144.163055,1.242559999e-04,8.940800279e-05,9.429848663e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk64),double,local,local,16384,16384,3,1,1,1,10,1.450000000e-07,1.134918200e-02,4.513300000e-05,1.139446000e-02,1.116867011e-02,1.112339211e-02,2.257898949e-04,144.208104,144.795106,144.795106,1.195840016e-04,9.679999948e-05,9.405893821e-06,row,0,-1.000000000e+00,-1.000000
