kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,1,1.080000001e-07,6.629084000e-03,4.722800000e-05,6.676420000e-03,6.457415956e-03,6.410079956e-03,2.190040439e-04,249.420627,251.262503,251.262503,1.209279969e-04,8.851200342e-05,9.564043590e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,2,1.210000002e-07,6.626599000e-03,4.487600000e-05,6.671596000e-03,6.450180792e-03,6.405183792e-03,2.214152079e-04,249.700402,251.454570,251.454570,1.201919988e-04,9.187199920e-05,9.351209902e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,3,1.110000001e-07,6.612297000e-03,6.142100000e-05,6.673829000e-03,6.456667880e-03,6.395135880e-03,2.171611205e-04,249.449525,251.849650,251.849650,1.199679971e-04,8.736000210e-05,9.833121309e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,4,1.129999998e-07,6.590340000e-03,4.696900000e-05,6.637422000e-03,6.423018031e-03,6.375936031e-03,2.144039687e-04,250.756378,252.608045,252.608045,1.198719963e-04,8.563199639e-05,8.899975922e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,5,1.159999998e-07,6.594214000e-03,4.325800000e-05,6.637588000e-03,6.419534145e-03,6.376160145e-03,2.180538552e-04,250.892463,252.599166,252.599166,1.193279997e-04,8.959999681e-05,9.125858738e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,6,8.699999987e-08,6.599492000e-03,4.506500000e-05,6.644644000e-03,6.430112175e-03,6.384960175e-03,2.145318254e-04,250.479726,252.251023,252.251023,1.187520027e-04,8.681599796e-05,8.963824765e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,7,1.159999998e-07,6.593806000e-03,4.435800000e-05,6.638280000e-03,6.418938035e-03,6.374464035e-03,2.193419650e-04,250.915763,252.666377,252.666377,1.227200031e-04,8.656000346e-05,1.006195838e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,8,9.599999995e-08,6.598253000e-03,4.588200000e-05,6.644231000e-03,6.411737850e-03,6.365759850e-03,2.324931505e-04,251.197534,253.011859,253.011859,1.194880009e-04,1.032000035e-04,9.805146077e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,9,1.040000002e-07,6.598014000e-03,4.450200000e-05,6.642620000e-03,6.425597936e-03,6.380991936e-03,2.170220643e-04,250.655698,252.407894,252.407894,1.196800023e-04,8.870399743e-05,8.638064505e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem(blk64),double,local,local,16384,16384,3,1,1,1,10,8.799999995e-08,6.600557000e-03,4.346100000e-05,6.644106000e-03,6.423293053e-03,6.379744053e-03,2.208129471e-04,250.745641,252.457265,252.457265,1.182719991e-04,9.222400188e-05,1.031694617e-05,row,0,-1.000000000e+00,-1.000000
