kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp(blk64)(xcol),double,local,local,16384,16384,3,1,1,1,20,1.083500000e-07,5.593934655e-09,5.654552150e-03,2.459410674e-05,4.425220000e-05,1.158752896e-06,5.698912700e-03,5.708326500e-03,5.655507000e-03,2.394515950e-05,4.201706669e-01,5.479352577e-03,5.490829133e-03,5.438398139e-03,2.221774807e-05,4.054812637e-01,5.434992027e-03,5.446592093e-03,5.394976139e-03,2.281577606e-05,4.197941035e-01,2.195601227e-04,3.944450575e-06,6.470347660e-01,293.942161,296.341324,296.341324,-1,-1,-1.000e+00,1.647193360e-01,2.769909988e-04,4.819900840e-01,4.455452,1.200575996e-04,1.839449251e-06,3.275228,8.993920013e-05,2.714007935e-06,4.372020,9.563322965e-06,4.629312840e-07,5.244299973e-05,9.217030590e-01,0.000000000e+00,2.830660014e-04,0.000000000e+00,1.569299780e+00,1.989589946e-04,column,2.264459981e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,6,1,1,1,20,1.102999999e-07,2.218842754e-08,9.509664550e-03,1.836252867e-05,9.008250000e-05,1.564110088e-06,9.599857350e-03,9.598013000e-03,9.578400000e-03,1.845520215e-05,1.922445457e-01,9.188554483e-03,9.188174629e-03,9.176731440e-03,1.127100179e-05,1.226634920e-01,9.098361683e-03,9.097136021e-03,9.089088440e-03,1.121291504e-05,1.232410343e-01,4.113028671e-04,8.080911054e-06,6.217925770e-01,350.569339,354.044561,354.044561,-1,-1,-1.000e+00,1.466616750e-01,2.588029965e-04,4.748291560e-01,4.522645,2.327759989e-04,3.918425726e-06,3.378493,1.686256006e-04,6.347596525e-06,4.663776,9.901267612e-06,5.267334727e-07,2.260500332e-05,8.909262210e-01,0.000000000e+00,5.336789982e-04,0.000000000e+00,1.513731637e+00,1.795919961e-04,column,4.565549971e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,8,1,1,1,20,1.646000000e-07,3.288960801e-08,1.279723340e-02,3.318326927e-04,1.210596000e-04,4.544373588e-06,1.291845760e-02,1.283399200e-02,1.281507900e-02,3.320905217e-04,2.570666963e+00,1.229994739e-02,1.228990770e-02,1.227536603e-02,2.702854383e-05,2.197451986e-01,1.217872319e-02,1.216878414e-02,1.215600014e-02,2.756054402e-05,2.263007672e-01,6.185102078e-04,3.355480302e-04,6.185598140e-01,349.185826,352.661542,352.661542,-1,-1,-1.000e+00,1.457312160e-01,2.565590039e-04,4.725247230e-01,4.544701,3.067311972e-04,3.201034432e-06,3.418550,3.012831971e-04,3.354928055e-04,3.480367,1.049581344e-05,6.004185586e-07,3.167099931e-05,8.904163820e-01,0.000000000e+00,6.423289960e-04,0.000000000e+00,1.510402505e+00,1.950529986e-04,column,7.523090026e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,20,1,1,1,20,1.097000000e-07,3.201825133e-08,3.171300775e-02,7.591814159e-04,3.591021500e-04,1.304527470e-04,3.207221960e-02,3.183261850e-02,3.164891200e-02,7.924504156e-04,2.470831222e+00,3.080450795e-02,3.064877766e-02,3.059860266e-02,2.471185367e-04,8.022154977e-01,3.044529610e-02,3.031873608e-02,3.027913666e-02,1.849885700e-04,6.076096924e-01,1.267711653e-03,7.677885664e-04,6.155931860e-01,348.566458,352.679054,352.679054,-1,-1,-1.000e+00,1.377109680e-01,3.046060010e-04,4.775324450e-01,4.497042,6.006863981e-04,8.422539597e-06,4.364074,6.552863970e-04,7.706322671e-04,4.000449,1.173885801e-05,2.260687730e-06,2.526300523e-05,8.928709510e-01,0.000000000e+00,1.618768998e-03,0.000000000e+00,1.512465652e+00,1.908330014e-04,column,2.357482997e-03,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk64)(xcol),double,local,local,16384,16384,32,1,1,1,20,2.279999999e-07,1.672904817e-07,5.099651705e-02,9.560370838e-04,5.570118000e-04,1.167496978e-04,5.155375685e-02,5.127174550e-02,5.120446700e-02,9.785258139e-04,1.898068877e+00,4.950005768e-02,4.945338518e-02,4.940014181e-02,1.356883651e-04,2.741175900e-01,4.894281788e-02,4.892320061e-02,4.888975906e-02,4.526216110e-05,9.247967947e-02,2.053699171e-03,9.576023971e-04,6.183278650e-01,347.067660,351.019208,351.019208,-1,-1,-1.000e+00,1.400647950e-01,3.136259984e-04,4.779018050e-01,4.493567,9.779023975e-04,1.266876214e-05,4.289082,1.064160007e-03,9.577027568e-04,3.941422,1.163676653e-05,7.059285974e-07,2.525599848e-05,8.968056140e-01,0.000000000e+00,1.927357996e-03,0.000000000e+00,1.520920815e+00,1.998270018e-04,column,3.834722003e-03,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,3,1,1,1,20,1.248500000e-07,1.646135829e-08,5.585455200e-03,3.759534274e-05,4.406595000e-05,6.716167826e-07,5.629646000e-03,5.613839500e-03,5.580948000e-03,3.772611782e-05,6.701330388e-01,5.407504427e-03,5.384343521e-03,5.367016080e-03,3.613306520e-05,6.682022306e-01,5.363313627e-03,5.340816021e-03,5.323584080e-03,3.599113521e-05,6.710615434e-01,2.221415728e-04,5.284290835e-06,6.483917690e-01,297.847696,300.301800,300.301800,-1,-1,-1.000e+00,1.728146900e-01,2.661059989e-04,4.752637130e-01,4.518510,1.213375997e-04,4.503835837e-06,3.240677,9.155680016e-05,3.051657388e-06,4.294777,9.247172920e-06,7.673784109e-07,3.242199455e-05,9.069724660e-01,0.000000000e+00,2.865520000e-04,0.000000000e+00,1.555922392e+00,1.898990013e-04,column,2.391830058e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,6,1,1,1,20,1.310000000e-07,2.515426092e-08,9.715702800e-03,6.034497086e-04,8.920560000e-05,8.500176717e-07,9.805039400e-03,9.668968000e-03,9.658545000e-03,6.038238675e-04,6.158301286e+00,9.255170216e-03,9.253954695e-03,9.250879613e-03,3.109358794e-06,3.359591148e-02,9.165833616e-03,9.164496422e-03,9.162464142e-03,2.876405909e-06,3.138182548e-02,5.498691837e-04,6.026641235e-04,6.056956080e-01,348.046054,351.438353,351.438353,-1,-1,-1.000e+00,1.358685360e-01,2.645460045e-04,4.695173510e-01,4.573811,2.326703988e-04,2.440505124e-06,3.380026,3.077119976e-04,6.035619805e-04,2.555740,9.486787314e-06,5.964448991e-07,3.179999476e-05,8.944038980e-01,0.000000000e+00,5.408729994e-04,0.000000000e+00,1.501167598e+00,1.884180019e-04,column,4.954190008e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,8,1,1,1,20,9.635000000e-08,1.564162799e-08,1.281098455e-02,2.408751737e-05,1.196946500e-04,1.584935804e-06,1.293077555e-02,1.292306650e-02,1.290958800e-02,2.467754341e-05,1.908434905e-01,1.238164379e-02,1.237702287e-02,1.236883179e-02,1.981945608e-05,1.600712831e-01,1.226185279e-02,1.225785637e-02,1.224953556e-02,1.919632962e-05,1.565532546e-01,5.491317611e-04,6.540958544e-06,6.151649630e-01,346.881833,350.270662,350.270662,-1,-1,-1.000e+00,1.398872610e-01,2.533160005e-04,4.749832110e-01,4.521178,3.052816004e-04,3.146580961e-06,3.434783,2.335135996e-04,7.094344484e-06,4.490428,1.033656108e-05,4.903459828e-07,2.461500117e-05,8.916925490e-01,0.000000000e+00,6.583900031e-04,0.000000000e+00,1.508305560e+00,1.793800038e-04,column,7.650430052e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,20,1,1,1,20,1.376000000e-07,7.585679028e-08,3.164931565e-02,1.385118709e-04,3.418666500e-04,1.294333495e-04,3.199131990e-02,3.190080000e-02,3.187397100e-02,2.510735191e-04,7.848176314e-01,3.090192447e-02,3.083151578e-02,3.082035965e-02,1.500270042e-04,4.854940488e-01,3.055992022e-02,3.051771164e-02,3.051171112e-02,9.310723993e-05,3.046710831e-01,1.089395434e-03,1.166809598e-04,6.067545530e-01,347.467623,351.356226,351.356226,-1,-1,-1.000e+00,1.386485840e-01,3.048400031e-04,4.677549420e-01,4.591044,5.945248008e-04,5.642934330e-06,4.409303,4.838960007e-04,1.143246697e-04,5.417362,1.097463293e-05,1.217794564e-06,2.446500002e-05,8.826993080e-01,0.000000000e+00,1.579159005e-03,0.000000000e+00,1.493378573e+00,1.918769995e-04,column,2.321088003e-03,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,16384,16384,32,1,1,1,20,2.608500000e-07,1.369553423e-07,5.056376200e-02,5.999510667e-05,5.543336000e-04,6.005143801e-05,5.111835645e-02,5.107934850e-02,5.102279000e-02,9.605662685e-05,1.879102411e-01,4.929510139e-02,4.927011558e-02,4.923416824e-02,7.530586610e-05,1.527654148e-01,4.874050694e-02,4.872062492e-02,4.871424103e-02,5.386738098e-05,1.105187130e-01,1.823255065e-03,4.002512450e-05,6.100395440e-01,348.510678,352.476211,352.476211,-1,-1,-1.000e+00,1.381862270e-01,3.145299997e-04,4.714903090e-01,4.554672,9.725296021e-04,1.329065681e-05,4.312778,8.388944000e-04,3.545882433e-05,4.999800,1.183106283e-05,7.896839831e-07,3.068200022e-05,8.871161890e-01,0.000000000e+00,2.412132002e-03,0.000000000e+00,1.503509578e+00,2.034770005e-04,column,3.911031003e-03,0,-1.000000000e+00,0.000000000e+00,-1.000000
