kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cublas,double,local,local,28416,9472,3,1,1,1,1,1.750000000e-07,1.025960960e-01,2.383490000e-04,1.028346200e-01,1.024358659e-01,1.021973419e-01,3.987540811e-04,15.765358,15.802154,15.802154,7.555200160e-05,3.111360073e-04,1.206607215e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,2,1.990000000e-07,1.025239030e-01,7.719400000e-05,1.026012960e-01,1.023106083e-01,1.022332153e-01,2.906876680e-04,15.784659,15.796609,15.796609,1.252480000e-04,1.547199935e-04,1.071967447e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,3,1.070000000e-07,1.024345660e-01,7.692200000e-05,1.025115950e-01,1.022750118e-01,1.021979828e-01,2.365832119e-04,15.790153,15.802055,15.802055,7.494399697e-05,1.519680023e-04,9.671212629e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,4,1.030000001e-07,1.024665140e-01,7.940400000e-05,1.025460210e-01,1.022863246e-01,1.022068176e-01,2.596963730e-04,15.788407,15.800689,15.800689,7.391999662e-05,1.725119948e-04,1.326438159e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,5,1.706000000e-06,1.024780130e-01,7.815900000e-05,1.025578780e-01,1.023012395e-01,1.022213745e-01,2.566384883e-04,15.786105,15.798439,15.798439,9.142400324e-05,1.547839940e-04,1.043049108e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,6,1.130000000e-07,1.024278620e-01,7.596200000e-05,1.025039370e-01,1.022738365e-01,1.021977615e-01,2.301004644e-04,15.790335,15.802089,15.802089,7.478400320e-05,1.450880021e-04,1.022845907e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,7,1.040000002e-07,1.024438650e-01,7.805800000e-05,1.025220270e-01,1.022847202e-01,1.022065582e-01,2.373067725e-04,15.788655,15.800729,15.800729,7.427199930e-05,1.535039991e-04,9.530774047e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,8,1.260000002e-07,1.024393160e-01,7.806400000e-05,1.025175060e-01,1.022790872e-01,1.022008972e-01,2.384187832e-04,15.789524,15.801604,15.801604,7.603199780e-05,1.526400000e-04,9.746785417e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,9,1.109999999e-07,1.024397180e-01,7.728700000e-05,1.025171160e-01,1.022800576e-01,1.022026596e-01,2.370583931e-04,15.789374,15.801332,15.801332,7.526399940e-05,1.520639956e-04,9.730398064e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,28416,9472,3,1,1,1,10,1.230000000e-07,1.024446220e-01,7.669000000e-05,1.025214350e-01,1.022807467e-01,1.022039337e-01,2.406882842e-04,15.789268,15.801135,15.801135,7.884799689e-05,1.522240043e-04,9.616283021e-06,row,0,-1.000000000e+00,-1.000000
