kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,1,1.210000002e-07,1.241030200e-02,7.847000000e-05,1.248889300e-02,1.225241531e-02,1.217382431e-02,2.364776897e-04,131.805695,132.656598,132.656598,7.369600236e-05,1.525440067e-04,1.023768063e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,2,1.219999999e-07,1.240290200e-02,7.712400000e-05,1.248014800e-02,1.224418955e-02,1.216694355e-02,2.359584499e-04,131.894243,132.731619,132.731619,7.376000285e-05,1.526719928e-04,9.526454260e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,3,1.210000000e-07,1.244125000e-02,7.597100000e-05,1.251734200e-02,1.228258824e-02,1.220649624e-02,2.347537613e-04,131.481906,132.301529,132.301529,7.385600358e-05,1.506559998e-04,1.024175793e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,4,1.210000000e-07,1.240216900e-02,7.613300000e-05,1.247842300e-02,1.223948585e-02,1.216323185e-02,2.389371503e-04,131.944931,132.772123,132.772123,7.318399847e-05,1.553599983e-04,1.039315352e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,5,1.450000000e-07,1.244007200e-02,7.809900000e-05,1.251831600e-02,1.228320387e-02,1.220495987e-02,2.351121306e-04,131.475316,132.318183,132.318183,7.391999662e-05,1.522880048e-04,8.904129240e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,6,1.190000001e-07,1.238921000e-02,7.753900000e-05,1.246686800e-02,1.223487407e-02,1.215721607e-02,2.319939279e-04,131.994666,132.837823,132.837823,7.308799773e-05,1.488319933e-04,1.007393684e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,7,1.580000000e-07,1.239336800e-02,7.840700000e-05,1.247193300e-02,1.223446882e-02,1.215590382e-02,2.374641838e-04,131.999038,132.852163,132.852163,7.369600236e-05,1.530240029e-04,1.074417850e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,8,2.129999999e-07,1.243828100e-02,7.798800000e-05,1.251648200e-02,1.227848882e-02,1.220028782e-02,2.379931811e-04,131.525804,132.368854,132.368854,7.433599979e-05,1.552000046e-04,8.457176727e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,9,1.209999998e-07,1.241597200e-02,7.726400000e-05,1.249335700e-02,1.226592927e-02,1.218854427e-02,2.274277266e-04,131.660478,132.496390,132.496390,7.235199958e-05,1.446720064e-04,1.040372067e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,10,1.409999999e-07,1.241981600e-02,7.836200000e-05,1.249831900e-02,1.226599060e-02,1.218748760e-02,2.323283978e-04,131.659820,132.507877,132.507877,7.299199700e-05,1.496960074e-04,9.640393392e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,11,1.060000001e-07,1.237034300e-02,7.710700000e-05,1.244755600e-02,1.222399683e-02,1.214678383e-02,2.235591713e-04,132.112118,132.951910,132.951910,7.327999920e-05,1.408960074e-04,9.383164649e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,12,1.460000001e-07,1.243908900e-02,7.531300000e-05,1.251454800e-02,1.227993917e-02,1.220448017e-02,2.346088288e-04,131.510270,132.323384,132.323384,7.360000163e-05,1.517120004e-04,9.296826793e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,13,1.330000001e-07,1.239612500e-02,7.616200000e-05,1.247242000e-02,1.224250327e-02,1.216620827e-02,2.299167328e-04,131.912410,132.739641,132.739641,7.427199930e-05,1.456959993e-04,9.948734224e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,14,1.410000001e-07,1.238203700e-02,7.864000000e-05,1.246081800e-02,1.223439681e-02,1.215561581e-02,2.264211934e-04,131.999815,132.855310,132.855310,7.465600222e-05,1.419840008e-04,9.781190395e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,15,1.090000001e-07,1.240884600e-02,7.828400000e-05,1.248723900e-02,1.226472856e-02,1.218633556e-02,2.225104363e-04,131.673368,132.520404,132.520404,7.267200202e-05,1.407040060e-04,9.134428366e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,16,1.380000001e-07,1.239818900e-02,8.805100000e-05,1.248637800e-02,1.225615680e-02,1.216796780e-02,2.302212037e-04,131.765458,132.720446,132.720446,7.395199686e-05,1.469759941e-04,9.293212701e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,17,1.540000001e-07,1.237939400e-02,7.769100000e-05,1.245723900e-02,1.223163738e-02,1.215379238e-02,2.256016187e-04,132.029594,132.875243,132.875243,7.347200066e-05,1.428799927e-04,9.249625331e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,18,1.200000002e-07,1.239596400e-02,7.800300000e-05,1.247408700e-02,1.224468317e-02,1.216656017e-02,2.294038270e-04,131.888926,132.735801,132.735801,7.286400348e-05,1.468479931e-04,9.691830350e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,19,1.219999999e-07,1.242426900e-02,7.747400000e-05,1.250186500e-02,1.227442770e-02,1.219683170e-02,2.274372968e-04,131.569320,132.406362,132.406362,7.308799773e-05,1.449600011e-04,9.389297968e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,28416,9472,3,1,1,1,20,1.640000000e-07,1.238886100e-02,7.780000000e-05,1.246682500e-02,1.223374002e-02,1.215577602e-02,2.330849761e-04,132.006901,132.853559,132.853559,7.315199822e-05,1.509439945e-04,8.988983391e-06,row,0,-1.000000000e+00,-1.000000
