kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,1,1.249999999e-07,5.668709000e-03,7.774900000e-05,5.746583000e-03,5.506225879e-03,5.428351879e-03,2.403571209e-04,293.293110,297.500631,297.500631,7.398399711e-05,1.557119936e-04,1.066113020e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,2,1.130000000e-07,5.673176000e-03,7.723100000e-05,5.750520000e-03,5.506303846e-03,5.428959846e-03,2.442161535e-04,293.288957,297.467316,297.467316,7.484800369e-05,1.589120030e-04,1.045614678e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,3,1.380000003e-07,5.681036000e-03,7.771000000e-05,5.758884000e-03,5.520504040e-03,5.442656040e-03,2.383799598e-04,292.534540,296.718753,296.718753,7.449600101e-05,1.547199935e-04,9.163965331e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,4,1.150000000e-07,5.667151000e-03,8.209400000e-05,5.749360000e-03,5.511168846e-03,5.428959846e-03,2.381911535e-04,293.030055,297.467316,297.467316,7.344000041e-05,1.555519998e-04,9.199153281e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,5,1.100000000e-07,5.684121000e-03,7.747900000e-05,5.761710000e-03,5.524853194e-03,5.447264194e-03,2.368568055e-04,292.304258,296.467741,296.467741,7.340800017e-05,1.530880034e-04,1.036080194e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,6,9.199999984e-08,5.672253000e-03,7.492600000e-05,5.747271000e-03,5.515818190e-03,5.440800190e-03,2.314528100e-04,292.783057,296.819963,296.819963,7.289600372e-05,1.483840048e-04,1.017280147e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,7,1.799999998e-07,5.662518000e-03,7.613200000e-05,5.738830000e-03,5.503896171e-03,5.427584171e-03,2.349338287e-04,293.417256,297.542712,297.542712,7.302399725e-05,1.519680023e-04,9.941829139e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,8,2.200000000e-07,5.666208000e-03,8.573400000e-05,5.752162000e-03,5.516641904e-03,5.430687904e-03,2.355200956e-04,292.739340,297.372661,297.372661,7.248000056e-05,1.539839953e-04,9.056099768e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,9,1.820000002e-07,5.683104000e-03,7.546700000e-05,5.758753000e-03,5.522848821e-03,5.447199821e-03,2.359041785e-04,292.410342,296.471245,296.471245,7.347200066e-05,1.525759995e-04,9.856178371e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,10,1.800000002e-07,5.672585000e-03,7.766600000e-05,5.750431000e-03,5.515734145e-03,5.437888145e-03,2.346968546e-04,292.787518,296.978913,296.978913,7.280000299e-05,1.518400013e-04,1.005685022e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,11,1.960000000e-07,5.685305000e-03,7.652200000e-05,5.762023000e-03,5.519886163e-03,5.443168163e-03,2.421368367e-04,292.567286,296.690836,296.690836,7.369600236e-05,1.585280001e-04,9.912834220e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,12,1.280000002e-07,5.674202000e-03,9.794000000e-05,5.772270000e-03,5.537780048e-03,5.439712048e-03,2.344899524e-04,291.621931,296.879338,296.879338,7.376000285e-05,1.512320042e-04,9.497945406e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,13,1.120000002e-07,5.667828000e-03,7.885600000e-05,5.746796000e-03,5.513175916e-03,5.434207916e-03,2.336200837e-04,292.923378,297.180037,297.180037,7.376000285e-05,1.498879939e-04,9.972086957e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,14,1.190000001e-07,5.655154000e-03,7.615800000e-05,5.731431000e-03,5.498132927e-03,5.421855927e-03,2.332980735e-04,293.724821,297.857068,297.857068,7.334399968e-05,1.514240056e-04,8.530068175e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,15,2.120000000e-07,5.659488000e-03,8.751700000e-05,5.747217000e-03,5.512816929e-03,5.425087929e-03,2.344000712e-04,292.942453,297.679620,297.679620,7.417599857e-05,1.509439945e-04,9.280078137e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,16,1.700000001e-07,5.667170000e-03,8.281200000e-05,5.750152000e-03,5.520389970e-03,5.437407970e-03,2.297620296e-04,292.540585,297.005139,297.005139,7.327999920e-05,1.472959965e-04,9.186033828e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,17,1.320000003e-07,5.659927000e-03,7.782500000e-05,5.737884000e-03,5.508549060e-03,5.430592060e-03,2.293349399e-04,293.169416,297.377909,297.377909,7.331199944e-05,1.460160017e-04,1.000693877e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,18,1.269999998e-07,5.667979000e-03,7.753400000e-05,5.745640000e-03,5.516284905e-03,5.438623905e-03,2.293550948e-04,292.758286,296.938737,296.938737,7.395199686e-05,1.457280070e-04,9.675090996e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,19,1.660000000e-07,5.670056000e-03,7.705400000e-05,5.747276000e-03,5.514180220e-03,5.436960220e-03,2.330957797e-04,292.870027,297.029599,297.029599,7.219199836e-05,1.508480012e-04,1.005578006e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,3,1,1,1,20,1.470000002e-07,5.659988000e-03,8.124400000e-05,5.741379000e-03,5.515695237e-03,5.434304237e-03,2.256837626e-04,292.789584,297.174770,297.174770,7.382400334e-05,1.415359974e-04,1.032376190e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,1,2.230000000e-07,9.780088000e-03,1.547270000e-04,9.935038000e-03,9.482213832e-03,9.327263832e-03,4.528241679e-04,340.624698,346.283356,346.283356,1.386239976e-04,3.026239872e-04,1.157618314e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,2,5.240000001e-07,9.777061000e-03,1.549350000e-04,9.932520000e-03,9.484642578e-03,9.329183578e-03,4.478774215e-04,340.537474,346.212098,346.212098,1.397120059e-04,2.971520126e-04,1.101340307e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,3,2.550000000e-07,9.769060000e-03,1.570120000e-04,9.926327000e-03,9.488114740e-03,9.330847740e-03,4.382122598e-04,340.412855,346.150351,346.150351,1.386879981e-04,2.883200049e-04,1.120425683e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,4,2.230000000e-07,9.765748000e-03,1.555970000e-04,9.921568000e-03,9.486572373e-03,9.330752373e-03,4.349956273e-04,340.468200,346.153889,346.153889,1.376319975e-04,2.866240144e-04,1.073961541e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,5,2.219999999e-07,9.741257000e-03,1.548070000e-04,9.896286000e-03,9.463061036e-03,9.308032036e-03,4.332249642e-04,341.314107,346.998830,346.998830,1.376000047e-04,2.846400142e-04,1.098494533e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,6,2.260000000e-07,9.745061000e-03,1.532550000e-04,9.898542000e-03,9.457993024e-03,9.304512024e-03,4.405489761e-04,341.496998,347.130104,347.130104,1.379200071e-04,2.925440073e-04,1.008496166e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,28416,9472,6,1,1,1,7,2.340000000e-07,9.770405000e-03,1.550610000e-04,9.925700000e-03,9.458270655e-03,9.302975655e-03,4.674293454e-04,341.486974,347.187432,347.187432,1.387840062e-04,3.167679906e-04,1.187734857e-05,row,0,-1.000000000e+00,-1.000000
