kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,1,8.000000018e-08,5.721894000e-03,3.159100000e-05,5.753565000e-03,5.514327002e-03,5.482656002e-03,2.392379980e-04,288.797672,290.465935,290.465935,1.632000059e-04,6.697600335e-05,9.061988717e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,2,7.800000001e-08,5.733741000e-03,3.151500000e-05,5.765334000e-03,5.526440775e-03,5.494847775e-03,2.388932255e-04,288.164637,289.821459,289.821459,1.650879979e-04,6.496000290e-05,8.845224682e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,3,8.100000004e-08,5.713538000e-03,3.141500000e-05,5.745034000e-03,5.508359861e-03,5.476863861e-03,2.366741389e-04,289.110523,290.773121,290.773121,1.624000072e-04,6.569600105e-05,8.578130615e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,4,8.199999990e-08,5.737723000e-03,3.152400000e-05,5.769329000e-03,5.528310102e-03,5.496704102e-03,2.410188984e-04,288.067198,289.723582,289.723582,1.627520025e-04,6.896000355e-05,9.306892405e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,5,1.020000000e-07,5.737091000e-03,3.122900000e-05,5.768422000e-03,5.527938780e-03,5.496607780e-03,2.404832195e-04,288.086548,289.728659,289.728659,1.647679955e-04,6.607999653e-05,9.635227541e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,6,8.799999995e-08,5.741197000e-03,3.311500000e-05,5.774400000e-03,5.511570805e-03,5.478367805e-03,2.628291945e-04,288.942092,290.693297,290.693297,1.876800060e-04,6.492800266e-05,1.022118584e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,7,1.379999999e-07,5.737835000e-03,3.165500000e-05,5.769628000e-03,5.528624894e-03,5.496831894e-03,2.410031061e-04,288.050796,289.716846,289.716846,1.632000059e-04,6.937599927e-05,8.427100918e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,8,7.599999985e-08,5.735930000e-03,3.126600000e-05,5.767272000e-03,5.528878182e-03,5.497536182e-03,2.383938176e-04,288.037600,289.679731,289.679731,1.621759981e-04,6.639999896e-05,9.817820542e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,9,7.800000001e-08,5.738274000e-03,3.041300000e-05,5.768765000e-03,5.532634860e-03,5.502143860e-03,2.361301401e-04,287.842021,289.437143,289.437143,1.627199948e-04,6.470400095e-05,8.706144404e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,10,7.499999999e-08,5.736767000e-03,3.116200000e-05,5.768004000e-03,5.536997193e-03,5.505760193e-03,2.310068071e-04,287.615244,289.247033,289.247033,1.617600024e-04,6.086400151e-05,8.382803241e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,11,8.600000001e-08,5.660837000e-03,3.187600000e-05,5.692799000e-03,5.456282221e-03,5.424320221e-03,2.365167791e-04,291.869947,293.589747,293.589747,1.628800035e-04,6.400000304e-05,9.636772561e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,12,7.600000007e-08,5.721455000e-03,3.122400000e-05,5.752755000e-03,5.518884114e-03,5.487584114e-03,2.338708859e-04,288.559203,290.205082,290.205082,1.633920074e-04,6.118400022e-05,9.294878351e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,13,7.999999996e-08,5.730269000e-03,4.743800000e-05,5.777787000e-03,5.542077765e-03,5.494559765e-03,2.357092351e-04,287.351580,289.836651,289.836651,1.635199934e-04,6.022400036e-05,1.196524135e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,14,8.499999993e-08,5.748584000e-03,3.084100000e-05,5.779510000e-03,5.536301862e-03,5.505375862e-03,2.432081379e-04,287.651367,289.267225,289.267225,1.651519984e-04,6.793600321e-05,1.012013627e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,15,7.600000007e-08,5.725982000e-03,3.161700000e-05,5.757675000e-03,5.520205039e-03,5.488512039e-03,2.374699608e-04,288.490154,290.156018,290.156018,1.638720036e-04,6.441599876e-05,9.181958503e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,16,7.000000002e-08,5.694357000e-03,3.050200000e-05,5.724929000e-03,5.485292020e-03,5.454720020e-03,2.396369797e-04,290.326348,291.953536,291.953536,1.649920046e-04,6.508799642e-05,9.556978649e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,17,8.499999993e-08,5.712189000e-03,3.097700000e-05,5.743251000e-03,5.506965988e-03,5.475903988e-03,2.362850121e-04,289.183700,290.824091,290.824091,1.638080031e-04,6.255999953e-05,9.917009522e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,18,8.499999993e-08,5.723239000e-03,3.137900000e-05,5.754703000e-03,5.518408199e-03,5.486944199e-03,2.362948014e-04,288.584089,290.238928,290.238928,1.639360040e-04,6.323199719e-05,9.126800157e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,19,6.899999994e-08,5.716900000e-03,3.054500000e-05,5.747514000e-03,5.507445913e-03,5.476831913e-03,2.400680870e-04,289.158500,290.774818,290.774818,1.631360054e-04,6.812799722e-05,8.804084385e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,3,1,1,1,20,6.899999994e-08,5.737284000e-03,3.043800000e-05,5.767791000e-03,5.527946861e-03,5.497439861e-03,2.398441387e-04,288.086127,289.684806,289.684806,1.648640037e-04,6.524799764e-05,9.732137402e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,6,1,1,1,1,2.060000002e-07,9.581546000e-03,6.418800000e-05,9.645940000e-03,9.188170436e-03,9.123776436e-03,4.577695641e-04,346.646770,349.093341,349.093341,3.193919957e-04,1.294720024e-04,8.905566092e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,6,1,1,1,2,1.749999998e-07,9.565899000e-03,6.351300000e-05,9.629587000e-03,9.183591564e-03,9.119903564e-03,4.459954355e-04,346.819605,349.241588,349.241588,3.108479977e-04,1.246080026e-04,1.053943528e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,6,1,1,1,3,1.370000002e-07,9.558737000e-03,6.308100000e-05,9.621955000e-03,9.163089635e-03,9.099871635e-03,4.588653646e-04,347.595596,350.010388,350.010388,3.224320114e-04,1.261440068e-04,1.028934635e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,6,1,1,1,4,1.400000000e-07,9.546343000e-03,6.364700000e-05,9.610130000e-03,9.164779203e-03,9.100992203e-03,4.453507972e-04,347.531515,349.967292,349.967292,3.098559976e-04,1.255680025e-04,9.926797216e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,6,1,1,1,5,1.059999999e-07,9.550578000e-03,6.645600000e-05,9.617140000e-03,9.168994251e-03,9.102432251e-03,4.481457490e-04,347.371752,349.911926,349.911926,3.132799864e-04,1.249919981e-04,9.873764565e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,11520,23040,6,1,1,1,6,1.319999998e-07,9.545253000e-03,6.292900000e-05,9.608314000e-03,9.158548595e-03,9.095487595e-03,4.497654054e-04,347.767942,350.179093,350.179093,3.122240007e-04,1.271679997e-04,1.037340496e-05,row,0,-1.000000000e+00,-1.000000
