kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,1,9.400000001e-08,5.662561000e-03,4.405100000e-05,5.706706000e-03,5.484433067e-03,5.440288067e-03,2.222729331e-04,293.669868,296.052841,296.052841,1.197440028e-04,9.216000140e-05,1.036892892e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,2,1.199999999e-07,5.636958000e-03,4.448300000e-05,5.681561000e-03,5.461595187e-03,5.416992187e-03,2.199658125e-04,294.897861,297.326022,297.326022,1.187520027e-04,9.228800237e-05,8.925807412e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,3,1.249999999e-07,5.638874000e-03,4.364500000e-05,5.682644000e-03,5.460794136e-03,5.417024136e-03,2.218498644e-04,294.941120,297.324268,297.324268,1.190399975e-04,9.340800345e-05,9.401863502e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,4,1.219999999e-07,5.644504000e-03,4.322900000e-05,5.687855000e-03,5.471990889e-03,5.428639889e-03,2.158641112e-04,294.337613,296.688078,296.688078,1.190079972e-04,8.799999952e-05,8.856114499e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,5,1.139999999e-07,5.638121000e-03,4.356000000e-05,5.681795000e-03,5.462041863e-03,5.418367863e-03,2.197531373e-04,294.873744,297.250533,297.250533,1.192639992e-04,9.040000290e-05,1.008913524e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,6,1.450000000e-07,5.635709000e-03,4.484400000e-05,5.680698000e-03,5.466268907e-03,5.421279907e-03,2.144290928e-04,294.645720,297.090865,297.090865,1.192639992e-04,8.511999995e-05,1.004509366e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,7,1.020000000e-07,5.651684000e-03,4.415700000e-05,5.695943000e-03,5.477954793e-03,5.433695793e-03,2.179882068e-04,294.017165,296.412018,296.412018,1.194560006e-04,9.036800265e-05,8.164203569e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,8,1.049999998e-07,5.635252000e-03,4.456700000e-05,5.679924000e-03,5.462240207e-03,5.417568207e-03,2.176837932e-04,294.863037,297.294409,297.294409,1.187840030e-04,8.915200084e-05,9.747789409e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,9,8.999999990e-08,5.657465000e-03,4.369400000e-05,5.701249000e-03,5.481799938e-03,5.438015938e-03,2.194490622e-04,293.810930,296.176538,296.176538,1.193279997e-04,9.171199799e-05,8.409064558e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,10,9.000000012e-08,5.644445000e-03,4.417400000e-05,5.688709000e-03,5.472136181e-03,5.427872181e-03,2.165728191e-04,294.329798,296.730041,296.730041,1.193920001e-04,8.876799792e-05,8.412821002e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,11,1.340000000e-07,5.634939000e-03,4.295200000e-05,5.678025000e-03,5.460205980e-03,5.417119980e-03,2.178190201e-04,294.972890,297.319008,297.319008,1.187520027e-04,8.950400352e-05,9.563013901e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,12,1.240000000e-07,5.652412000e-03,4.433000000e-05,5.696866000e-03,5.483846090e-03,5.439392090e-03,2.130199102e-04,293.701302,296.101606,296.101606,1.190719977e-04,8.524800092e-05,8.699911534e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,13,1.230000000e-07,5.649499000e-03,4.425600000e-05,5.693878000e-03,5.478395228e-03,5.434016228e-03,2.154827723e-04,293.993527,296.394539,296.394539,1.192639992e-04,8.812800050e-05,8.090772616e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,14,1.480000000e-07,5.621157000e-03,4.405200000e-05,5.665357000e-03,5.449128207e-03,5.404928207e-03,2.162287926e-04,295.572553,297.989663,297.989663,1.191999987e-04,8.752000332e-05,9.508790607e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,15,1.110000001e-07,5.639352000e-03,4.360600000e-05,5.683069000e-03,5.464996907e-03,5.421279907e-03,2.180720928e-04,294.714300,297.090865,297.090865,1.221439987e-04,8.742400259e-05,8.504091444e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,16,1.370000000e-07,5.663071000e-03,4.430600000e-05,5.707514000e-03,5.488283027e-03,5.443840027e-03,2.192309731e-04,293.463863,295.859674,295.859674,1.204160005e-04,8.940800279e-05,9.406969865e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,17,9.799999989e-08,5.661632000e-03,4.314700000e-05,5.704877000e-03,5.481900853e-03,5.438655853e-03,2.229761467e-04,293.805521,296.141690,296.141690,1.192959994e-04,9.391999990e-05,9.760147423e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,18,1.020000000e-07,5.641706000e-03,4.415700000e-05,5.685965000e-03,5.475363183e-03,5.431104183e-03,2.106018168e-04,294.156329,296.553460,296.553460,1.171839982e-04,8.428800106e-05,9.129817515e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,19,7.800000001e-08,5.632925000e-03,4.387300000e-05,5.676876000e-03,5.459054912e-03,5.415103912e-03,2.178210876e-04,295.035086,297.429701,297.429701,1.179839969e-04,9.011200070e-05,9.725090075e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,3,1,1,1,20,1.210000000e-07,5.671902000e-03,4.388900000e-05,5.715912000e-03,5.500458078e-03,5.456448078e-03,2.154539218e-04,292.814292,295.176040,295.176040,1.174400002e-04,8.816000074e-05,9.853920927e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,1,1.600000001e-07,9.651950000e-03,8.863100000e-05,9.740741000e-03,9.316119300e-03,9.227328300e-03,4.246216995e-04,345.769023,349.096225,349.096225,2.313600034e-04,1.826560050e-04,1.060569115e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,2,2.150000000e-07,9.651670000e-03,8.972700000e-05,9.741612000e-03,9.319029830e-03,9.229087830e-03,4.225821704e-04,345.661032,349.029669,349.029669,2.299519926e-04,1.836480051e-04,8.982172651e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,3,2.540000001e-07,9.644390000e-03,8.784000000e-05,9.732484000e-03,9.312381987e-03,9.224287987e-03,4.201020132e-04,345.907790,349.211286,349.211286,2.294400036e-04,1.809920073e-04,9.670002356e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,4,1.770000000e-07,9.654338000e-03,8.790300000e-05,9.742418000e-03,9.315887999e-03,9.227807999e-03,4.265300013e-04,345.777608,349.078077,349.078077,2.368000001e-04,1.805119962e-04,9.218005121e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,5,2.499999998e-07,9.643754000e-03,8.873100000e-05,9.732735000e-03,9.315733281e-03,9.226752281e-03,4.170017188e-04,345.783351,349.118018,349.118018,2.313279957e-04,1.765120029e-04,9.161720208e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,6,5.850000000e-07,9.650859000e-03,8.982100000e-05,9.741265000e-03,9.322758257e-03,9.232352257e-03,4.185067432e-04,345.522793,348.906257,348.906257,2.288639992e-04,1.808319986e-04,8.810745391e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,7,1.740000000e-07,9.642153000e-03,8.938200000e-05,9.731709000e-03,9.316948197e-03,9.227392197e-03,4.147608033e-04,345.738262,349.093807,349.093807,2.293439955e-04,1.751679927e-04,1.024881518e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,8,2.100000001e-07,9.650922000e-03,9.010900000e-05,9.741241000e-03,9.321103416e-03,9.230784416e-03,4.201375838e-04,345.584136,348.965519,348.965519,2.341440022e-04,1.757120043e-04,1.028157730e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,double,local,local,16384,16384,6,1,1,1,9,1.670000001e-07,9.623597000e-03,8.950500000e-05,9.713269000e-03,9.300328166e-03,9.210656166e-03,4.129408339e-04,346.356109,349.728121,349.728121,2.286400050e-04,1.741439998e-04,1.015682912e-05,row,0,-1.000000000e+00,-1.000000
