kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,1,3.800000001e-08,4.308390000e-04,1.649700000e-05,4.473740000e-04,3.687910000e-04,3.522560000e-04,7.858299996e-05,273.687894,286.534884,286.534884,2.739199996e-05,4.272000119e-05,8.470998807e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,2,3.899999998e-08,4.371130000e-04,1.649000000e-05,4.536420000e-04,3.707369926e-04,3.542079926e-04,8.290500745e-05,272.251310,284.955829,284.955829,2.873600088e-05,4.441599920e-05,9.753007362e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,3,4.600000000e-08,4.342190000e-04,1.673900000e-05,4.510040000e-04,3.710889858e-04,3.543039858e-04,7.991501417e-05,271.993069,284.878624,284.878624,2.739199996e-05,4.390399903e-05,8.619015175e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,4,3.399999998e-08,4.320710000e-04,1.708200000e-05,4.491870000e-04,3.701400059e-04,3.530240059e-04,7.904699411e-05,272.690416,285.911525,285.911525,2.918400057e-05,4.095999897e-05,8.902994578e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,5,4.900000000e-08,4.290580000e-04,1.720700000e-05,4.463140000e-04,3.713679993e-04,3.541119993e-04,7.494600073e-05,271.788717,285.033075,285.033075,2.655999921e-05,3.990399837e-05,8.482003139e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,6,3.399999998e-08,4.324580000e-04,1.698500000e-05,4.494770000e-04,3.709390127e-04,3.539200127e-04,7.853798729e-05,272.103037,285.187693,285.187693,2.758399956e-05,4.326400161e-05,7.689986120e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,7,4.900000000e-08,4.272400000e-04,1.624100000e-05,4.435300000e-04,3.685460000e-04,3.522560000e-04,7.498399996e-05,273.869834,286.534884,286.534884,2.547200024e-05,3.945599869e-05,1.005600103e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,8,3.400000001e-08,4.346310000e-04,1.722000000e-05,4.518850000e-04,3.695100000e-04,3.522560000e-04,8.237499996e-05,273.155346,286.534884,286.534884,2.806399949e-05,4.579199851e-05,8.519001963e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,9,4.800000000e-08,4.339840000e-04,1.614200000e-05,4.501740000e-04,3.705900089e-04,3.544000089e-04,7.958399108e-05,272.359291,284.801438,284.801438,2.873600088e-05,4.252799973e-05,8.319990474e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,10,3.400000001e-08,4.353990000e-04,1.697200000e-05,4.524050000e-04,3.711179993e-04,3.541119993e-04,8.128700073e-05,271.971805,285.033075,285.033075,2.726400085e-05,4.444799945e-05,9.575000431e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,11,3.600000001e-08,4.390370000e-04,1.755800000e-05,4.566310000e-04,3.704259895e-04,3.528319895e-04,8.620501047e-05,272.479888,286.067123,286.067123,3.139200062e-05,4.572800174e-05,9.085008114e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,12,5.000000000e-08,4.287850000e-04,1.620300000e-05,4.450380000e-04,3.683489914e-04,3.520959914e-04,7.668900863e-05,274.016312,286.665098,286.665098,2.713599987e-05,4.105599970e-05,8.497009057e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,13,3.400000001e-08,4.332830000e-04,1.692900000e-05,4.502460000e-04,3.712669858e-04,3.543039858e-04,7.897901417e-05,271.862664,284.878624,284.878624,2.764800005e-05,4.188799858e-05,9.443015538e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,7104,2368,3,1,1,1,14,5.000000000e-08,4.298540000e-04,1.701200000e-05,4.469160000e-04,3.693500077e-04,3.522880077e-04,7.756599226e-05,273.273670,286.508850,286.508850,2.681599930e-05,4.073600098e-05,1.001399198e-05,column,0,-1.000000000e+00,-1.000000
