kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,1,5.400000000e-08,7.420700000e-04,6.629000000e-06,7.487530000e-04,6.717709979e-04,6.650879979e-04,7.698200209e-05,148.164777,149.653580,149.653580,4.563200101e-05,2.211200073e-05,9.238000340e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,2,6.799999999e-08,7.411510000e-04,6.071000000e-06,7.472900000e-04,6.688270169e-04,6.626880169e-04,7.846298311e-05,148.816955,150.195563,150.195563,4.566400126e-05,2.377600037e-05,9.022981487e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,3,5.500000000e-08,7.443900000e-04,6.388000000e-06,7.508330000e-04,6.708910228e-04,6.644480228e-04,7.994197716e-05,148.359117,149.797722,149.797722,4.492799938e-05,2.620800026e-05,8.805977523e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,4,4.700000000e-08,7.387390000e-04,6.210000000e-06,7.449960000e-04,6.699690247e-04,6.637120247e-04,7.502697531e-05,148.563286,149.963834,149.963834,4.537599906e-05,2.070399933e-05,8.946976922e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,5,4.700000000e-08,7.387490000e-04,5.768000000e-06,7.445640000e-04,6.706469960e-04,6.648319960e-04,7.391700404e-05,148.413100,149.711206,149.711206,4.515200108e-05,2.060800046e-05,8.157002496e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,6,3.400000001e-08,7.373010000e-04,5.832000000e-06,7.431670000e-04,6.662499993e-04,6.603839993e-04,7.691700065e-05,149.392571,150.719581,150.719581,4.479999840e-05,2.313599922e-05,8.981003032e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,7,4.599999998e-08,7.478160000e-04,5.302000000e-06,7.531640000e-04,6.734760136e-04,6.681280136e-04,7.968798639e-05,147.789673,148.972649,148.972649,4.492799938e-05,2.678400092e-05,7.975986094e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,8,4.700000000e-08,7.371100000e-04,5.625000000e-06,7.427820000e-04,6.681360226e-04,6.624640226e-04,7.464597736e-05,148.970863,150.246348,150.246348,4.505600035e-05,2.022399940e-05,9.365977616e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,9,4.700000000e-08,7.437270000e-04,5.233000000e-06,7.490070000e-04,6.682560265e-04,6.629760265e-04,8.075097346e-05,148.944111,150.130315,150.130315,4.489599913e-05,2.636799961e-05,9.486974718e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,10,3.530000000e-07,7.470510000e-04,6.498000000e-06,7.539020000e-04,6.724510018e-04,6.656000018e-04,8.145099819e-05,148.014948,149.538461,149.538461,4.495999962e-05,2.707199939e-05,9.418999181e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,11,4.600000000e-08,7.438810000e-04,6.174000000e-06,7.501010000e-04,6.715960076e-04,6.653760076e-04,7.850499244e-05,148.203383,149.588802,149.588802,4.515200108e-05,2.358400077e-05,9.768990594e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,12,5.100000000e-08,7.434920000e-04,5.605000000e-06,7.491480000e-04,6.692399939e-04,6.635839939e-04,7.990800609e-05,148.725122,149.992768,149.992768,4.547199979e-05,2.604800090e-05,8.388005392e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,13,4.900000000e-08,7.565350000e-04,5.447000000e-06,7.620310000e-04,6.699440228e-04,6.644480228e-04,9.208697716e-05,148.568831,149.797722,149.797722,5.590400100e-05,2.678400092e-05,9.398975242e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,14,3.299999998e-08,7.441970000e-04,5.149000000e-06,7.493790000e-04,6.704619845e-04,6.652799845e-04,7.891701553e-05,148.454055,149.610393,149.610393,4.464000091e-05,2.496000007e-05,9.317014548e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,2880,5760,3,1,1,1,15,4.800000000e-08,7.402840000e-04,5.731000000e-06,7.460630000e-04,6.679870207e-04,6.622080207e-04,7.807597931e-05,149.004093,150.304431,150.304431,4.524800181e-05,2.473600022e-05,8.091977274e-06,row,0,-1.000000000e+00,-1.000000
