kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,1,6.100000005e-08,4.345540000e-04,7.097000000e-06,4.417120000e-04,3.644379861e-04,3.572799861e-04,7.727401386e-05,273.113133,278.584874,278.584874,4.483199865e-05,2.355200052e-05,8.890014688e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,2,4.699999989e-08,4.265640000e-04,6.782000000e-06,4.333930000e-04,3.595010107e-04,3.526720107e-04,7.389198934e-05,276.863756,282.224835,282.224835,4.512000084e-05,2.038400061e-05,8.387987886e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,3,4.500000006e-08,4.309210000e-04,6.755000000e-06,4.377210000e-04,3.630560081e-04,3.562560081e-04,7.466499185e-05,274.152742,279.385604,279.385604,4.495999962e-05,2.076799981e-05,8.936992418e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,4,4.799999997e-08,4.258680000e-04,7.533000000e-06,4.334490000e-04,3.555809900e-04,3.479999900e-04,7.786801001e-05,279.915976,286.013801,286.013801,4.537599906e-05,2.336000092e-05,9.132010027e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,5,3.200000009e-08,4.352380000e-04,6.646000000e-06,4.419160000e-04,3.616219907e-04,3.549439907e-04,8.029400929e-05,275.239898,280.418327,280.418327,4.543999955e-05,2.544000000e-05,9.414009744e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,6,4.799999997e-08,4.403810000e-04,7.454000000e-06,4.478830000e-04,3.690379962e-04,3.615359962e-04,7.884500380e-05,269.708813,275.305367,275.305367,4.518400133e-05,2.483199909e-05,8.829003381e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,7,4.600000003e-08,4.255670000e-04,7.415000000e-06,4.330280000e-04,3.563890045e-04,3.489280045e-04,7.663899550e-05,279.281344,285.253114,285.253114,4.601600021e-05,2.169599943e-05,8.926995857e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,8,4.600000003e-08,4.368560000e-04,7.011000000e-06,4.439130000e-04,3.691370078e-04,3.620800078e-04,7.477599221e-05,269.636471,274.891731,274.891731,4.438399896e-05,2.156800032e-05,8.823992932e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,9,4.799999997e-08,4.314560000e-04,6.945000000e-06,4.384490000e-04,3.602730078e-04,3.532800078e-04,7.817599216e-05,276.270489,281.739124,281.739124,4.534399882e-05,2.342399955e-05,9.407993793e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,10,5.000000003e-08,4.338930000e-04,6.685000000e-06,4.406280000e-04,3.592790097e-04,3.525440097e-04,8.134899031e-05,277.034832,282.327305,282.327305,4.531199858e-05,2.787199989e-05,8.164991849e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,2880,5760,3,1,1,1,11,4.600000003e-08,4.420340000e-04,6.534000000e-06,4.486140000e-04,3.657479931e-04,3.591679931e-04,8.286600693e-05,272.134918,277.120462,277.120462,4.492799938e-05,2.828799933e-05,9.650008222e-06,column,0,-1.000000000e+00,-1.000000
