kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cublas,double,local,local,4096,4096,3,1,1,1,1,7.299999993e-08,7.044409000e-03,9.102000000e-06,7.053584000e-03,6.977558789e-03,6.968383789e-03,7.602521094e-05,14.426721,14.445716,14.445716,3.500799835e-05,3.145600110e-05,9.561211487e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,2,7.299999993e-08,7.040738000e-03,9.759000000e-06,7.050570000e-03,6.971560096e-03,6.961728096e-03,7.900990399e-05,14.439135,14.459527,14.459527,3.471999988e-05,3.446400166e-05,9.825902457e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,3,1.940000000e-07,7.048492000e-03,9.661000000e-06,7.058347000e-03,6.981567112e-03,6.971712112e-03,7.677988757e-05,14.418438,14.438820,14.438820,3.532800078e-05,3.299200162e-05,8.459885166e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,4,6.299999999e-08,7.038048000e-03,9.063000000e-06,7.047174000e-03,6.970278077e-03,6.961152077e-03,7.689592328e-05,14.441791,14.460724,14.460724,3.430400044e-05,3.392000124e-05,8.671921603e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,5,5.299999994e-08,7.039705000e-03,8.653000000e-06,7.048411000e-03,6.976161864e-03,6.967455864e-03,7.224913605e-05,14.429610,14.447640,14.447640,3.436800092e-05,2.774400078e-05,1.013713435e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,6,5.500000000e-08,7.033304000e-03,8.846000000e-06,7.042205000e-03,6.970949054e-03,6.962048054e-03,7.125594626e-05,14.440400,14.458863,14.458863,3.465599939e-05,2.687999979e-05,9.719947080e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,7,4.700000000e-08,7.042934000e-03,9.010000000e-06,7.051991000e-03,6.976033166e-03,6.966976166e-03,7.595783423e-05,14.429876,14.448635,14.448635,3.449599817e-05,3.139200062e-05,1.006983544e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,8,5.100000000e-08,7.035696000e-03,8.574000000e-06,7.044321000e-03,6.969552963e-03,6.960927963e-03,7.476803674e-05,14.443293,14.461189,14.461189,3.526400030e-05,3.030399978e-05,9.200036665e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,9,5.100000000e-08,7.040541000e-03,8.726000000e-06,7.049318000e-03,6.976137020e-03,6.967360020e-03,7.318098032e-05,14.429662,14.447839,14.447839,3.395200148e-05,2.985600010e-05,9.372978738e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,4096,4096,3,1,1,1,10,3.999999998e-08,7.032552000e-03,8.712000000e-06,7.041304000e-03,6.968911779e-03,6.960159779e-03,7.239222140e-05,14.444622,14.462785,14.462785,3.478400037e-05,2.774400078e-05,9.864220260e-06,row,0,-1.000000000e+00,-1.000000
