kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,1,4.300000001e-08,6.947850000e-04,8.771000000e-06,7.035990000e-04,6.315660108e-04,6.227520108e-04,7.203298918e-05,159.386817,161.642667,161.642667,3.494400159e-05,2.713599987e-05,9.952987719e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,2,6.000000002e-08,6.934490000e-04,8.730000000e-06,7.022390000e-04,6.267419892e-04,6.179519892e-04,7.549701083e-05,160.613614,162.898247,162.898247,3.430400044e-05,3.184000030e-05,9.353010087e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,3,4.700000000e-08,6.873870000e-04,8.531000000e-06,6.959650000e-04,6.246420121e-04,6.160640121e-04,7.132298795e-05,161.153579,163.397462,163.397462,3.430400044e-05,2.732799947e-05,9.690988039e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,4,4.900000000e-08,6.939800000e-04,8.052000000e-06,7.020810000e-04,6.276530163e-04,6.195520163e-04,7.442798374e-05,160.380486,162.477554,162.477554,3.478400037e-05,2.956799977e-05,1.007598361e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,5,3.400000004e-08,6.915590000e-04,8.517000000e-06,7.001100000e-04,6.248069986e-04,6.162559986e-04,7.530300139e-05,161.111025,163.346558,163.346558,3.468799964e-05,3.148800135e-05,9.127000406e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,6,4.900000000e-08,6.988570000e-04,8.268000000e-06,7.071740000e-04,6.306849781e-04,6.223679781e-04,7.648902190e-05,159.609471,161.742409,161.742409,3.507199883e-05,3.155200183e-05,9.865021235e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,7,4.900000000e-08,6.898230000e-04,7.927000000e-06,6.977990000e-04,6.273999855e-04,6.194239855e-04,7.039901452e-05,160.445168,162.511137,162.511137,3.526400030e-05,2.601600066e-05,9.119013564e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,8,3.299999995e-08,6.926430000e-04,8.209000000e-06,7.008850000e-04,6.295220145e-04,6.212800145e-04,7.136298549e-05,159.904330,162.025646,162.025646,3.529600054e-05,2.755199932e-05,8.514985629e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,9,5.199999997e-08,6.888800000e-04,9.096000000e-06,6.980280000e-04,6.288920028e-04,6.197440028e-04,6.913599718e-05,160.064519,162.427221,162.427221,3.452799842e-05,2.544000000e-05,9.167998766e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),double,local,local,4096,4096,3,1,1,1,10,5.000000003e-08,6.895260000e-04,7.908000000e-06,6.974840000e-04,6.278939894e-04,6.199359894e-04,6.959001062e-05,160.318936,162.376919,162.376919,3.452799842e-05,2.502400056e-05,1.003801165e-05,row,0,-1.000000000e+00,-1.000000
