kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,1,5.100000000e-08,4.463860000e-04,1.045300000e-05,4.568900000e-04,3.837839888e-04,3.732799888e-04,7.310601123e-05,262.291547,269.672361,269.672361,3.481600061e-05,3.004799969e-05,8.242010929e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,2,3.999999998e-08,4.472540000e-04,9.940000000e-06,4.572340000e-04,3.831639955e-04,3.731839955e-04,7.407000451e-05,262.715958,269.741729,269.741729,3.484800085e-05,2.969600074e-05,9.526002921e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,3,3.800000001e-08,4.458990000e-04,1.075100000e-05,4.566880000e-04,3.851250043e-04,3.743360043e-04,7.156299574e-05,261.378241,268.911606,268.911606,3.481600061e-05,2.751999907e-05,9.226996060e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,4,3.300000001e-08,4.491580000e-04,1.018500000e-05,4.593760000e-04,3.829540070e-04,3.727360070e-04,7.642199302e-05,262.860015,270.065929,270.065929,3.443200141e-05,3.174399957e-05,1.024599204e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,5,5.800000000e-08,4.463400000e-04,9.500000000e-06,4.558980000e-04,3.833820004e-04,3.738240004e-04,7.251599964e-05,262.566568,269.279918,269.279918,3.414399922e-05,2.966400050e-05,8.707999926e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,6,3.500000001e-08,4.445450000e-04,1.025000000e-05,4.548300000e-04,3.841729859e-04,3.738879859e-04,7.065701406e-05,262.025961,269.233834,269.233834,3.523200005e-05,2.617600001e-05,9.249013988e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,7,3.900000001e-08,4.425590000e-04,9.792000000e-06,4.523900000e-04,3.822150117e-04,3.723840117e-04,7.017498825e-05,263.368243,270.321208,270.321208,3.465599939e-05,2.559999935e-05,9.918989509e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,8,3.500000001e-08,4.496310000e-04,1.034700000e-05,4.600130000e-04,3.842380081e-04,3.738560081e-04,7.577499195e-05,261.981620,269.256863,269.256863,3.468799964e-05,3.260799870e-05,8.478993612e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,9,3.199999998e-08,4.453470000e-04,1.026800000e-05,4.556470000e-04,3.829400137e-04,3.726400137e-04,7.270698631e-05,262.869620,270.135499,270.135499,3.430400044e-05,2.934399992e-05,9.058985946e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,local,local,4096,4096,3,1,1,1,10,4.800000000e-08,4.456090000e-04,9.976000000e-06,4.556330000e-04,3.838480004e-04,3.738240004e-04,7.178499964e-05,262.247806,269.279918,269.279918,3.465599939e-05,2.867200039e-05,8.456999856e-06,column,0,-1.000000000e+00,-1.000000
