kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cublas,double,local,local,5760,11520,3,1,1,1,1,8.200000001e-08,2.466399600e-02,1.444200000e-05,2.467852000e-02,2.454470016e-02,2.453017616e-02,1.338198373e-04,16.220659,16.230263,16.230263,8.540800214e-05,3.824000061e-05,1.017183454e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,2,9.399999990e-08,2.466514300e-02,1.502700000e-05,2.468026400e-02,2.455262520e-02,2.453750420e-02,1.276388038e-04,16.215423,16.225415,16.225415,8.323200047e-05,3.580800071e-05,8.598802649e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,3,1.639999999e-07,2.460242800e-02,1.429800000e-05,2.461689000e-02,2.448322917e-02,2.446876717e-02,1.336608339e-04,16.261384,16.270995,16.270995,8.483199775e-05,3.900799900e-05,9.820837107e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,4,9.499999998e-08,2.460845800e-02,1.357300000e-05,2.462212600e-02,2.448842043e-02,2.447475243e-02,1.337055739e-04,16.257937,16.267016,16.267016,8.460800350e-05,3.996799886e-05,9.129571493e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,5,9.500000009e-08,2.460460300e-02,1.361100000e-05,2.461830900e-02,2.449105051e-02,2.447734451e-02,1.272584871e-04,16.256191,16.265294,16.265294,8.460800350e-05,3.440000117e-05,8.250482395e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,6,9.600000006e-08,2.460535800e-02,1.465700000e-05,2.462011100e-02,2.448595394e-02,2.447120094e-02,1.341570570e-04,16.259575,16.269377,16.269377,8.560000360e-05,3.923200071e-05,9.325052698e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,7,7.699999993e-08,2.460565700e-02,1.350700000e-05,2.461924100e-02,2.448731218e-02,2.447372818e-02,1.319288201e-04,16.258673,16.267697,16.267697,8.595199883e-05,3.635200113e-05,9.624820108e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,8,5.500000000e-08,2.461126300e-02,1.409400000e-05,2.462541200e-02,2.449136572e-02,2.447721672e-02,1.340462794e-04,16.255982,16.265379,16.265379,8.387199789e-05,4.051199928e-05,9.662282247e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,9,8.500000004e-08,2.460929700e-02,1.569900000e-05,2.462508100e-02,2.449140046e-02,2.447561646e-02,1.336805449e-04,16.255959,16.266442,16.266442,8.492799848e-05,3.916800022e-05,9.584546217e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,10,7.400000013e-08,2.460345300e-02,1.478000000e-05,2.461830700e-02,2.448707728e-02,2.447222328e-02,1.312297181e-04,16.258829,16.268698,16.268698,8.572799712e-05,3.555199876e-05,9.949722251e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,11,8.200000001e-08,2.460421700e-02,1.443100000e-05,2.461873000e-02,2.448542593e-02,2.447091293e-02,1.333040667e-04,16.259925,16.269569,16.269569,8.761599660e-05,3.561599925e-05,1.007207080e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,12,7.000000002e-08,2.461119100e-02,1.555700000e-05,2.462681800e-02,2.449149904e-02,2.447587204e-02,1.353189602e-04,16.255893,16.266272,16.266272,8.438400179e-05,4.028800130e-05,1.064695711e-05,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,13,8.300000010e-08,2.460156800e-02,1.421200000e-05,2.461586300e-02,2.448373546e-02,2.446944046e-02,1.321275398e-04,16.261048,16.270548,16.270548,8.668799698e-05,3.711999953e-05,8.319543283e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,14,6.800000008e-08,2.460037900e-02,1.471700000e-05,2.461516400e-02,2.448540992e-02,2.447062492e-02,1.297540763e-04,16.259936,16.269760,16.269760,8.444800228e-05,3.571199998e-05,9.594074033e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,15,7.299999993e-08,2.460497400e-02,1.496500000e-05,2.462001200e-02,2.448930977e-02,2.447427177e-02,1.307022257e-04,16.257347,16.267336,16.267336,8.470399678e-05,3.676800057e-05,9.230228358e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,16,6.600000002e-08,2.460724100e-02,1.348000000e-05,2.462078700e-02,2.449255372e-02,2.447900772e-02,1.282332791e-04,16.255193,16.264189,16.264189,8.451200277e-05,3.555199876e-05,8.169277522e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,17,5.199999997e-08,2.460565700e-02,1.394900000e-05,2.461965800e-02,2.448478423e-02,2.447078323e-02,1.348737664e-04,16.260352,16.269655,16.269655,8.486399800e-05,4.003199935e-05,9.977769012e-06,row,0,-1.000000000e+00,-1.000000
cublas,double,local,local,5760,11520,3,1,1,1,18,7.200000007e-08,2.460328500e-02,1.389600000e-05,2.461725300e-02,2.448503924e-02,2.447107124e-02,1.322137567e-04,16.260182,16.269463,16.269463,8.419200033e-05,3.849599883e-05,9.525757555e-06,row,0,-1.000000000e+00,-1.000000
