kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cublas,float,local,local,16384,16384,3,1,1,1,1,9.200000006e-08,3.876514000e-03,1.994000000e-05,3.896546000e-03,3.776415896e-03,3.756383896e-03,1.201301041e-04,426.492415,428.766809,428.766809,6.294400245e-05,4.870399833e-05,8.482103349e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,2,8.100000004e-08,3.889231000e-03,2.059800000e-05,3.909910000e-03,3.787462953e-03,3.766783953e-03,1.224470473e-04,425.248446,427.582988,427.582988,6.153599918e-05,5.113599822e-05,9.775049889e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,3,6.599999991e-08,3.877552000e-03,1.993200000e-05,3.897550000e-03,3.772638009e-03,3.752640009e-03,1.249119911e-04,426.919501,429.194576,429.194576,6.278400123e-05,5.235200003e-05,9.775989815e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,4,6.500000005e-08,3.943757000e-03,1.996400000e-05,3.963786000e-03,3.840892962e-03,3.820863962e-03,1.228930378e-04,419.332887,421.531034,421.531034,6.278400123e-05,5.107200146e-05,9.037035138e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,5,7.499999999e-08,3.905578000e-03,1.945000000e-05,3.925103000e-03,3.799941012e-03,3.780416012e-03,1.251619882e-04,423.852036,426.041137,426.041137,6.358399987e-05,5.190400034e-05,9.673987976e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,6,7.199999996e-08,3.932112000e-03,1.967100000e-05,3.951855000e-03,3.829503094e-03,3.809760094e-03,1.223519063e-04,420.580085,422.759622,422.759622,6.329599768e-05,5.017599836e-05,8.879910272e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,7,7.400000013e-08,3.890231000e-03,1.916500000e-05,3.909470000e-03,3.791655115e-03,3.772416115e-03,1.178148852e-04,424.778279,426.944612,426.944612,6.249599904e-05,4.646399990e-05,8.854886257e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,8,7.199999996e-08,3.918669000e-03,2.040600000e-05,3.939147000e-03,3.814429988e-03,3.793951988e-03,1.247170118e-04,422.242050,424.521117,424.521117,6.211199984e-05,5.241600052e-05,1.018901142e-05,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,9,7.300000004e-08,3.898853000e-03,1.937300000e-05,3.918299000e-03,3.796245917e-03,3.776799917e-03,1.220530828e-04,424.264595,426.449050,426.449050,6.182400137e-05,5.014400184e-05,1.008507957e-05,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,10,1.210000000e-07,3.893494000e-03,1.884900000e-05,3.912464000e-03,3.787833916e-03,3.768863916e-03,1.246300836e-04,425.206799,427.347013,427.347013,6.255999953e-05,5.219199881e-05,9.878085268e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,11,7.099999988e-08,3.892697000e-03,2.004100000e-05,3.912809000e-03,3.793168030e-03,3.773056030e-03,1.196409697e-04,424.608855,426.872202,426.872202,6.288000196e-05,4.745600000e-05,9.304967764e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,12,7.199999996e-08,3.901729000e-03,1.908200000e-05,3.920883000e-03,3.785361933e-03,3.766207933e-03,1.355210666e-04,425.484475,427.648384,427.648384,6.288000196e-05,6.300800294e-05,9.633061675e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,13,7.399999991e-08,3.889491000e-03,1.896700000e-05,3.908532000e-03,3.788192926e-03,3.769151926e-03,1.203390740e-04,425.166502,427.314358,427.314358,6.220800057e-05,4.879999906e-05,9.331074331e-06,row,0,-1.000000000e+00,-1.000000
cublas,float,local,local,16384,16384,3,1,1,1,14,7.599999985e-08,3.891630000e-03,1.935700000e-05,3.911063000e-03,3.788201072e-03,3.768768072e-03,1.228619279e-04,425.165588,427.357881,427.357881,6.259199977e-05,5.052800104e-05,9.741927062e-06,row,0,-1.000000000e+00,-1.000000
