kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,1,4.700000000e-08,8.596981000e-03,1.960200000e-05,8.616630000e-03,8.493601293e-03,8.473952293e-03,1.230287066e-04,189.626600,190.066297,190.066297,6.239999831e-05,5.187200010e-05,8.756708198e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,2,7.599999996e-08,8.591670000e-03,1.923600000e-05,8.610982000e-03,8.487376308e-03,8.468064308e-03,1.236056918e-04,189.765680,190.198454,190.198454,6.182400137e-05,5.180799961e-05,9.973690851e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,3,6.200000002e-08,8.584667000e-03,1.952200000e-05,8.604251000e-03,8.479040444e-03,8.459456444e-03,1.252105562e-04,189.952241,190.391989,190.391989,6.214400008e-05,5.414399877e-05,8.922557358e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,4,8.600000001e-08,8.408000000e-03,2.474600000e-05,8.432832000e-03,8.282783736e-03,8.257951736e-03,1.500482635e-04,194.453071,195.037800,195.037800,6.239999831e-05,7.625599951e-05,1.139226574e-05,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,5,8.110000000e-07,8.194212000e-03,1.964600000e-05,8.214669000e-03,8.080297202e-03,8.059840202e-03,1.343717977e-04,199.325928,199.831845,199.831845,7.811199874e-05,4.748800024e-05,8.771798688e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,6,7.800000001e-08,8.192027000e-03,2.144600000e-05,8.213551000e-03,8.090867567e-03,8.069343567e-03,1.226834331e-04,199.065517,199.596500,199.596500,6.169600040e-05,5.283199996e-05,8.155432751e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,7,4.300000001e-08,8.138987000e-03,1.961500000e-05,8.158645000e-03,8.039338023e-03,8.019680023e-03,1.193069768e-04,200.341462,200.832543,200.832543,6.332799792e-05,4.697600007e-05,9.002978813e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,8,3.700000017e-08,8.135536000e-03,1.861300000e-05,8.154186000e-03,8.033530180e-03,8.014880180e-03,1.206558196e-04,200.486299,200.952815,200.952815,6.172800064e-05,5.071999878e-05,8.207820223e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,9,3.299999984e-08,8.234795000e-03,1.883900000e-05,8.253667000e-03,8.138168074e-03,8.119296074e-03,1.154989261e-04,197.908512,198.368519,198.368519,6.201599911e-05,4.470400140e-05,8.778925581e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,10,3.699999995e-08,8.232210000e-03,1.821500000e-05,8.250462000e-03,8.128267869e-03,8.110015869e-03,1.221941309e-04,198.149564,198.595510,198.595510,6.195199862e-05,5.145600066e-05,8.786131582e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,11,3.500000001e-08,8.174322000e-03,1.808200000e-05,8.192439000e-03,8.074085285e-03,8.055968285e-03,1.183537154e-04,199.479282,199.927889,199.927889,6.156799942e-05,4.732799903e-05,9.457716945e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,12,3.699999995e-08,8.107413000e-03,1.823300000e-05,8.125683000e-03,8.003709777e-03,7.985439777e-03,1.219732226e-04,201.233276,201.693680,201.693680,6.153599918e-05,5.158400163e-05,8.853221816e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,13,3.399999993e-08,8.155560000e-03,1.977200000e-05,8.175366000e-03,8.054397675e-03,8.034591675e-03,1.209683252e-04,199.966875,200.459812,200.459812,6.211199984e-05,5.081599951e-05,8.040325848e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,14,4.999999992e-08,8.084578000e-03,1.924100000e-05,8.103869000e-03,7.983226852e-03,7.963935852e-03,1.206421479e-04,201.749589,202.238286,202.238286,6.332799792e-05,4.777599871e-05,9.538151315e-06,row,0,-1.000000000e+00,-1.000000
cuda_naive(blk128),float,local,local,16384,16384,3,1,1,1,15,5.199999986e-08,8.116746000e-03,1.855700000e-05,8.135355000e-03,8.017969085e-03,7.999360085e-03,1.173859155e-04,200.875399,201.342697,201.342697,6.188800186e-05,4.713600129e-05,8.361912318e-06,row,0,-1.000000000e+00,-1.000000
