kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,1,8.100000004e-08,2.774904000e-03,1.885100000e-05,2.793836000e-03,2.677364007e-03,2.658432007e-03,1.164719932e-04,601.566590,605.850641,605.850641,6.204799935e-05,4.444799945e-05,9.975994364e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,2,6.899999994e-08,2.791489000e-03,1.891900000e-05,2.810477000e-03,2.690444099e-03,2.671456099e-03,1.200329014e-04,598.641963,602.896951,602.896951,6.284800172e-05,4.723199829e-05,9.952901430e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,3,6.499999994e-08,2.786651000e-03,1.873800000e-05,2.805454000e-03,2.681362986e-03,2.662559986e-03,1.240910139e-04,600.669415,604.911343,604.911343,6.268800050e-05,5.231999978e-05,9.083013601e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,4,5.699999994e-08,2.791518000e-03,1.835500000e-05,2.809930000e-03,2.686828023e-03,2.668416023e-03,1.231019767e-04,599.447647,603.583820,603.583820,6.262400001e-05,5.104000121e-05,9.437975519e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,5,6.099999994e-08,2.788482000e-03,1.816500000e-05,2.806708000e-03,2.684402081e-03,2.666176081e-03,1.223059193e-04,599.989378,604.090910,604.090910,6.323199719e-05,4.934399948e-05,9.729922629e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,6,6.400000008e-08,2.785941000e-03,1.753500000e-05,2.803540000e-03,2.679902925e-03,2.662303925e-03,1.236370754e-04,600.996671,604.969523,604.969523,6.415999681e-05,4.985599965e-05,9.621078983e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,7,6.599999991e-08,2.794536000e-03,1.823400000e-05,2.812836000e-03,2.690267983e-03,2.671967983e-03,1.225680168e-04,598.681152,602.781450,602.781450,6.185600162e-05,5.225599930e-05,8.456015842e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,8,6.200000002e-08,2.779103000e-03,1.756200000e-05,2.796727000e-03,2.679351905e-03,2.661727905e-03,1.173750947e-04,601.120268,605.100444,605.100444,6.176000088e-05,4.614400119e-05,9.471092656e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,9,6.200000002e-08,2.780681000e-03,1.742600000e-05,2.798169000e-03,2.681200025e-03,2.663712025e-03,1.169689753e-04,600.705923,604.649722,604.649722,6.246399879e-05,4.540799931e-05,9.096977210e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,10,8.299999998e-08,2.793921000e-03,2.142600000e-05,2.815430000e-03,2.692324945e-03,2.670815945e-03,1.231050553e-04,598.223754,603.041456,603.041456,6.201599911e-05,5.206400156e-05,9.025054660e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,11,9.299999992e-08,2.790920000e-03,1.818300000e-05,2.809196000e-03,2.684259915e-03,2.665983915e-03,1.249360847e-04,600.021155,604.134454,604.134454,6.355199963e-05,5.334400013e-05,8.040084912e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,12,7.300000004e-08,2.784821000e-03,1.850600000e-05,2.803400000e-03,2.682770961e-03,2.664191961e-03,1.206290387e-04,600.354171,604.540799,604.540799,6.403200328e-05,4.687999934e-05,9.717036088e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,13,7.499999999e-08,2.784653000e-03,1.806900000e-05,2.802797000e-03,2.681471932e-03,2.663327932e-03,1.213250676e-04,600.645010,604.736922,604.736922,6.294400245e-05,4.915200174e-05,9.229063454e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,14,6.800000008e-08,2.809434000e-03,2.440700000e-05,2.833909000e-03,2.687194965e-03,2.662719965e-03,1.467140350e-04,599.365791,604.874999,604.874999,6.252799928e-05,7.334399968e-05,1.084203605e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,15,8.260000000e-07,2.829507000e-03,2.010400000e-05,2.850437000e-03,2.677313991e-03,2.656383991e-03,1.731230088e-04,601.577828,606.317739,606.317739,1.168000028e-04,4.601600021e-05,1.030700579e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,16,9.700000003e-08,2.788312000e-03,1.894800000e-05,2.807357000e-03,2.685413008e-03,2.666368008e-03,1.219439923e-04,599.763512,604.047428,604.047428,6.227200106e-05,5.113599822e-05,8.535993063e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,17,1.009999999e-07,2.778566000e-03,1.925800000e-05,2.797925000e-03,2.682015069e-03,2.662656069e-03,1.159099312e-04,600.523373,604.889514,604.889514,6.233600155e-05,4.524800181e-05,8.325927839e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,18,9.899999998e-08,2.781063000e-03,1.817000000e-05,2.799332000e-03,2.680189071e-03,2.661920071e-03,1.191429294e-04,600.932506,605.056761,605.056761,6.115199998e-05,4.828799888e-05,9.702930487e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,19,1.030000001e-07,2.788025000e-03,1.854800000e-05,2.806676000e-03,2.683067075e-03,2.664416075e-03,1.236089252e-04,600.287913,604.489949,604.489949,6.246399879e-05,5.302400142e-05,8.120925033e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,3,1,1,1,20,8.900000004e-08,2.788162000e-03,1.777300000e-05,2.806024000e-03,2.685285964e-03,2.667423964e-03,1.207380365e-04,599.791887,603.808303,603.808303,6.259199977e-05,4.998400062e-05,8.162036061e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,6,1,1,1,1,2.159999999e-07,2.979832000e-03,4.397400000e-05,3.024022000e-03,2.800638030e-03,2.756448030e-03,2.233839695e-04,1150.175580,1168.614622,1168.614622,1.210559979e-04,9.328000247e-05,9.047969145e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,6,1,1,1,2,2.080000000e-07,2.972981000e-03,4.387200000e-05,3.017061000e-03,2.798416119e-03,2.754336119e-03,2.186448813e-04,1151.088807,1169.510667,1169.510667,1.196480021e-04,9.040000290e-05,8.596876317e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,6,1,1,1,3,1.850000000e-07,2.985559000e-03,4.437200000e-05,3.030116000e-03,2.813453103e-03,2.768896103e-03,2.166628971e-04,1144.936615,1163.360904,1163.360904,1.194880009e-04,8.764799684e-05,9.526899382e-06,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),float,local,local,16384,16384,6,1,1,1,4,1.750000000e-07,2.960779000e-03,4.335300000e-05,3.004307000e-03,2.787943998e-03,2.744415998e-03,2.163630015e-04,1155.412546,1173.738046,1173.738046,1.202239990e-04,8.636800200e-05,9.771000520e-06,column,0,-1.000000000e+00,-1.000000
