kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,1,6.799999996e-08,2.797458000e-03,1.849500000e-05,2.816021000e-03,2.695459095e-03,2.676896095e-03,1.205619047e-04,597.528168,601.671742,601.671742,6.297600269e-05,4.905600101e-05,8.529901023e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,2,5.400000003e-08,2.804710000e-03,2.080600000e-05,2.825570000e-03,2.700763984e-03,2.679903984e-03,1.248060159e-04,596.354493,600.996433,600.996433,6.224000081e-05,5.254400149e-05,1.002201363e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,3,4.600000003e-08,2.816296000e-03,1.803700000e-05,2.834379000e-03,2.694115066e-03,2.676032066e-03,1.402639337e-04,597.826261,601.866008,601.866008,7.868800312e-05,5.152000114e-05,1.005592939e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,4,6.600000002e-08,2.802208000e-03,1.902100000e-05,2.821295000e-03,2.699951096e-03,2.680864096e-03,1.213439043e-04,596.534040,600.781195,600.781195,6.163199991e-05,4.956800118e-05,1.014390322e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,5,5.100000000e-08,2.805758000e-03,1.820000000e-05,2.824009000e-03,2.698794900e-03,2.680543900e-03,1.252141005e-04,596.789603,600.852960,600.852960,6.278400123e-05,5.251200125e-05,9.918097987e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,6,5.100000000e-08,2.801114000e-03,1.786900000e-05,2.819034000e-03,2.700959904e-03,2.683039904e-03,1.180740964e-04,596.311235,600.293993,600.293993,6.236800179e-05,4.598399997e-05,9.722094603e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,7,4.600000003e-08,2.808061000e-03,1.843200000e-05,2.826539000e-03,2.701998079e-03,2.683520079e-03,1.245409213e-04,596.082117,600.186579,600.186579,6.243199855e-05,5.356800184e-05,8.540920953e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,8,4.999999992e-08,2.809118000e-03,1.866900000e-05,2.827837000e-03,2.693534893e-03,2.674815893e-03,1.343021068e-04,597.955029,602.139661,602.139661,7.417599857e-05,5.116799846e-05,8.958109795e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,9,5.100000000e-08,2.830030000e-03,2.566400000e-05,2.855745000e-03,2.701682932e-03,2.675967932e-03,1.540620683e-04,596.151649,601.880432,601.880432,6.527999789e-05,7.849600166e-05,1.028606871e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,10,8.339999999e-07,2.809935000e-03,2.022200000e-05,2.830991000e-03,2.692159954e-03,2.671103954e-03,1.388310457e-04,598.260417,602.976434,602.976434,8.111999929e-05,4.806400090e-05,9.647045491e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,11,6.600000013e-08,2.797599000e-03,2.002300000e-05,2.817688000e-03,2.698264926e-03,2.678175926e-03,1.194230738e-04,596.906820,601.384218,601.384218,6.284800172e-05,4.777599871e-05,8.799073361e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,12,4.799999997e-08,2.799350000e-03,1.893000000e-05,2.818328000e-03,2.696993947e-03,2.678015947e-03,1.213340527e-04,597.188117,601.420144,601.420144,6.198399886e-05,4.918399826e-05,1.016605554e-05,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,13,4.799999997e-08,2.799201000e-03,1.970400000e-05,2.818953000e-03,2.694760059e-03,2.675008059e-03,1.241929415e-04,597.683171,602.096405,602.096405,6.182400137e-05,5.353600159e-05,8.832938487e-06,row,0,-1.000000000e+00,-1.000000
cuda_warp_smem,float,local,local,16384,16384,3,1,1,1,14,5.200000008e-08,2.794151000e-03,1.920700000e-05,2.813410000e-03,2.695707107e-03,2.676448107e-03,1.177028932e-04,597.473194,601.772451,601.772451,6.227200106e-05,4.553600028e-05,9.894891895e-06,row,0,-1.000000000e+00,-1.000000
