kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,1,1.435400000e-04,1.012203860e-01,1.577000000e-05,1.013763030e-01,1.013763030e-01,-1.000000000e+00,-1.000000000e+00,15.887468,15.911940,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,2,1.335140000e-04,1.013053170e-01,1.592400000e-05,1.014538680e-01,1.014538680e-01,-1.000000000e+00,-1.000000000e+00,15.875321,15.898600,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,3,1.342900000e-04,1.017333170e-01,3.788900000e-05,1.019048690e-01,1.019048690e-01,-1.000000000e+00,-1.000000000e+00,15.805062,15.831714,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,4,1.462850000e-04,1.034077850e-01,1.733600000e-05,1.035663530e-01,1.035663530e-01,-1.000000000e+00,-1.000000000e+00,15.551506,15.575353,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,5,1.479910000e-04,1.015912840e-01,1.600100000e-05,1.017552760e-01,1.017552760e-01,-1.000000000e+00,-1.000000000e+00,15.828297,15.853848,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,6,1.485100000e-04,1.019016520e-01,1.634100000e-05,1.020626600e-01,1.020626600e-01,-1.000000000e+00,-1.000000000e+00,15.780627,15.805561,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,7,1.344900000e-04,1.011257980e-01,1.757000000e-05,1.012771420e-01,1.012771420e-01,-1.000000000e+00,-1.000000000e+00,15.903023,15.926823,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,8,1.371980000e-04,1.004823670e-01,1.611600000e-05,1.006341010e-01,1.006341010e-01,-1.000000000e+00,-1.000000000e+00,16.004642,16.028810,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,9,1.400020000e-04,1.015590960e-01,1.629400000e-05,1.017135210e-01,1.017135210e-01,-1.000000000e+00,-1.000000000e+00,15.834795,15.858872,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,local,local,16384,16384,3,4,4,1,10,1.318790000e-04,1.035691340e-01,2.785300000e-05,1.037277720e-01,1.037277720e-01,-1.000000000e+00,-1.000000000e+00,15.527305,15.551088,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
