kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,1,2.979480000e-04,9.058207800e-02,1.085100000e-05,9.089052000e-02,9.089052000e-02,-1.000000000e+00,-1.000000000e+00,17.720360,17.780700,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,2,2.999010000e-04,9.064747000e-02,2.121500000e-05,9.095578100e-02,9.095578100e-02,-1.000000000e+00,-1.000000000e+00,17.707646,17.767873,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,3,2.923680000e-04,9.168662100e-02,3.175900000e-05,9.200905500e-02,9.200905500e-02,-1.000000000e+00,-1.000000000e+00,17.504937,17.566497,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,4,2.967110000e-04,8.898699800e-02,1.136000000e-05,8.928683800e-02,8.928683800e-02,-1.000000000e+00,-1.000000000e+00,18.038636,18.099416,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,5,3.027000000e-04,9.196511500e-02,1.423300000e-05,9.225390000e-02,9.225390000e-02,-1.000000000e+00,-1.000000000e+00,17.458479,17.513301,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,6,2.937090000e-04,9.256659900e-02,1.176500000e-05,9.287077200e-02,9.287077200e-02,-1.000000000e+00,-1.000000000e+00,17.342515,17.399502,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,7,3.210800000e-04,9.175663100e-02,1.568800000e-05,9.209339900e-02,9.209339900e-02,-1.000000000e+00,-1.000000000e+00,17.488905,17.553094,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,8,2.890660000e-04,9.056714200e-02,1.143300000e-05,9.086392100e-02,9.086392100e-02,-1.000000000e+00,-1.000000000e+00,17.725547,17.783632,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,9,3.157360000e-04,9.268074300e-02,1.247300000e-05,9.300478600e-02,9.300478600e-02,-1.000000000e+00,-1.000000000e+00,17.317525,17.378073,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,10,3.094500000e-04,9.055319900e-02,3.022000000e-05,9.085724200e-02,9.085724200e-02,-1.000000000e+00,-1.000000000e+00,17.726850,17.786370,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,11,3.908800000e-04,8.889915500e-02,1.045600000e-05,8.930036800e-02,8.930036800e-02,-1.000000000e+00,-1.000000000e+00,18.035903,18.117301,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,12,2.970470000e-04,8.929814100e-02,1.052700000e-05,8.960266500e-02,8.960266500e-02,-1.000000000e+00,-1.000000000e+00,17.975054,18.036352,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,13,3.031620000e-04,8.949414700e-02,3.466400000e-05,8.980420600e-02,8.980420600e-02,-1.000000000e+00,-1.000000000e+00,17.934714,17.996850,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,14,3.066470000e-04,9.074743400e-02,1.229100000e-05,9.106445800e-02,9.106445800e-02,-1.000000000e+00,-1.000000000e+00,17.686513,17.748301,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,15,2.865340000e-04,9.010983900e-02,1.546400000e-05,9.041145400e-02,9.041145400e-02,-1.000000000e+00,-1.000000000e+00,17.814255,17.873883,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,16,3.046690000e-04,8.755263200e-02,2.868300000e-05,8.784823600e-02,8.784823600e-02,-1.000000000e+00,-1.000000000e+00,18.334036,18.395937,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,8,8,1,17,2.924860000e-04,8.926816800e-02,1.074200000e-05,8.956877300e-02,8.956877300e-02,-1.000000000e+00,-1.000000000e+00,17.981856,18.042408,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
