kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
scheme_a,double,local,local,16384,16384,3,8,8,1,1,2.178740000e-04,6.206623700e-02,1.321600000e-05,6.229294900e-02,6.229294900e-02,-1.000000000e+00,-1.000000000e+00,25.855458,25.949901,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,2,2.111520000e-04,6.403029600e-02,1.069900000e-05,6.424570500e-02,6.424570500e-02,-1.000000000e+00,-1.000000000e+00,25.069578,25.153917,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,3,2.090050000e-04,6.220316500e-02,1.180400000e-05,6.242181100e-02,6.242181100e-02,-1.000000000e+00,-1.000000000e+00,25.802083,25.892778,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,4,2.075190000e-04,6.196438300e-02,1.212100000e-05,6.218113900e-02,6.218113900e-02,-1.000000000e+00,-1.000000000e+00,25.901950,25.992557,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,5,2.205800000e-04,6.146691800e-02,1.348600000e-05,6.168432800e-02,6.168432800e-02,-1.000000000e+00,-1.000000000e+00,26.110566,26.202920,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,6,2.185650000e-04,6.126343800e-02,1.259600000e-05,6.148136800e-02,6.148136800e-02,-1.000000000e+00,-1.000000000e+00,26.196762,26.289950,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,7,2.090310000e-04,6.130750200e-02,1.454200000e-05,6.152539500e-02,6.152539500e-02,-1.000000000e+00,-1.000000000e+00,26.178015,26.271055,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,8,2.053110000e-04,6.205501900e-02,1.252300000e-05,6.226474000e-02,6.226474000e-02,-1.000000000e+00,-1.000000000e+00,25.867172,25.954593,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,9,2.099380000e-04,6.234223100e-02,4.012600000e-05,6.257459800e-02,6.257459800e-02,-1.000000000e+00,-1.000000000e+00,25.739082,25.835019,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,10,2.241110000e-04,6.194644100e-02,1.346000000e-05,6.217985000e-02,6.217985000e-02,-1.000000000e+00,-1.000000000e+00,25.902487,26.000085,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,11,2.167580000e-04,6.132400100e-02,2.124000000e-05,6.155033800e-02,6.155033800e-02,-1.000000000e+00,-1.000000000e+00,26.167407,26.263987,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,12,2.047740000e-04,6.158858700e-02,1.275700000e-05,6.179228600e-02,6.179228600e-02,-1.000000000e+00,-1.000000000e+00,26.064948,26.151156,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,local,local,16384,16384,3,8,8,1,13,2.138180000e-04,6.224902100e-02,1.242200000e-05,6.247267600e-02,6.247267600e-02,-1.000000000e+00,-1.000000000e+00,25.781075,25.873704,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
