kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,1,2.150000000e-07,3.941873960e-01,5.049300000e-05,3.942381040e-01,3.942381040e-01,-1.000000000e+00,-1.000000000e+00,4.085381,4.085906,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,2,1.909999998e-07,3.891930810e-01,1.580760000e-04,3.893513480e-01,3.893513480e-01,-1.000000000e+00,-1.000000000e+00,4.136656,4.138339,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,3,1.549999995e-07,3.899054110e-01,5.422400000e-05,3.899597900e-01,3.899597900e-01,-1.000000000e+00,-1.000000000e+00,4.130202,4.130778,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,4,1.798000000e-06,3.898152590e-01,6.010900000e-05,3.898771660e-01,3.898771660e-01,-1.000000000e+00,-1.000000000e+00,4.131077,4.131733,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,5,1.460000005e-07,3.879551530e-01,5.047600000e-05,3.880057750e-01,3.880057750e-01,-1.000000000e+00,-1.000000000e+00,4.151002,4.151544,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,6,1.599999999e-07,3.913985580e-01,5.594000000e-05,3.914546580e-01,3.914546580e-01,-1.000000000e+00,-1.000000000e+00,4.114430,4.115020,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,7,1.849999993e-07,3.911580990e-01,1.524630000e-04,3.913107470e-01,3.913107470e-01,-1.000000000e+00,-1.000000000e+00,4.115943,4.117549,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,8,2.060000002e-07,3.907595610e-01,5.380600000e-05,3.908135730e-01,3.908135730e-01,-1.000000000e+00,-1.000000000e+00,4.121179,4.121749,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,9,2.139999999e-07,3.882010630e-01,6.388100000e-05,3.882651580e-01,3.882651580e-01,-1.000000000e+00,-1.000000000e+00,4.148229,4.148914,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,10,1.904000000e-06,3.929000360e-01,5.130100000e-05,3.929532410e-01,3.929532410e-01,-1.000000000e+00,-1.000000000e+00,4.098739,4.099294,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,16384,16384,3,1,1,1,11,1.520000001e-07,3.928657940e-01,5.429200000e-05,3.929202380e-01,3.929202380e-01,-1.000000000e+00,-1.000000000e+00,4.099083,4.099651,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
