kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
scheme_a_jblock_rb,double,global,global,16384,16384,3,2,1,2,20,3.611000001e-07,2.058542919e-07,1.787950982e-01,2.518812442e-03,5.926271700e-03,2.439992500e-03,1.789513574e-01,1.789576345e-01,1.751569900e-01,2.520763599e-03,1.408630611e+00,1.789513574e-01,1.789576345e-01,1.751569900e-01,2.520763599e-03,1.408630611e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,3.785011359e-06,9.000282,9.008148,-1.000000,-1,2730,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.818900975e-05,7.077674110e-01,1.404062009e+00,3.204690001e-04,5.191568023e-03,1.409285251e+00,2.334629826e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,6,2,1,2,20,4.104999999e-07,2.276933534e-07,3.633748274e-01,2.877230709e-03,1.292868050e-03,7.921014751e-04,3.637046641e-01,3.640427650e-01,3.587979060e-01,2.901126728e-03,7.976600286e-01,3.637046641e-01,3.640427650e-01,3.587979060e-01,2.901126728e-03,7.976600286e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,3.169989213e-06,8.856707,8.864746,-1.000000,-1,1365,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.423198359e-05,6.997127020e-01,1.389938968e+00,5.859600205e-04,5.704996991e-03,1.395674423e+00,2.407389984e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,8,2,1,2,20,3.314499999e-07,1.015809116e-07,5.802259996e-01,3.523353517e-03,1.764131350e-03,7.131660070e-04,5.806714956e-01,5.802921835e-01,5.759177540e-01,3.550262957e-03,6.114064465e-01,5.806714956e-01,5.802921835e-01,5.759177540e-01,3.550262957e-03,6.114064465e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,3.420980647e-06,7.396553,7.402232,-1.000000,-1,1024,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.965499880e-05,6.993600960e-01,1.390985642e+00,6.932569959e-04,5.935130001e-03,1.396946240e+00,2.368380083e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,20,2,1,2,20,3.879999999e-07,1.263074777e-07,1.452971171e+00,1.419601684e-02,4.393815400e-03,3.956020565e-03,1.453891215e+00,1.450022339e+00,1.423047014e+00,1.417445328e-02,9.749321771e-01,1.453891215e+00,1.450022339e+00,1.423047014e+00,1.417445328e-02,9.749321771e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,3.938999726e-06,7.385297,7.389973,-1.000000,-1,409,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.866299474e-05,6.979476010e-01,1.387600305e+00,1.718145999e-03,7.869398978e-03,1.395500210e+00,1.286598601e-02,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,32,2,1,2,20,3.846999993e-07,1.332848560e-07,2.531773035e+00,5.731149803e-02,7.188435600e-03,6.685404317e-03,2.533256303e+00,2.530180167e+00,2.407249597e+00,5.732167131e-02,2.262766355e+00,2.533256303e+00,2.530180167e+00,2.407249597e+00,5.732167131e-02,2.262766355e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,3.054999979e-06,6.781734,6.785707,-1.000000,-1,256,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.643799573e-05,6.984264470e-01,1.389453183e+00,1.946988981e-03,7.845525019e-03,1.397329165e+00,2.764249803e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,3,2,2,1,20,1.056341500e-04,1.775444270e-05,1.761848854e-01,2.125422995e-03,3.811105000e-05,1.595999811e-05,1.763271677e-01,1.763725985e-01,1.714054560e-01,2.126670809e-03,1.206093670e+00,1.763271677e-01,1.763725985e-01,1.714054560e-01,2.126670809e-03,1.206093670e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.447013346e-06,9.134229,9.141606,-1.000000,-1,2730,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.063702025e-05,6.883308980e-01,1.343685883e+00,2.936460078e-04,2.421039972e-04,1.344244382e+00,1.635660010e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,6,2,2,1,20,1.992283500e-04,1.336376346e-05,3.664647313e-01,3.033941856e-03,8.167185000e-05,4.372382360e-05,3.667324607e-01,3.670868210e-01,3.583951820e-01,3.044111754e-03,8.300633515e-01,3.667324607e-01,3.670868210e-01,3.583951820e-01,3.044111754e-03,8.300633515e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.948996214e-06,8.783584,8.790001,-1.000000,-1,1365,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.325598664e-05,6.811462850e-01,1.333819175e+00,5.899980024e-04,4.034949816e-04,1.334830092e+00,1.680279966e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,8,2,2,1,20,2.848743500e-04,3.842335350e-05,5.677627466e-01,1.541163644e-02,1.305495000e-04,7.856300044e-05,5.681475401e-01,5.771099150e-01,5.484240130e-01,1.541308467e-02,2.712866567e+00,5.681475401e-01,5.771099150e-01,5.484240130e-01,1.541308467e-02,2.712866567e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.281005098e-06,7.559599,7.564722,-1.000000,-1,1024,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.032901441e-05,6.984073480e-01,1.355764406e+00,6.662730011e-04,5.290039990e-04,1.356980384e+00,2.999240241e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,20,2,2,1,20,6.450948000e-04,3.728152405e-05,1.435475744e+00,3.093435213e-02,3.403507000e-04,1.663071504e-04,1.436406827e+00,1.439494278e+00,1.389897494e+00,3.092506872e-02,2.152946375e+00,1.436406827e+00,1.439494278e+00,1.389897494e+00,3.092506872e-02,2.152946375e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,5.378999049e-06,7.475193,7.480042,-1.000000,-1,409,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.818400390e-05,6.992257610e-01,1.353674333e+00,1.649390004e-03,1.533274015e-03,1.356872360e+00,1.741960004e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,16384,16384,32,2,2,1,20,8.467803500e-04,1.561600233e-05,2.442713876e+00,4.477422103e-02,5.186453000e-04,2.812954124e-04,2.443976527e+00,2.469950340e+00,2.377460910e+00,4.476071986e-02,1.831470940e+00,2.443976527e+00,2.469950340e+00,2.377460910e+00,4.476071986e-02,1.831470940e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,2.178014256e-06,7.029474,7.033107,-1.000000,-1,256,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.018800635e-05,6.825886380e-01,1.336675450e+00,1.903830009e-03,1.160497981e-03,1.339758018e+00,1.549739973e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
