kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
scheme_a,double,global,global,4096,4096,3,2,1,2,20,3.090000000e-07,1.437896856e-07,1.182870655e-02,1.739514055e-04,7.541715000e-05,1.670906082e-05,1.185973935e-02,1.192400600e-02,1.138880900e-02,1.749079454e-04,1.474804296e+00,1.185973935e-02,1.192400600e-02,1.138880900e-02,1.749079454e-04,1.474804296e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,5.744019290e-06,8.487817,8.510085,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,1.701500150e-05,4.488615601e-02,8.839995801e-02,7.858499885e-05,6.104609929e-04,8.903182001e-02,3.965039796e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,6,2,1,2,20,2.895000000e-07,1.012290264e-07,1.264076195e-02,2.849496502e-04,5.906785000e-05,1.338579559e-05,1.269304405e-02,1.271250600e-02,1.212655300e-02,2.877111396e-04,2.266683535e+00,1.269304405e-02,1.271250600e-02,1.212655300e-02,2.877111396e-04,2.266683535e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,8.765025996e-06,15.861175,15.926777,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.133302041e-05,4.473699600e-02,8.799853400e-02,1.517219935e-04,7.406129735e-04,8.876605102e-02,2.561949950e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,8,2,1,2,20,2.590000000e-07,1.026255329e-07,1.287396020e-02,3.958022205e-04,2.563037000e-04,9.641088239e-05,1.294150305e-02,1.281410000e-02,1.268533800e-02,3.996095990e-04,3.087814433e+00,1.294150305e-02,1.281410000e-02,1.268533800e-02,3.996095990e-04,3.087814433e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.128006261e-06,20.742216,20.851040,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.808100544e-05,4.471056198e-02,8.793693699e-02,1.888309780e-04,8.667489747e-04,8.882426098e-02,2.724950027e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,20,2,1,2,20,2.892500000e-07,7.808556373e-08,1.736603590e-02,5.107631670e-04,3.438523500e-04,4.684749994e-05,1.753564235e-02,1.736376900e-02,1.712522900e-02,5.211750145e-04,2.972089668e+00,1.753564235e-02,1.736376900e-02,1.712522900e-02,5.211750145e-04,2.972089668e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,9.429932106e-07,38.269978,38.643744,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.012701589e-05,4.460147800e-02,8.825484500e-02,4.378020240e-04,1.332982007e-03,8.960553701e-02,3.629179846e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,32,2,1,2,20,2.858500000e-07,1.017568179e-07,3.240011205e-02,5.261814442e-04,4.368940500e-04,3.785337062e-05,3.267410615e-02,3.255934150e-02,3.201830300e-02,5.429465381e-04,1.661702804e+00,3.267410615e-02,3.255934150e-02,3.201830300e-02,5.429465381e-04,1.661702804e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.160980901e-06,32.862164,33.140065,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.504899749e-05,4.564882899e-02,8.881140500e-02,6.562090130e-04,1.745221001e-03,9.057646900e-02,2.597499988e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,3,2,2,1,20,2.087495000e-05,4.802424229e-06,1.181023135e-02,1.785413320e-04,8.987950000e-06,4.673209733e-07,1.183973085e-02,1.186493600e-02,1.128922300e-02,1.798955426e-04,1.519422568e+00,1.183973085e-02,1.186493600e-02,1.128922300e-02,1.798955426e-04,1.519422568e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.356995199e-06,8.502161,8.523397,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.085001324e-05,4.395504098e-02,8.533860501e-02,8.037599036e-05,4.944397369e-05,8.548957694e-02,1.760440064e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,6,2,2,1,20,3.025900000e-05,1.163239668e-06,1.284764260e-02,1.816114012e-04,1.658220000e-05,6.472722196e-07,1.289397945e-02,1.283915250e-02,1.275688400e-02,1.823615189e-04,1.414315259e+00,1.289397945e-02,1.283915250e-02,1.275688400e-02,1.823615189e-04,1.414315259e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,5.181995220e-06,15.614000,15.670314,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.321400098e-05,4.459105400e-02,8.563770700e-02,1.444229856e-04,1.089950092e-04,8.591543301e-02,1.902969962e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,8,2,2,1,20,3.951285000e-05,3.958848627e-06,1.282691065e-02,1.177959794e-04,2.322515000e-05,1.106354387e-06,1.288843180e-02,1.288267150e-02,1.267565800e-02,1.189435460e-04,9.228705853e-01,1.288843180e-02,1.288267150e-02,1.267565800e-02,1.189435460e-04,9.228705853e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.265987521e-06,20.827627,20.927522,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,5.837800563e-05,4.399264499e-02,8.551545101e-02,1.655230008e-04,1.501369989e-04,8.588484098e-02,1.887420076e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,20,2,2,1,20,8.394865000e-05,2.974904992e-06,1.949442590e-02,1.048660513e-04,4.990415000e-05,4.006064459e-06,1.962744595e-02,1.958302900e-02,1.949638900e-02,1.071325262e-04,5.458301932e-01,1.962744595e-02,1.958302900e-02,1.949638900e-02,1.071325262e-04,5.458301932e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,6.288988516e-06,34.191338,34.424642,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,1.463889988e-03,4.457794302e-02,8.556372699e-02,4.196579976e-04,3.563700011e-04,8.780175404e-02,1.921420044e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a,double,global,global,4096,4096,32,2,2,1,20,1.455813000e-04,1.128780380e-05,5.678844895e-02,5.907561643e-04,9.952795000e-05,3.958404682e-05,5.702768490e-02,5.683751000e-02,5.621056400e-02,6.068168680e-04,1.064074176e+00,5.702768490e-02,5.683751000e-02,5.621056400e-02,6.068168680e-04,1.064074176e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.117005013e-06,18.828431,18.907750,-1.000000,-1,-1,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.188601113e-05,4.448728400e-02,8.586149800e-02,6.952350086e-04,5.360399955e-04,8.712340301e-02,1.974979823e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
