kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
scheme_a_jblock,double,global,global,8192,8192,3,2,1,2,20,1.470500000e-06,3.019827505e-06,4.895400930e-02,6.034020496e-04,1.303786500e-04,1.290961287e-04,4.901145245e-02,4.892251900e-02,4.810248000e-02,6.101447428e-04,1.244902390e+00,4.901145245e-02,4.892251900e-02,4.810248000e-02,6.101447428e-04,1.244902390e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.342996256e-06,8.215492,8.225132,-1.000000,-1,2730,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,5.525001325e-05,1.727798170e-01,3.461063330e-01,1.671139908e-04,1.554137998e-03,3.477154720e-01,1.786980138e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,6,2,1,2,20,2.226500000e-07,8.545067829e-08,5.018675975e-02,8.058002038e-04,3.430441000e-04,1.232415940e-04,5.030314160e-02,5.039271150e-02,4.861448000e-02,8.147794246e-04,1.619738646e+00,5.030314160e-02,5.039271150e-02,4.861448000e-02,8.147794246e-04,1.619738646e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.218984835e-06,16.009067,16.046192,-1.000000,-1,1365,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.935700468e-05,1.721547980e-01,3.449237450e-01,3.032080131e-04,1.786343986e-03,3.467337300e-01,2.651120012e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,8,2,1,2,20,2.500500000e-07,8.037574590e-08,5.115746870e-02,5.696130563e-04,3.163365000e-04,1.279180885e-04,5.131620715e-02,5.112204150e-02,5.080523200e-02,5.807023884e-04,1.131615956e+00,5.131620715e-02,5.112204150e-02,5.080523200e-02,5.807023884e-04,1.131615956e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.136009814e-06,20.924029,20.988955,-1.000000,-1,1024,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,7.302599261e-05,1.751776810e-01,3.487890880e-01,3.482949978e-04,1.921898016e-03,3.507826800e-01,2.690029796e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,20,2,1,2,20,3.239500000e-07,1.366480208e-07,7.649450585e-02,1.935711846e-03,9.322257500e-04,9.836303954e-05,7.694597675e-02,7.798652250e-02,7.408670900e-02,1.948662428e-03,2.532507234e+00,7.694597675e-02,7.798652250e-02,7.408670900e-02,1.948662428e-03,2.532507234e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.560023520e-06,34.886224,35.092122,-1.000000,-1,409,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.490100451e-05,1.726887140e-01,3.462539870e-01,8.238110167e-04,2.860462992e-03,3.491366820e-01,2.518609981e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,32,2,1,2,20,3.741000000e-07,1.110229469e-07,1.381738198e-01,1.690982026e-03,1.131452400e-03,2.283760413e-04,1.389517432e-01,1.386282135e-01,1.369883260e-01,1.726878967e-03,1.242790431e+00,1.389517432e-01,1.386282135e-01,1.369883260e-01,1.726878967e-03,1.242790431e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.438020263e-06,30.909776,31.083799,-1.000000,-1,256,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.364300937e-05,1.805356410e-01,3.545995010e-01,1.383572002e-03,3.877448995e-03,3.585030910e-01,2.831759921e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,3,2,2,1,20,3.417685000e-05,7.469566445e-06,4.879118735e-02,3.686925517e-04,1.713980000e-05,6.527786057e-06,4.884184110e-02,4.876055950e-02,4.861261500e-02,3.693434782e-04,7.562030217e-01,4.884184110e-02,4.876055950e-02,4.861261500e-02,3.693434782e-04,7.562030217e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.236010576e-06,8.244021,8.252580,-1.000000,-1,2730,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.989298082e-05,1.774428240e-01,3.417890190e-01,1.598479867e-04,1.008200052e-04,3.420698680e-01,1.790120150e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,6,2,2,1,20,5.926970000e-05,8.600960755e-06,4.962430730e-02,4.666269698e-04,3.356725000e-05,1.303680119e-05,4.971654975e-02,4.982394800e-02,4.862033400e-02,4.709193559e-04,9.472084411e-01,4.971654975e-02,4.982394800e-02,4.862033400e-02,4.709193559e-04,9.472084411e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.476000762e-06,16.197954,16.228063,-1.000000,-1,1365,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.742599463e-05,1.781431960e-01,3.433426210e-01,2.855040075e-04,1.910089923e-04,3.438444459e-01,1.872130088e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,8,2,2,1,20,8.547510000e-05,2.102005194e-05,5.212420040e-02,6.074391528e-04,4.702350000e-05,2.339519698e-05,5.225456095e-02,5.213460900e-02,5.137285000e-02,6.046527470e-04,1.157129131e+00,5.225456095e-02,5.213460900e-02,5.137285000e-02,6.046527470e-04,1.157129131e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.853011781e-06,20.548289,20.599680,-1.000000,-1,1024,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,3.264500992e-05,1.779895860e-01,3.434220490e-01,3.524589993e-04,2.809579892e-04,3.440854230e-01,2.025979920e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,20,2,2,1,20,2.942569000e-04,5.047546466e-05,7.576544955e-02,1.426745195e-03,1.109865500e-04,4.074624689e-05,7.616879335e-02,7.567218400e-02,7.434678700e-02,1.412835054e-03,1.854873882e+00,7.616879335e-02,7.567218400e-02,7.434678700e-02,1.412835054e-03,1.854873882e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.325010089e-06,35.242183,35.429798,-1.000000,-1,409,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.361697261e-05,1.757058770e-01,3.412306930e-01,7.990720042e-04,7.382519834e-04,3.427882520e-01,2.191849926e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
scheme_a_jblock,double,global,global,8192,8192,32,2,2,1,20,5.553900500e-04,9.652159527e-05,1.387476108e-01,1.029820981e-03,2.071652000e-04,9.261131144e-05,1.395073762e-01,1.394207165e-01,1.378750040e-01,1.063794046e-03,7.625360574e-01,1.395073762e-01,1.394207165e-01,1.378750040e-01,1.063794046e-03,7.625360574e-01,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,1.499021892e-06,30.786668,30.955252,-1.000000,-1,256,-1.000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,-1.000000,-1.000000000e+00,0.000000000e+00,2.656297875e-05,1.760439650e-01,3.416566680e-01,1.257383992e-03,1.293205016e-03,3.442302020e-01,2.036340011e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
