kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,1,5.080000001e-07,2.098574900e-02,8.268000000e-04,2.124523900e-02,2.124523900e-02,-1.000000000e+00,-1.000000000e+00,18.952631,19.186982,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,2,6.070000000e-07,2.084538100e-02,5.975770000e-04,2.110027000e-02,2.110027000e-02,-1.000000000e+00,-1.000000000e+00,19.082845,19.316183,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,3,3.319999999e-07,2.068219400e-02,4.468220000e-04,2.089995800e-02,2.089995800e-02,-1.000000000e+00,-1.000000000e+00,19.265741,19.468591,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,4,3.880000000e-07,2.097787400e-02,5.736490000e-04,2.121735700e-02,2.121735700e-02,-1.000000000e+00,-1.000000000e+00,18.977537,19.194185,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,5,2.780000000e-07,2.093162900e-02,4.634280000e-04,2.114545700e-02,2.114545700e-02,-1.000000000e+00,-1.000000000e+00,19.042066,19.236591,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,6,4.500000000e-07,2.109046400e-02,6.318130000e-04,2.129958400e-02,2.129958400e-02,-1.000000000e+00,-1.000000000e+00,18.904275,19.091718,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,7,3.590000001e-07,2.069462600e-02,3.923580000e-04,2.093313800e-02,2.093313800e-02,-1.000000000e+00,-1.000000000e+00,19.235204,19.456896,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,8,2.890000000e-07,2.116015400e-02,6.870190000e-04,2.141397600e-02,2.141397600e-02,-1.000000000e+00,-1.000000000e+00,18.803289,19.028840,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,9,2.860000000e-07,2.054744600e-02,4.651210000e-04,2.077933100e-02,2.077933100e-02,-1.000000000e+00,-1.000000000e+00,19.377582,19.596264,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,10,6.170000000e-07,2.018821600e-02,7.497000000e-04,2.039795700e-02,2.039795700e-02,-1.000000000e+00,-1.000000000e+00,19.739878,19.944961,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,11,3.639999999e-07,2.086723900e-02,5.924570000e-04,2.110104700e-02,2.110104700e-02,-1.000000000e+00,-1.000000000e+00,19.082142,19.295949,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,12,4.840000001e-07,2.089538300e-02,5.491740000e-04,2.113808200e-02,2.113808200e-02,-1.000000000e+00,-1.000000000e+00,19.048710,19.269959,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,13,3.100000000e-07,2.047132000e-02,3.083140000e-04,2.072933300e-02,2.072933300e-02,-1.000000000e+00,-1.000000000e+00,19.424319,19.669136,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,14,4.139999999e-07,2.075410400e-02,2.861480000e-04,2.099109700e-02,2.099109700e-02,-1.000000000e+00,-1.000000000e+00,19.182093,19.401136,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,15,5.480000000e-07,2.067372900e-02,4.168580000e-04,2.091555400e-02,2.091555400e-02,-1.000000000e+00,-1.000000000e+00,19.251376,19.476563,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,16,2.710000000e-07,2.073582100e-02,3.537080000e-04,2.097925500e-02,2.097925500e-02,-1.000000000e+00,-1.000000000e+00,19.192921,19.418242,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,17,3.510000001e-07,2.228550700e-02,3.919430000e-04,2.255836000e-02,2.255836000e-02,-1.000000000e+00,-1.000000000e+00,17.849400,18.067939,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,18,3.230000001e-07,2.076545200e-02,2.882320000e-04,2.100267200e-02,2.100267200e-02,-1.000000000e+00,-1.000000000e+00,19.171522,19.390533,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,19,2.720000000e-07,2.070786300e-02,2.738600000e-04,2.091720200e-02,2.091720200e-02,-1.000000000e+00,-1.000000000e+00,19.249859,19.444459,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,3,4,1,4,20,2.539999999e-07,2.010026500e-02,4.575280000e-04,2.035953200e-02,2.035953200e-02,-1.000000000e+00,-1.000000000e+00,19.777134,20.032233,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,6,4,1,4,1,3.040000000e-07,4.833371400e-02,4.447480000e-04,4.866269500e-02,4.866269500e-02,-1.000000000e+00,-1.000000000e+00,16.548742,16.661380,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,6,4,1,4,2,2.900000000e-07,4.836448800e-02,4.570290000e-04,4.869265300e-02,4.869265300e-02,-1.000000000e+00,-1.000000000e+00,16.538560,16.650778,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a_jblock_rb,double,global,global,8192,8192,6,4,1,4,3,4.200000000e-07,4.836698800e-02,4.572460000e-04,4.868237600e-02,4.868237600e-02,-1.000000000e+00,-1.000000000e+00,16.542051,16.649918,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
