kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
scheme_a,double,global,global,8192,8192,3,2,1,2,1,2.980000000e-07,4.763070900e-02,8.973700000e-05,4.769132800e-02,4.769132800e-02,-1.000000000e+00,-1.000000000e+00,8.442901,8.453647,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,2,3.019999999e-07,4.593236900e-02,6.109300000e-05,4.599236300e-02,4.599236300e-02,-1.000000000e+00,-1.000000000e+00,8.754784,8.766219,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,3,2.910000000e-07,4.661120700e-02,1.335690000e-04,4.668716400e-02,4.668716400e-02,-1.000000000e+00,-1.000000000e+00,8.624494,8.638549,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,4,2.680000000e-07,4.684160800e-02,6.535400000e-05,4.690720000e-02,4.690720000e-02,-1.000000000e+00,-1.000000000e+00,8.584038,8.596058,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,5,2.620000000e-07,4.699741200e-02,1.150400000e-04,4.705528700e-02,4.705528700e-02,-1.000000000e+00,-1.000000000e+00,8.557023,8.567561,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,6,2.649999999e-07,4.856663100e-02,1.453120000e-04,4.863912500e-02,4.863912500e-02,-1.000000000e+00,-1.000000000e+00,8.278381,8.290737,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,7,2.499999999e-07,4.799424100e-02,6.312500000e-05,4.805760400e-02,4.805760400e-02,-1.000000000e+00,-1.000000000e+00,8.378553,8.389615,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,8,3.510000001e-07,4.647392800e-02,7.739600000e-05,4.653298300e-02,4.653298300e-02,-1.000000000e+00,-1.000000000e+00,8.653071,8.664066,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,9,2.380000000e-07,4.789466100e-02,1.288210000e-04,4.797389900e-02,4.797389900e-02,-1.000000000e+00,-1.000000000e+00,8.393172,8.407058,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,10,1.975000000e-06,4.832627800e-02,2.215390000e-04,4.838770300e-02,4.838770300e-02,-1.000000000e+00,-1.000000000e+00,8.321395,8.331972,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,11,3.120000001e-07,4.698777200e-02,1.440570000e-04,4.704793500e-02,4.704793500e-02,-1.000000000e+00,-1.000000000e+00,8.558360,8.569319,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,12,4.950000001e-07,4.737509100e-02,1.558580000e-04,4.743524800e-02,4.743524800e-02,-1.000000000e+00,-1.000000000e+00,8.488481,8.499259,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,13,2.490000000e-07,4.725337300e-02,8.559500000e-05,4.731512100e-02,4.731512100e-02,-1.000000000e+00,-1.000000000e+00,8.510032,8.521152,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,14,2.920000000e-07,4.708178000e-02,8.246100000e-05,4.715370500e-02,4.715370500e-02,-1.000000000e+00,-1.000000000e+00,8.539163,8.552208,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,15,6.210000001e-07,4.719029200e-02,1.603740000e-04,4.725107900e-02,4.725107900e-02,-1.000000000e+00,-1.000000000e+00,8.521566,8.532543,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,16,2.619999999e-07,4.720118800e-02,1.312420000e-04,4.726138600e-02,4.726138600e-02,-1.000000000e+00,-1.000000000e+00,8.519707,8.530573,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,17,2.720000001e-07,4.688027700e-02,1.293660000e-04,4.693996000e-02,4.693996000e-02,-1.000000000e+00,-1.000000000e+00,8.578047,8.588968,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,18,2.620000001e-07,4.731233700e-02,1.224570000e-04,4.737276600e-02,4.737276600e-02,-1.000000000e+00,-1.000000000e+00,8.499676,8.510533,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,19,2.530000001e-07,4.648337900e-02,1.559120000e-04,4.655068200e-02,4.655068200e-02,-1.000000000e+00,-1.000000000e+00,8.649781,8.662305,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,3,2,1,2,20,2.100000001e-07,4.778600500e-02,2.063220000e-04,4.791087200e-02,4.791087200e-02,-1.000000000e+00,-1.000000000e+00,8.404213,8.426174,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,1,3.710000001e-07,5.094410000e-02,4.397590000e-04,5.104816600e-02,5.104816600e-02,-1.000000000e+00,-1.000000000e+00,15.775422,15.807647,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,2,2.670000000e-07,5.210488000e-02,5.197400000e-04,5.219809100e-02,5.219809100e-02,-1.000000000e+00,-1.000000000e+00,15.427889,15.455488,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,3,2.280000000e-07,5.112868800e-02,2.379740000e-04,5.122133700e-02,5.122133700e-02,-1.000000000e+00,-1.000000000e+00,15.722088,15.750578,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,4,3.680000000e-07,5.164508700e-02,4.154730000e-04,5.174851000e-02,5.174851000e-02,-1.000000000e+00,-1.000000000e+00,15.561924,15.593088,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,5,2.290000000e-07,5.090105000e-02,3.373150000e-04,5.100308700e-02,5.100308700e-02,-1.000000000e+00,-1.000000000e+00,15.789365,15.821017,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,6,2.300000000e-07,5.251222200e-02,2.917980000e-04,5.264200200e-02,5.264200200e-02,-1.000000000e+00,-1.000000000e+00,15.297791,15.335599,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,7,2.860000000e-07,5.052800800e-02,2.243860000e-04,5.061914100e-02,5.061914100e-02,-1.000000000e+00,-1.000000000e+00,15.909127,15.937821,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,8,1.970000001e-07,5.200224800e-02,1.387240000e-04,5.213957900e-02,5.213957900e-02,-1.000000000e+00,-1.000000000e+00,15.445203,15.485991,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,9,2.250000000e-07,5.061485600e-02,3.132340000e-04,5.073136300e-02,5.073136300e-02,-1.000000000e+00,-1.000000000e+00,15.873935,15.910474,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
scheme_a,double,global,global,8192,8192,6,2,1,2,10,4.050000000e-07,5.061756400e-02,2.455990000e-04,5.074315100e-02,5.074315100e-02,-1.000000000e+00,-1.000000000e+00,15.870248,15.909623,-1.000000,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,row,0,-1.000000000e+00,-1.000000
