kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cublas,double,global,global,16384,16384,3,2,1,2,20,3.337500000e-07,3.251405972e-07,1.154239279e-01,4.418906351e-05,2.170189750e-03,4.973480577e-05,1.155838258e-01,1.155849945e-01,1.155014080e-01,5.747593967e-05,4.972662851e-02,1.153443202e-01,1.153476261e-01,1.152711466e-01,4.689667472e-05,4.065798355e-02,1.151829338e-01,1.151923676e-01,1.151009903e-01,3.915572097e-05,3.399437719e-02,2.453467436e-04,2.369388863e-05,5.734796620e-01,13.963520,13.983085,13.983085,-1,-1,-1.000e+00,2.976993580e-01,1.602187986e-03,2.536399800e-01,8.466661,1.003423989e-04,1.314831648e-05,3.918742,1.451199993e-04,1.735237723e-05,5.419184,1.604880886e-05,2.444607733e-06,3.100701724e-05,7.304442190e-01,1.418343686e+00,3.037770221e-04,4.069262999e-03,1.995920855e+00,4.111619783e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,6,2,1,2,20,4.011999999e-07,1.162911954e-07,1.155028395e-01,5.530380857e-05,2.247008800e-03,8.985664297e-05,1.158644276e-01,1.158521300e-01,1.157525110e-01,9.865312862e-05,8.514531217e-02,1.154305281e-01,1.154229916e-01,1.153535412e-01,7.606839434e-05,6.589971957e-02,1.150639198e-01,1.150526085e-01,1.150346222e-01,3.360738386e-05,2.920757776e-02,4.389197197e-04,4.655157354e-05,5.484034010e-01,27.906183,27.995096,27.995096,-1,-1,-1.000e+00,2.734436280e-01,1.548339991e-03,2.539000010e-01,8.457990,1.699103996e-04,4.162488337e-06,4.628510,2.614367992e-04,4.488083313e-05,6.016230,1.678689815e-05,1.679734562e-06,3.980399924e-05,7.361664360e-01,1.423751508e+00,6.015960244e-04,1.454305099e-02,1.977953091e+00,4.772490065e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,8,2,1,2,20,5.799499999e-07,3.883918903e-07,1.159557139e-01,9.566444359e-05,1.615542250e-03,1.012290719e-03,1.164115800e-01,1.163955930e-01,1.162560110e-01,1.245451727e-04,1.069869275e-01,1.158317052e-01,1.158153536e-01,1.156994240e-01,9.865331259e-05,8.516952453e-02,1.154052296e-01,1.153932343e-01,1.152490540e-01,1.080253816e-04,9.360527425e-02,5.862927910e-04,5.858272409e-05,5.204853460e-01,37.079376,37.216401,37.216401,-1,-1,-1.000e+00,2.544718630e-01,1.295736001e-03,2.481931400e-01,8.652470,2.224384010e-04,5.664467712e-06,4.714006,3.523856014e-04,5.652942234e-05,5.951299,1.798294728e-05,2.273277554e-06,4.696499673e-05,7.441282290e-01,1.435915427e+00,6.794449873e-04,7.490705000e-03,1.962687087e+00,5.209310038e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,20,2,1,2,20,6.393000000e-07,4.600225508e-07,1.166117830e-01,1.351162611e-04,1.475100800e-03,7.643170947e-04,1.176560470e-01,1.176458375e-01,1.173572330e-01,2.192664517e-04,1.863622460e-01,1.164213114e-01,1.164087004e-01,1.161759896e-01,1.857604932e-04,1.595588393e-01,1.154563343e-01,1.154992790e-01,1.152048035e-01,1.328165099e-04,1.150361396e-01,1.244052263e-03,1.217252757e-04,5.188897420e-01,92.228975,92.999819,92.999819,-1,-1,-1.000e+00,2.464768240e-01,1.926833007e-03,2.530129930e-01,8.487642,5.085151970e-04,1.137177550e-04,5.155087,7.269407958e-04,4.537195501e-05,7.212252,1.887230520e-05,1.358058490e-06,3.112098784e-05,7.281960230e-01,1.425029500e+00,1.183957007e-03,6.800345000e-03,1.950743193e+00,4.803019983e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,32,2,1,2,20,5.990000000e-07,4.690453912e-07,1.173398718e-01,1.206251061e-04,1.753875050e-03,3.385251110e-04,1.190943373e-01,1.190304665e-01,1.186475830e-01,3.735113869e-04,3.136264874e-01,1.173278523e-01,1.172656966e-01,1.169800546e-01,3.530881636e-04,3.009414701e-01,1.155733868e-01,1.155807686e-01,1.155102386e-01,2.783700044e-05,2.408599525e-02,1.766485035e-03,1.124208726e-04,5.142531950e-01,146.426180,148.649007,148.649007,-1,-1,-1.000e+00,2.454005410e-01,1.792786992e-03,2.485463900e-01,8.640172,6.628863901e-04,5.873661672e-06,6.327335,1.084651202e-03,1.108453784e-04,7.733922,2.260181168e-05,1.735217095e-06,2.927597961e-05,7.392568780e-01,1.429880348e+00,2.137527015e-03,1.220535600e-02,1.952204950e+00,4.895059974e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,3,2,2,1,20,8.220765000e-05,1.472129776e-05,1.159809645e-01,1.391239758e-04,4.576365000e-05,1.444753560e-05,1.161050141e-01,1.160748310e-01,1.159293360e-01,1.478533362e-04,1.273444884e-01,1.158192024e-01,1.158145624e-01,1.156694370e-01,7.341643004e-05,6.338882373e-02,1.156978500e-01,1.157078094e-01,1.155491180e-01,7.631194384e-05,6.595796189e-02,2.979545435e-04,1.477183769e-04,5.481286130e-01,13.906267,13.920853,13.920853,-1,-1,-1.000e+00,2.768933160e-01,1.462314016e-03,2.512628350e-01,8.546762,1.764464013e-04,2.337986818e-05,4.457059,1.180576008e-04,1.440286152e-04,3.330713,1.566607486e-05,1.596569751e-06,3.187800758e-05,7.304513690e-01,1.380113838e+00,3.022449964e-04,2.234200074e-04,1.928796530e+00,3.185509995e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,6,2,2,1,20,1.698729500e-04,1.927594027e-05,1.161109857e-01,3.123801880e-05,8.776370000e-05,2.466296443e-05,1.163658438e-01,1.163634045e-01,1.162675780e-01,6.287741469e-05,5.403425324e-02,1.159331223e-01,1.159370155e-01,1.158224073e-01,6.781980352e-05,5.849907445e-02,1.156782642e-01,1.156784630e-01,1.155871353e-01,5.079512793e-05,4.391069339e-02,4.644710627e-04,1.319415034e-05,5.662525000e-01,27.785204,27.846419,27.846419,-1,-1,-1.000e+00,2.652088340e-01,3.258619981e-04,2.703583000e-01,7.943102,3.147648007e-04,3.591604535e-06,4.996950,1.418415993e-04,2.277081486e-05,5.544438,1.589777333e-05,1.858774202e-06,3.412799560e-05,7.163068590e-01,1.374381781e+00,8.335279999e-04,6.026129995e-04,1.942113754e+00,3.919570008e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,8,2,2,1,20,2.184801500e-04,3.217021840e-05,1.162679581e-01,5.237861403e-05,1.132778500e-04,3.358211052e-05,1.165953083e-01,1.166002450e-01,1.164526830e-01,8.239609542e-05,7.066844855e-02,1.159964364e-01,1.160196825e-01,1.158761437e-01,6.727242292e-05,5.799524968e-02,1.156718185e-01,1.156706886e-01,1.155784302e-01,5.099495225e-05,4.408589135e-02,5.988718356e-04,2.197265877e-05,5.340479360e-01,37.026718,37.130628,37.130628,-1,-1,-1.000e+00,2.654884970e-01,1.616021997e-03,2.479860430e-01,8.659696,4.127103999e-04,5.090045100e-06,5.081413,1.927071996e-04,3.404773260e-05,5.441291,1.593380285e-05,1.934279213e-06,3.596401075e-05,7.235669610e-01,1.377689742e+00,7.150940073e-04,6.361120031e-04,1.913122283e+00,3.518400190e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,20,2,2,1,20,7.381677500e-04,1.158178022e-04,1.168362656e-01,3.372006800e-05,2.902257500e-04,7.492273587e-05,1.178579067e-01,1.178185455e-01,1.177145240e-01,1.464702345e-04,1.242769693e-01,1.167022766e-01,1.166763725e-01,1.165159625e-01,1.347721540e-04,1.154837402e-01,1.156868053e-01,1.156908150e-01,1.155206375e-01,4.459332121e-05,3.854659230e-02,1.179219788e-03,1.288849617e-04,5.276096480e-01,92.006930,92.814545,92.814545,-1,-1,-1.000e+00,2.559589910e-01,1.811502007e-03,2.506394270e-01,8.568020,7.625968069e-04,1.178612235e-04,6.875035,4.178784013e-04,5.943577272e-05,6.273212,1.957844036e-05,2.345227577e-06,3.680799273e-05,7.257395360e-01,1.377452596e+00,1.916795998e-03,1.650213002e-03,1.908647756e+00,4.171109758e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
cublas,double,global,global,16384,16384,32,2,2,1,20,8.651604500e-04,3.269297513e-05,1.174374999e-01,1.588794662e-04,5.000065500e-04,1.638303579e-04,1.187992435e-01,1.187149230e-01,1.185733310e-01,2.249845425e-04,1.893821340e-01,1.170456684e-01,1.170035398e-01,1.168942802e-01,1.670082129e-04,1.426863678e-01,1.156839249e-01,1.156814423e-01,1.156411514e-01,2.335737929e-05,2.019068710e-02,1.753575084e-03,1.489403860e-04,5.147612480e-01,146.779197,148.506970,148.506970,-1,-1,-1.000e+00,2.461613990e-01,1.822380989e-03,2.480652190e-01,8.656932,1.119782406e-03,9.140587993e-06,7.491284,6.339871973e-04,1.407046476e-04,6.615755,1.953168719e-05,1.336499113e-06,3.111100523e-05,7.335420400e-01,1.383454166e+00,2.169305983e-03,1.214745018e-03,1.901623325e+00,3.779479885e-04,row,0.000000000e+00,0,-1.000000000e+00,0.000000000e+00,-1.000000
