kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,1,1.720000000e-07,1.114221700e-02,4.319600000e-05,1.118558500e-02,1.096221604e-02,1.091884804e-02,2.233689623e-04,146.924010,147.507570,147.507570,1.212799996e-04,9.219200164e-05,9.896961025e-06,row,1,1.114214200e-02,144.551446
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,2,1.009999999e-07,1.112257200e-02,4.328600000e-05,1.116595900e-02,1.094572312e-02,1.090233612e-02,2.202358794e-04,147.145394,147.730974,147.730974,1.189759970e-04,9.200000018e-05,9.259882245e-06,row,1,1.112243000e-02,144.807631
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,3,1.170000004e-07,1.113337200e-02,4.537100000e-05,1.117886000e-02,1.094286406e-02,1.089737606e-02,2.359959395e-04,147.183838,147.798216,147.798216,1.202239990e-04,1.048000008e-04,1.097193970e-05,row,1,1.113294400e-02,144.670874
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,4,9.399999978e-08,1.119719600e-02,4.476500000e-05,1.124205500e-02,1.101493938e-02,1.097008038e-02,2.271156243e-04,146.220754,146.818681,146.818681,1.232319996e-04,9.385599941e-05,1.002762534e-05,row,1,1.119673400e-02,143.846655
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,5,9.699999959e-08,1.108699300e-02,4.674000000e-05,1.113383000e-02,1.091074100e-02,1.086390400e-02,2.230890007e-04,147.617172,148.253587,148.253587,1.208639964e-04,9.331200272e-05,8.913001507e-06,row,1,1.108685400e-02,145.272296
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,6,1.190000001e-07,1.119957600e-02,4.394700000e-05,1.124364200e-02,1.100845008e-02,1.096438408e-02,2.351919210e-04,146.306948,146.894958,146.894958,1.212799996e-04,1.048960015e-04,9.015919889e-06,row,1,1.119951600e-02,143.810923
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,7,7.999999996e-08,1.108496500e-02,4.370600000e-05,1.112875100e-02,1.090641017e-02,1.086262417e-02,2.223408316e-04,147.675790,148.271054,148.271054,1.210239977e-04,9.078399837e-05,1.053283557e-05,row,1,1.108490300e-02,145.297865
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,8,1.259999998e-07,1.113193100e-02,4.398900000e-05,1.117604600e-02,1.095777886e-02,1.091366386e-02,2.182671359e-04,146.983504,147.577638,147.577638,1.197760031e-04,8.879999816e-05,9.691134637e-06,row,1,1.113179100e-02,144.685858
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,9,9.599999995e-08,1.110484200e-02,4.233300000e-05,1.114727100e-02,1.092700484e-02,1.088457584e-02,2.202661562e-04,147.397458,147.972026,147.972026,1.189439967e-04,9.167999774e-05,9.642161719e-06,row,1,1.110476700e-02,145.037959
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,10,7.899999988e-08,1.089349700e-02,4.347800000e-05,1.093705400e-02,1.071862872e-02,1.067507172e-02,2.184252837e-04,150.262947,150.876058,150.876058,1.191999987e-04,9.062399715e-05,8.601287863e-06,row,1,1.089341800e-02,147.851917
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,11,7.000000002e-08,1.092264000e-02,4.265600000e-05,1.096536600e-02,1.074653383e-02,1.070380783e-02,2.188321692e-04,149.872765,150.471006,150.471006,1.182399988e-04,9.203200042e-05,8.560169950e-06,row,1,1.092255700e-02,147.457481
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,12,1.419999998e-07,1.087393700e-02,4.416800000e-05,1.091824700e-02,1.070501366e-02,1.066070366e-02,2.132333409e-04,150.454057,151.079402,151.079402,1.189119965e-04,8.473599702e-05,9.585347437e-06,row,1,1.087384400e-02,148.118065
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,13,1.489999999e-07,1.083459800e-02,4.298500000e-05,1.087773200e-02,1.065539005e-02,1.061225605e-02,2.223419499e-04,151.154742,151.769118,151.769118,1.182399988e-04,9.513600171e-05,8.965949367e-06,row,1,1.083450800e-02,148.655826
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,14,1.290000000e-07,1.086772800e-02,4.371500000e-05,1.091157200e-02,1.068899609e-02,1.064515209e-02,2.225759080e-04,150.679514,151.300115,151.300115,1.187520027e-04,9.401600063e-05,9.807904676e-06,row,1,1.086764200e-02,148.202594
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,15,1.020000000e-07,1.091812800e-02,4.353600000e-05,1.096176600e-02,1.072754169e-02,1.068390369e-02,2.342243058e-04,150.138101,150.751334,150.751334,1.197120026e-04,1.060800031e-04,8.432300189e-06,row,1,1.091803600e-02,147.518541
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,16,1.180000000e-07,1.085570200e-02,4.404700000e-05,1.089986700e-02,1.067894874e-02,1.063478374e-02,2.209182552e-04,150.821282,151.447625,151.447625,1.191359982e-04,9.209600091e-05,9.686256088e-06,row,1,1.085560600e-02,148.366912
cuda_naive(blk128),double,global,global,16384,16384,3,1,1,1,17,9.299999970e-08,1.077447500e-02,4.544100000e-05,1.082000900e-02,1.059251009e-02,1.054697609e-02,2.274989105e-04,152.052037,152.708485,152.708485,1.304959953e-04,8.764799684e-05,9.354918397e-06,row,1,1.077438200e-02,149.485394
