kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cublas,double,global,global,4096,4096,3,4,1,4,1,1.949999999e-07,6.442609000e-03,6.485300000e-05,6.507304000e-03,1.566424033e-03,1.501376033e-03,4.941744971e-03,64.263120,67.047358,67.047358,4.889952183e-03,3.561599925e-05,4.804240971e-03,row,1,6.441375000e-03,15.627610
cublas,double,global,global,4096,4096,3,4,1,4,2,2.190000000e-07,6.445671000e-03,6.596000000e-05,6.511555000e-03,6.408543879e-03,6.387199879e-03,4.945542969e-03,15.707671,15.760161,15.760161,3.305376053e-03,3.244800121e-05,4.801430004e-03,row,1,6.444277000e-03,15.620572
cublas,double,global,global,4096,4096,3,4,1,4,3,2.070000000e-07,6.442784000e-03,5.868200000e-05,6.501413000e-03,6.407390034e-03,6.387104034e-03,4.942524000e-03,15.710499,15.760397,15.760397,3.305759907e-03,3.689600155e-05,4.792992011e-03,row,1,6.441750000e-03,15.626700
cublas,double,global,global,4096,4096,3,4,1,4,4,2.019999999e-07,6.447149000e-03,6.149800000e-05,6.508480000e-03,1.561283960e-03,1.501183987e-03,4.947196040e-03,64.474688,67.055935,67.055935,4.902751923e-03,3.577600047e-05,4.805933016e-03,row,1,6.446210000e-03,15.615888
cublas,double,global,global,4096,4096,3,4,1,4,5,2.030000000e-07,6.441630000e-03,6.207300000e-05,6.503634000e-03,1.563716048e-03,1.501440048e-03,4.941789979e-03,64.374409,67.044499,67.044499,3.300863981e-03,3.270399943e-05,4.895186014e-03,row,1,6.440604000e-03,15.629481
cublas,double,global,global,4096,4096,3,4,1,4,6,1.990000000e-07,6.442819000e-03,6.157700000e-05,6.504530000e-03,1.562959987e-03,1.502048016e-03,4.943683029e-03,64.405549,67.017362,67.017362,3.301568031e-03,3.241600096e-05,4.894658984e-03,row,1,6.441971000e-03,15.626164
cublas,double,global,global,4096,4096,3,4,1,4,7,2.000000000e-07,6.439712000e-03,6.250800000e-05,6.502224000e-03,1.562900046e-03,1.501536012e-03,4.939542985e-03,64.408019,67.040214,67.040214,3.301887989e-03,3.564799950e-05,4.893568989e-03,row,1,6.438855000e-03,15.633726
cublas,double,global,global,4096,4096,3,4,1,4,8,1.329999999e-07,6.437868000e-03,6.090100000e-05,6.498852000e-03,6.403589913e-03,6.381887913e-03,4.938073942e-03,15.719822,15.773279,15.773279,3.301343918e-03,3.555199876e-05,4.793576056e-03,row,1,6.436945000e-03,15.638365
cublas,double,global,global,4096,4096,3,4,1,4,9,1.320000000e-07,6.445717000e-03,6.284500000e-05,6.508441000e-03,6.415033973e-03,6.386847973e-03,4.945461058e-03,15.691779,15.761029,15.761029,3.304064035e-03,3.510399908e-05,4.802549057e-03,row,1,6.444891000e-03,15.619084
cublas,double,global,global,4096,4096,3,4,1,4,10,1.270000000e-07,6.437255000e-03,6.115000000e-05,6.498478000e-03,6.395557918e-03,6.375711918e-03,4.939110969e-03,15.739564,15.788558,15.788558,3.303071976e-03,3.398400173e-05,4.797808036e-03,row,1,6.436325000e-03,15.639872
cublas,double,global,global,4096,4096,3,4,1,4,11,3.500000000e-07,6.422814000e-03,6.868600000e-05,6.491540000e-03,6.386498817e-03,6.366367817e-03,4.927613962e-03,15.761891,15.811731,15.811731,3.293375969e-03,3.468799964e-05,4.789277959e-03,row,1,6.421748000e-03,15.675373
cublas,double,global,global,4096,4096,3,4,1,4,12,1.620000000e-07,6.435025000e-03,6.461600000e-05,6.499702000e-03,1.560393959e-03,1.495967984e-03,4.939793014e-03,64.511462,67.289740,67.289740,3.293312073e-03,2.992000058e-05,4.892086014e-03,row,1,6.424082000e-03,15.669678
cublas,double,global,global,4096,4096,3,4,1,4,13,1.330000000e-07,6.418296000e-03,5.657200000e-05,6.474875000e-03,6.384204815e-03,6.363135815e-03,4.923250941e-03,15.767554,15.819762,15.819762,3.292639971e-03,2.918400057e-05,4.781752024e-03,row,1,6.417416000e-03,15.685955
cublas,double,global,global,4096,4096,3,4,1,4,14,8.299999998e-08,6.423871000e-03,6.257400000e-05,6.486528000e-03,1.558176996e-03,1.496000051e-03,4.928727941e-03,64.603249,67.288297,67.288297,3.292608023e-03,3.296000138e-05,4.880601949e-03,row,1,6.422903000e-03,15.672554
cublas,double,global,global,4096,4096,3,4,1,4,15,8.999999990e-08,6.422728000e-03,6.322700000e-05,6.486026000e-03,1.558545986e-03,1.496767998e-03,4.927602941e-03,64.587954,67.253774,67.253774,3.291199923e-03,3.158399835e-05,4.877280003e-03,row,1,6.421870000e-03,15.675075
cublas,double,global,global,4096,4096,3,4,1,4,16,1.039999999e-07,6.420579000e-03,6.167000000e-05,6.482214000e-03,6.384808830e-03,6.365183830e-03,4.925027056e-03,15.766063,15.814672,15.814672,3.294303894e-03,3.411199898e-05,4.785104951e-03,row,1,6.419606000e-03,15.680603
cublas,double,global,global,4096,4096,3,4,1,4,17,7.599999996e-08,6.418188000e-03,6.101900000e-05,6.479174000e-03,1.556710959e-03,1.496191978e-03,4.923060941e-03,64.664089,67.279666,67.279666,3.291167974e-03,3.219199926e-05,4.879819031e-03,row,1,6.417424000e-03,15.685935
cublas,double,global,global,4096,4096,3,4,1,4,18,1.060000000e-07,6.427028000e-03,6.107000000e-05,6.488204000e-03,6.384957953e-03,6.365695953e-03,4.930900037e-03,15.765694,15.813400,15.813400,3.294271946e-03,3.561599925e-05,4.788716031e-03,row,1,6.426176000e-03,15.664572
cublas,double,global,global,4096,4096,3,4,1,4,19,9.000000001e-08,6.418858000e-03,6.125300000e-05,6.480174000e-03,6.384929882e-03,6.365151882e-03,4.923817941e-03,15.765764,15.814752,15.814752,3.291968107e-03,3.267199919e-05,4.785249994e-03,row,1,6.418083000e-03,15.684324
cublas,double,global,global,4096,4096,3,4,1,4,20,9.300000003e-08,6.422527000e-03,6.038800000e-05,6.482970000e-03,1.557377029e-03,1.497087955e-03,4.927166983e-03,64.636433,67.239400,67.239400,3.292288065e-03,3.455999866e-05,4.880335043e-03,row,1,6.421690000e-03,15.675515
cublas,double,global,global,4096,4096,6,4,1,4,1,2.859999999e-07,6.478795000e-03,1.073810000e-04,6.586055000e-03,1.608850987e-03,1.501343966e-03,4.978504021e-03,125.136879,134.097580,134.097580,4.912640095e-03,5.174399912e-05,4.817642980e-03,row,1,6.477089000e-03,31.082882
