kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_naive(blk128),double,global,global,4096,4096,3,8,1,8,20,1.291000000e-07,7.194215513e-08,1.365375500e-03,2.485093116e-05,9.434170000e-05,8.100456128e-06,1.459508800e-03,1.468829000e-03,1.377733000e-03,2.932983700e-05,2.009569041e+00,1.649396011e-04,1.657425000e-04,1.510580012e-04,8.377282563e-06,5.079000135e+00,7.181920074e-05,7.168000191e-05,7.036799937e-05,1.361105668e-06,1.895183535e+00,1.295952000e-03,2.480047803e-05,8.843839440e-01,610.303986,1401.620945,1401.620945,-1,-1,-1.000e+00,8.802621300e-01,1.454942700e-02,4.202052980e-03,31.940989,1.208043212e-03,6.334484668e-05,0.081375,3.906399980e-05,3.462168171e-06,20.131886,1.186587100e-03,3.806213930e-05,2.339901403e-05,4.864189401e-02,9.265832999e-02,9.266097913e-05,1.100979160e-01,9.716283940e-01,3.418900014e-04,row,0.000000000e+00,1,1.363864600e-03,2.472484991e-05,73.807397
cuda_naive(blk128),double,global,global,4096,4096,6,8,1,8,20,1.850500000e-07,2.777063009e-08,1.545779350e-03,2.927875524e-06,1.882852000e-04,3.705268122e-06,1.733633800e-03,1.733374000e-03,1.723878000e-03,4.721886483e-06,2.723693137e-01,2.749832003e-04,2.758539984e-04,2.636740027e-04,3.818406336e-06,1.388596224e+00,9.152159989e-05,9.134399891e-05,8.956799656e-05,1.080418860e-06,1.180506964e+00,1.459343100e-03,3.158014011e-06,8.902042230e-01,732.141425,2199.771335,2199.771335,-1,-1,-1.000e+00,8.861163960e-01,1.389310698e-02,4.153383023e-03,32.315278,1.391636795e-03,4.167000525e-06,0.141278,5.629119985e-05,3.375162156e-06,27.941561,1.302355851e-03,4.806108323e-06,3.387400648e-05,4.877848399e-02,9.264844400e-02,1.586019935e-04,1.251200240e-01,9.829286330e-01,3.496489953e-04,row,0.000000000e+00,1,1.544160200e-03,2.976663013e-06,130.379343
cuda_naive(blk128),double,global,global,4096,4096,8,8,1,8,20,2.113000000e-07,2.070621569e-08,1.792525350e-03,5.797178263e-06,2.530903500e-04,6.490277808e-06,2.045184900e-03,2.047151500e-03,2.025832000e-03,1.047217956e-05,5.120407238e-01,4.360571991e-04,3.669779988e-04,3.557350022e-04,3.091009548e-04,7.088541490e+01,1.939440008e-04,1.146880016e-04,1.145280004e-04,3.539616604e-04,1.825071458e+02,1.678909250e-03,5.832376618e-06,8.734084950e-01,615.596891,1384.087442,1384.087442,-1,-1,-1.000e+00,8.688684670e-01,1.199219099e-02,4.860123998e-03,27.616112,1.572406393e-03,6.126663853e-05,0.166715,7.214719951e-05,6.493086981e-06,29.067684,1.515059351e-03,2.268588290e-05,3.173001460e-05,4.865156900e-02,9.248753398e-02,2.041500120e-04,1.140559510e-01,9.593916470e-01,3.581560159e-04,row,0.000000000e+00,1,1.790614150e-03,5.506180626e-06,149.912507
cuda_naive(blk128),double,global,global,4096,4096,20,8,1,8,20,3.466000000e-07,1.092425597e-07,2.985974400e-03,9.630995879e-06,6.968646000e-04,2.973996276e-05,3.682696800e-03,3.680329000e-03,3.631058000e-03,3.387455675e-05,9.198301840e-01,3.214277822e-03,3.160148583e-03,3.009634959e-03,1.547059072e-04,4.813084486e+00,2.707508826e-03,2.702111959e-03,2.685856104e-03,1.994397137e-05,7.366170398e-01,2.669448551e-03,3.350641404e-05,8.973338250e-01,208.783645,247.862032,247.862032,-1,-1,-1.000e+00,8.931480940e-01,2.207034899e-02,4.585853982e-03,29.267772,1.175264005e-04,5.021602573e-06,5.576279,1.752751999e-04,6.812580975e-06,29.912275,2.432259750e-03,1.687099962e-05,3.326599835e-05,4.880300499e-02,9.268777902e-02,4.815899883e-04,1.532995100e-01,9.901228440e-01,3.543749917e-04,row,0.000000000e+00,1,2.983892400e-03,9.560557903e-06,224.903767
cuda_naive(blk128),double,global,global,4096,4096,32,8,1,8,20,4.175500000e-07,8.721930914e-08,4.292365950e-03,4.916584230e-05,1.258669950e-03,2.907936911e-05,5.550379550e-03,5.526992500e-03,5.489791000e-03,5.226283912e-05,9.416083828e-01,4.488935416e-03,4.543658994e-03,4.094786990e-03,2.127716737e-04,4.739913899e+00,3.826561618e-03,3.839856029e-03,3.766880035e-03,4.294769830e-05,1.122357421e+00,3.833999851e-03,4.041420111e-05,8.979058310e-01,239.197432,280.602256,280.602256,-1,-1,-1.000e+00,8.931661930e-01,2.505878502e-02,7.254756987e-03,18.500651,1.937215999e-04,5.444827430e-06,5.412799,3.087887973e-04,4.386797546e-06,27.166167,3.397215855e-03,2.370238014e-05,3.579701297e-05,4.877792302e-02,9.266301300e-02,7.702280127e-04,1.971819070e-01,9.745642990e-01,3.630729916e-04,row,0.000000000e+00,1,4.290214900e-03,4.898339664e-05,250.276932
cuda_naive(blk128),double,global,global,4096,4096,3,8,2,4,20,7.266800000e-06,4.486873447e-06,1.481179450e-03,7.297465194e-06,4.698730000e-05,1.168596842e-05,1.531374350e-03,1.527237500e-03,1.514504000e-03,1.479214906e-05,9.659394556e-01,1.816697014e-04,1.299164987e-04,1.262949979e-04,2.144762247e-04,1.180583350e+02,1.333488025e-04,8.358400315e-05,8.204799891e-05,2.207371919e-04,1.655336890e+02,1.400085301e-03,7.115428352e-06,8.950268010e-01,554.100630,754.887139,754.887139,-1,-1,-1.000e+00,8.907495100e-01,1.657763001e-02,4.465667997e-03,30.055465,1.341088003e-03,3.874408722e-05,0.146603,2.817279985e-05,3.046974797e-06,13.957292,1.270107551e-03,2.158642834e-05,2.238099114e-05,4.784210701e-02,9.120172699e-02,8.110102499e-05,1.500119170e-01,9.699006280e-01,2.376089978e-04,row,0.000000000e+00,1,1.475685500e-03,6.630119484e-06,68.214600
cuda_naive(blk128),double,global,global,4096,4096,6,8,2,4,20,8.428200000e-06,5.056707745e-06,1.621990050e-03,9.290164485e-06,6.615290000e-05,2.204601955e-06,1.693207400e-03,1.693874000e-03,1.676297000e-03,9.634106702e-06,5.689856247e-01,2.278946513e-04,1.668110009e-04,1.569390036e-04,2.701791454e-04,1.185544039e+02,1.591840018e-04,9.575999901e-05,9.433600307e-05,2.810270436e-04,1.765422659e+02,1.529401199e-03,9.115018335e-06,8.857013630e-01,883.419557,1264.741367,1264.741367,-1,-1,-1.000e+00,8.815821250e-01,1.946180701e-02,4.610674019e-03,29.110218,1.470108807e-03,1.145291724e-05,0.267474,4.280159976e-05,5.275485823e-06,18.373893,1.371211949e-03,9.199494912e-06,2.168098581e-05,4.866993401e-02,9.287125699e-02,1.658799883e-04,1.629614000e-01,9.794133710e-01,2.425510029e-04,row,0.000000000e+00,1,1.617842000e-03,9.046896944e-06,124.441442
cuda_naive(blk128),double,global,global,4096,4096,8,8,2,4,20,1.930135000e-05,4.869385774e-06,1.793998350e-03,6.073827149e-06,8.117510000e-05,1.155982366e-05,1.881202150e-03,1.878753500e-03,1.869833000e-03,1.034995129e-05,5.501775174e-01,4.294670016e-04,2.115805001e-04,1.981490023e-04,5.308084574e-04,1.235970297e+02,3.407072015e-04,1.134559996e-04,1.126400009e-04,5.560393962e-04,1.632015390e+02,1.681702901e-03,5.936380748e-06,8.851842040e-01,625.043263,787.877259,787.877259,-1,-1,-1.000e+00,8.792531820e-01,2.566471600e-02,4.996172007e-03,26.864113,1.590667212e-03,5.993721179e-05,0.329603,4.475039989e-05,3.436552638e-06,23.431657,1.517749149e-03,7.652079795e-06,2.968602348e-05,4.878776902e-02,9.222149398e-02,2.029689786e-04,1.184000110e-01,9.650523500e-01,3.322800039e-04,row,0.000000000e+00,1,1.779103000e-03,4.787986051e-06,150.882471
cuda_naive(blk128),double,global,global,4096,4096,20,8,2,4,20,3.187155000e-05,1.534711613e-06,2.975007350e-03,3.822113307e-06,2.706705500e-04,4.836916596e-06,3.259042050e-03,3.257728500e-03,3.251984000e-03,6.690819268e-06,2.053001822e-01,2.975836119e-03,3.003889975e-03,2.799124928e-03,7.192501983e-05,2.416968441e+00,2.754390419e-03,2.804448009e-03,2.673887968e-03,6.601103386e-05,2.396575061e+00,2.638470749e-03,9.829767422e-06,8.827116950e-01,225.512634,243.643252,243.643252,-1,-1,-1.000e+00,8.779897390e-01,2.636866301e-02,4.459274001e-03,30.098560,1.844832003e-04,3.996448513e-06,7.104820,8.000639975e-05,3.100874808e-06,32.765379,2.496969949e-03,3.073928484e-06,3.216302139e-05,4.890621000e-02,9.249337899e-02,4.911180004e-04,1.769260820e-01,9.678464500e-01,3.557169985e-04,row,0.000000000e+00,1,2.955826500e-03,3.977558792e-06,227.039253
cuda_naive(blk128),double,global,global,4096,4096,32,8,2,4,20,5.430535000e-05,3.817800528e-06,4.160798900e-03,5.199084547e-05,3.881433000e-04,1.531767131e-05,4.582796750e-03,4.570653500e-03,4.539688000e-03,5.400951978e-05,1.178527496e+00,4.081282316e-03,4.087564563e-03,3.882547967e-03,8.173379976e-05,2.002649987e+00,3.730582416e-03,3.715328097e-03,3.695391893e-03,5.287303914e-05,1.417286451e+00,3.673288250e-03,3.412555618e-05,9.013999950e-01,263.089329,287.821499,287.821499,-1,-1,-1.000e+00,8.963267790e-01,1.663967798e-02,4.734217975e-03,28.350559,2.817984000e-04,6.533664817e-06,7.442029,1.386320002e-04,5.692866498e-06,30.254948,3.429029050e-03,1.225565112e-05,3.317097435e-05,4.930792400e-02,9.298582200e-02,7.146279968e-04,1.798298570e-01,9.862651390e-01,3.536310105e-04,row,0.000000000e+00,1,4.139399700e-03,5.131650024e-05,259.395541
