kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel,t_h2d_X_s,t_d2h_Y_s,t_launch_overhead_s,x_layout,group_timing,t_local_group_s,gflops_local_group
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,1,1.239999999e-07,8.314290000e-04,5.969560000e-04,8.723230000e-04,6.973439967e-04,1.003519967e-04,7.310770033e-04,144.352424,1003.102074,1003.102074,6.872959733e-04,3.372799978e-05,2.179701710e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,2,1.840000000e-07,8.302310000e-04,6.018980000e-04,8.896680000e-04,7.025419987e-04,1.006079987e-04,7.314150001e-04,143.284382,1000.549632,1000.549632,6.815999746e-04,3.590400144e-05,2.225699098e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,3,1.329999999e-07,8.309340000e-04,5.971110000e-04,8.715030000e-04,6.954510035e-04,9.955199808e-05,7.325660035e-04,144.745346,1011.162990,1011.162990,6.842880249e-04,3.545600176e-05,1.528597696e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,4,1.270000000e-07,8.395970000e-04,5.969350000e-04,8.835630000e-04,6.992420034e-04,1.022080034e-04,7.409410013e-04,143.960597,984.886630,984.886630,7.003840208e-04,3.548799828e-05,2.563500469e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,5,2.020000001e-07,8.303330000e-04,5.973960000e-04,8.827960000e-04,6.961249990e-04,9.964799881e-05,7.308770027e-04,144.605202,1010.188837,1010.188837,6.912959814e-04,3.584000096e-05,1.659100206e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,6,9.000000001e-08,8.251580000e-04,5.985490000e-04,8.656280000e-04,6.968880035e-04,9.958399832e-05,7.268539965e-04,144.446877,1010.838063,1010.838063,6.831039786e-04,3.225599974e-05,1.661401802e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,7,1.340000000e-07,8.384480000e-04,5.983330000e-04,8.790220000e-04,6.987749967e-04,1.003519967e-04,7.389280022e-04,144.056809,1003.102074,1003.102074,6.941120028e-04,3.241600096e-05,1.617600544e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,8,8.500000004e-08,8.338730000e-04,6.059730000e-04,8.749260000e-04,7.044889972e-04,1.008640006e-04,7.355050035e-04,142.888386,998.010146,998.010146,6.926400065e-04,3.385600075e-05,1.600599663e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,9,7.300000004e-08,8.377080000e-04,6.193150000e-04,9.051020000e-04,7.181039994e-04,9.996800125e-05,7.389560006e-04,140.179272,1006.955173,1006.955173,6.922240257e-04,3.471999988e-05,1.642099266e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,10,2.220000000e-07,8.298130000e-04,5.952450000e-04,8.706010000e-04,6.938279968e-04,1.007359996e-04,7.294610033e-04,145.083935,999.278275,999.278275,6.867200136e-04,3.647999838e-05,1.584900797e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,11,1.350000000e-07,8.352550000e-04,6.119320000e-04,8.924910000e-04,7.107319994e-04,1.003519967e-04,7.361829981e-04,141.633268,1003.102074,1003.102074,6.823359728e-04,3.328000009e-05,2.056702525e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,12,1.570000000e-07,8.310750000e-04,5.977160000e-04,8.741700000e-04,6.970370033e-04,1.003519967e-04,7.307230033e-04,144.416000,1003.102074,1003.102074,6.868799925e-04,3.539200127e-05,1.607600307e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,13,1.470000000e-07,8.391140000e-04,5.975840000e-04,8.804960000e-04,6.979020030e-04,1.002240032e-04,7.388899968e-04,144.237007,1004.383110,1004.383110,6.989439726e-04,3.459199890e-05,2.245101076e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,14,7.599999996e-08,8.446610000e-04,6.108240000e-04,8.864240000e-04,7.094369980e-04,9.958399832e-05,7.450770017e-04,141.891805,1010.838063,1010.838063,6.973440051e-04,3.711999953e-05,2.285299643e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,15,5.999999997e-08,8.342950000e-04,5.997890000e-04,8.726650000e-04,6.985989994e-04,1.007039994e-04,7.357670023e-04,144.093101,999.595811,999.595811,6.990399957e-04,3.423999995e-05,1.730401119e-05,column,0,-1.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,4096,4096,3,4,1,4,16,1.199999999e-07,8.360930000e-04,6.002740000e-04,8.964370000e-04,7.005970037e-04,1.009280011e-04,7.351649989e-04,143.682167,997.377288,997.377288,6.938560009e-04,3.724800050e-05,1.692399283e-05,column,0,-1.000000000e+00,-1.000000
