kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp(blk128)(xcol),double,global,global,8192,8192,3,4,1,4,20,1.948000000e-07,2.400570108e-08,1.886343450e-03,6.010665866e-06,1.387404600e-03,4.769142353e-06,1.982250550e-03,1.981673500e-03,1.970129000e-03,9.538824315e-06,4.812118385e-01,1.739439551e-03,1.740858487e-03,1.727905011e-03,4.873014513e-06,2.801485404e-01,3.531087965e-04,3.527199924e-04,3.519360125e-04,8.773534607e-07,2.484654785e-01,1.534953048e-03,5.793240436e-06,4.131486340e-01,231.484436,1140.309129,1140.309129,-1,-1,-1.000e+00,3.808031030e-01,5.158580985e-03,3.196188700e-02,16.797222,1.466540807e-03,2.960735669e-06,0.134062,5.567039996e-05,3.928524686e-06,14.126574,1.791924182e-05,2.846537698e-06,2.487699385e-05,1.857873100e-01,3.652133140e-01,1.562010148e-04,1.239447650e-01,7.801292290e-01,3.229370050e-04,column,3.480599844e-05,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,6,4,1,4,20,1.739000000e-07,3.716520727e-08,3.036033500e-03,4.485505950e-06,1.758440150e-03,3.937703355e-04,3.228334350e-03,3.186465000e-03,3.174363000e-03,7.692060478e-05,2.382671571e+00,3.043820096e-03,3.006323500e-03,2.945308018e-03,8.055539659e-05,2.646522923e+00,2.852580798e-03,2.849359989e-03,2.844255924e-03,6.691262276e-06,2.345687204e-01,2.558827382e-04,2.937282649e-04,4.115424590e-01,264.570948,282.307996,282.307996,-1,-1,-1.000e+00,3.800731280e-01,9.833532997e-03,3.148045900e-02,17.054101,7.515679933e-05,2.567888886e-06,5.231942,1.734287973e-04,2.997278327e-04,9.069220,1.600145871e-05,3.654494860e-06,3.113699495e-05,1.827285440e-01,3.586282090e-01,3.052369866e-04,1.517368400e-01,7.703502010e-01,3.156440216e-04,column,6.793398643e-05,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,8,4,1,4,20,1.662000000e-07,1.338734674e-08,3.889227950e-03,1.891601674e-05,2.095293450e-03,6.253121111e-05,4.203262400e-03,4.204690500e-03,4.107620000e-03,2.724753066e-05,6.482471963e-01,3.969518301e-03,3.972375985e-03,3.867662099e-03,2.961087550e-05,7.459563922e-01,3.679535961e-03,3.672799945e-03,3.580480099e-03,3.201427599e-05,8.700628646e-01,2.354608498e-04,2.810948644e-06,4.171581090e-01,270.496756,291.814467,291.814467,-1,-1,-1.000e+00,3.792226170e-01,1.307246601e-02,3.069546699e-02,17.490234,9.152160101e-05,2.694297356e-06,5.728571,1.348528020e-04,5.626861256e-06,15.551416,1.590949428e-05,2.025933847e-06,4.591100151e-05,1.849791770e-01,3.618198700e-01,3.853310191e-04,1.053600600e-01,7.720679600e-01,3.399990092e-04,column,9.080098243e-05,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,20,4,1,4,20,4.525500000e-07,1.443331216e-07,9.142888350e-03,4.179916804e-05,6.264284500e-03,1.310653517e-03,1.025870080e-02,1.019889600e-02,9.724248000e-03,5.889080453e-04,5.740571411e+00,9.738475026e-03,9.687972375e-03,9.159764118e-03,5.927845622e-04,6.087036837e+00,8.616182470e-03,8.627920151e-03,8.521408081e-03,5.391242367e-05,6.257112573e-01,5.706000097e-04,1.528461552e-05,4.260832730e-01,275.644241,311.548017,311.548017,-1,-1,-1.000e+00,3.926435390e-01,7.240871986e-03,3.369894001e-02,15.931389,2.135247990e-04,4.026157738e-06,6.138491,3.488384023e-04,9.473538432e-06,15.029538,1.954885787e-05,1.735876417e-06,3.918900620e-05,1.932688130e-01,3.711693980e-01,9.838879923e-04,1.213650970e-01,7.810271810e-01,3.546520020e-04,column,2.495580120e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,32,4,1,4,20,6.924000000e-07,9.628046422e-07,1.520400510e-02,1.348068745e-04,4.684484300e-03,9.941854476e-04,1.678374340e-02,1.680920300e-02,1.603216600e-02,5.383298475e-04,3.207448033e+00,1.592824453e-02,1.599404953e-02,1.510788905e-02,5.319822065e-04,3.339867150e+00,1.432925925e-02,1.433644772e-02,1.419472027e-02,7.596395778e-05,5.301317845e-01,9.273348262e-04,1.072285638e-04,4.176743040e-01,269.644736,299.734077,299.734077,-1,-1,-1.000e+00,3.817943130e-01,5.158350017e-03,3.145833302e-02,17.066095,3.492223993e-04,2.557824575e-05,6.005205,5.717664033e-04,1.151171785e-04,14.671390,2.207873538e-05,7.578407444e-06,3.148699761e-05,1.848830930e-01,3.643783890e-01,1.447816001e-03,1.532815870e-01,7.779042380e-01,3.352630010e-04,column,3.879409924e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,3,4,2,2,20,1.785565000e-05,4.188717016e-06,1.852195150e-03,7.250614466e-06,1.306621950e-03,1.939106816e-04,1.897822700e-03,1.892467000e-03,1.886175000e-03,1.619760217e-05,8.534834244e-01,1.796985397e-03,1.794928487e-03,1.785285984e-03,1.167743527e-05,6.498347335e-01,1.745961601e-03,1.747280002e-03,1.733183980e-03,6.945747981e-06,3.978179119e-01,1.151097970e-04,5.088547822e-06,4.097506410e-01,224.071484,230.619725,230.619725,-1,-1,-1.000e+00,3.787811750e-01,7.537172991e-03,3.119098101e-02,17.212377,7.147999927e-05,3.525367835e-06,5.501063,3.413120024e-05,1.392039244e-06,11.520720,1.321580562e-05,1.478774088e-06,4.202098353e-05,1.860257560e-01,3.669208730e-01,1.571090252e-04,1.290790540e-01,7.783828100e-01,2.315999882e-04,column,6.313499762e-05,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,6,4,2,2,20,2.751525000e-05,4.723047911e-06,2.947922400e-03,4.965437368e-06,2.091651350e-03,3.138399767e-04,3.032197650e-03,3.030830500e-03,3.019840000e-03,7.992167832e-06,2.635767438e-01,2.875993091e-03,2.877170501e-03,2.852965011e-03,1.204205721e-05,4.187095320e-01,2.771564817e-03,2.766399980e-03,2.762464046e-03,1.019844241e-05,3.679669458e-01,2.508114962e-04,3.032063316e-04,4.302976920e-01,280.009841,290.560178,290.560178,-1,-1,-1.000e+00,3.991889940e-01,8.565079013e-03,3.077222200e-02,17.446609,1.202479992e-04,3.994368959e-06,6.540084,1.231135985e-04,3.116946145e-04,6.387856,1.288878910e-05,5.938910097e-07,3.160099732e-05,1.834477870e-01,3.644724860e-01,3.059710143e-04,1.674729770e-01,7.968562511e-01,2.255190047e-04,column,1.481430081e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,8,4,2,2,20,4.304875000e-05,8.663558919e-06,3.792558650e-03,6.966181044e-06,2.788135750e-03,5.337198140e-06,3.910213250e-03,3.909629000e-03,3.890932000e-03,1.298086679e-05,3.319733722e-01,3.715401263e-03,3.718357516e-03,3.677819029e-03,1.638710870e-05,4.410589203e-01,3.573444808e-03,3.561728001e-03,3.558239937e-03,1.960040333e-05,5.485016388e-01,2.655167372e-04,1.567081800e-04,4.037704570e-01,288.997540,300.478077,300.478077,-1,-1,-1.000e+00,3.725355780e-01,1.409384300e-02,3.087658901e-02,17.387637,1.530496001e-04,6.376254849e-06,6.851217,1.021807991e-04,1.598168417e-04,10.261967,1.363889974e-05,1.337081773e-06,3.280601231e-05,1.845284240e-01,3.671013270e-01,3.984789946e-04,1.548763830e-01,7.732499710e-01,2.193989931e-04,column,1.996180217e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,20,4,2,2,20,1.202934500e-04,1.511676099e-05,8.862870900e-03,5.299075297e-05,4.458220700e-03,1.288842964e-05,9.158938800e-03,9.148818000e-03,9.075422000e-03,5.966658583e-05,6.514574137e-01,8.690000376e-03,8.682932601e-03,8.606301220e-03,5.850423223e-05,6.732362451e-01,8.392563200e-03,8.388591766e-03,8.298496246e-03,5.329532357e-05,6.350303512e-01,5.209263244e-04,2.419985726e-05,4.143864380e-01,308.901547,319.849192,319.849192,-1,-1,-1.000e+00,3.831261720e-01,5.003211991e-03,3.131649701e-02,17.143390,3.359984025e-04,2.024412812e-05,7.801942,1.758287989e-04,1.018459961e-05,14.909048,1.466689483e-05,8.276384946e-07,3.616200411e-05,1.819444190e-01,3.627758620e-01,9.564119973e-04,1.634308070e-01,7.771892950e-01,4.948010028e-04,column,4.537079949e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,32,4,2,2,20,2.402866500e-04,1.103820696e-04,1.473107230e-02,1.502165175e-04,2.973939950e-03,1.614340643e-04,1.536865520e-02,1.530670900e-02,1.520549200e-02,1.571525222e-04,1.022552202e+00,1.457313052e-02,1.456927545e-02,1.425546970e-02,1.664457921e-04,1.142141641e+00,1.378803363e-02,1.379891157e-02,1.323148823e-02,1.428490854e-04,1.036036677e+00,9.595936329e-04,1.962574666e-04,4.153279720e-01,294.718234,311.499624,311.499624,-1,-1,-1.000e+00,3.795468960e-01,5.879956996e-03,3.093846099e-02,17.352864,5.911632016e-04,1.410058609e-04,7.095002,3.607199997e-04,9.896125893e-05,11.627589,1.750907236e-05,1.080662452e-06,3.757901140e-05,1.904434050e-01,3.686761220e-01,1.493207994e-03,1.655580240e-01,7.774709080e-01,3.254599869e-04,column,8.756419993e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
cuda_warp(blk128)(xcol),double,global,global,8192,8192,3,4,4,1,20,6.065420000e-05,1.866313298e-06,1.947899000e-03,4.251267310e-05,6.473050000e-06,3.838137535e-07,2.011689600e-03,1.997849000e-03,1.991822000e-03,4.168743630e-05,2.072259870e+00,1.881224208e-03,1.869640997e-03,1.835453955e-03,5.522489270e-05,2.935582717e+00,1.817433608e-03,1.806559980e-03,1.768447995e-03,5.713888852e-05,3.143932647e+00,1.582064930e-04,4.742911081e-06,4.221992690e-01,214.037850,221.550423,221.550423,-1,-1,-1.000e+00,3.909713380e-01,1.071926500e-02,3.130107000e-02,17.151839,1.232255992e-04,3.106448434e-06,6.382051,2.646080023e-05,1.826993524e-06,7.430161,1.379270262e-05,8.070948034e-07,3.196700709e-05,1.965359410e-01,3.624949760e-01,1.692030055e-04,1.219889964e-04,7.847239310e-01,2.327270049e-04,column,1.607580052e-04,0,-1.000000000e+00,0.000000000e+00,-1.000000
