kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,reps,t_bcast_mean_s,t_bcast_std_s,t_local_mean_s,t_local_std_s,t_reduce_mean_s,t_reduce_std_s,t_total_mean_s,t_total_median_s,t_total_min_s,t_total_std_s,t_total_cv_pct,t_official_mean_s,t_official_median_s,t_official_min_s,t_official_std_s,t_official_cv_pct,t_kernel_mean_s,t_kernel_median_s,t_kernel_min_s,t_kernel_std_s,t_kernel_cv_pct,t_transfer_runtime_overhead_mean_s,t_transfer_runtime_overhead_std_s,t_setup_s,gflops,gflops_compute,gflops_kernel,blocks_per_sm,x_rows_per_tile,rel_err,t_setup_device_init_s,t_setup_device_alloc_s,t_setup_h2d_A_s,bw_h2d_A_gbs,t_h2d_X_mean_s,t_h2d_X_std_s,bw_h2d_X_gbs,t_d2h_Y_mean_s,t_d2h_Y_std_s,bw_d2h_Y_gbs,t_launch_overhead_mean_s,t_launch_overhead_std_s,t_prep_alloc_buffers_s,t_prep_gen_A_s,t_prep_distrib_A_s,t_prep_gen_X_s,t_prep_distrib_X_s,t_prep_total_s,t_io_csv_raw_s,x_layout,t_prep_convert_X_s,group_timing,t_local_group_mean_s,t_local_group_std_s,gflops_local_group
cuda_warp_smem,double,global,global,8192,8192,3,4,1,4,20,1.348500000e-07,1.770897781e-08,1.900938600e-03,4.186214486e-06,1.056746500e-04,6.582175734e-06,2.006620350e-03,2.005805500e-03,1.992901000e-03,7.882195608e-06,3.928095122e-01,7.407214505e-04,4.607689981e-04,4.540900020e-04,5.728827191e-04,7.734118119e+01,6.497999996e-04,3.584639877e-04,3.562879860e-04,5.985826365e-04,9.211798043e+01,1.546153603e-03,3.861169296e-06,4.045139260e-01,543.595955,619.657101,619.657101,4,512,-1.000e+00,3.726494120e-01,6.665583991e-03,3.110768102e-02,17.258468,1.391076803e-03,1.861035778e-04,0.141335,5.309119951e-05,2.153665855e-06,14.812850,1.377207050e-03,5.625948503e-06,2.567298361e-05,1.860059460e-01,3.638534880e-01,1.670450147e-04,1.475391680e-01,7.684444570e-01,4.274329985e-04,row,0.000000000e+00,1,1.899962800e-03,4.166102010e-06,211.926878
cuda_warp_smem,double,global,global,8192,8192,6,4,1,4,20,2.013500000e-07,4.914776325e-08,3.108930100e-03,4.954724039e-06,3.144234500e-04,1.062852214e-05,3.423370750e-03,3.422748500e-03,3.396794000e-03,1.345962362e-05,3.931687393e-01,3.185411244e-03,3.185275518e-03,3.053461078e-03,4.897027967e-05,1.537329905e+00,2.939230394e-03,2.936239958e-03,2.931904078e-03,1.123360359e-05,3.821954078e-01,2.384684600e-03,1.606576902e-05,4.146465560e-01,252.810801,273.985452,273.985452,4,288,-1.000e+00,3.823811290e-01,1.202894401e-02,3.089801900e-02,17.375577,7.620480098e-05,2.087626612e-06,5.159990,8.799520023e-05,2.869469015e-06,17.874429,2.248594999e-03,4.574231943e-06,2.801200026e-05,1.853931770e-01,3.638763470e-01,2.989459899e-04,1.150152270e-01,7.804366310e-01,3.230280126e-04,row,0.000000000e+00,1,3.107756550e-03,4.909247198e-06,259.127881
cuda_warp_smem,double,global,global,8192,8192,8,4,1,4,20,2.122500000e-07,2.743197327e-08,3.995296600e-03,6.001848079e-06,3.247176500e-04,7.910810766e-06,4.320033550e-03,4.319145000e-03,4.291516000e-03,9.724760138e-06,2.251084401e-01,4.108469537e-03,4.115483512e-03,4.056255008e-03,2.195701503e-05,5.344329520e-01,3.793350387e-03,3.793231964e-03,3.776319981e-03,5.603194442e-06,1.477109645e-01,3.059806000e-03,1.836093808e-05,4.301102440e-01,261.348372,283.058962,283.058962,4,224,-1.000e+00,3.951190430e-01,3.110466001e-03,3.207716899e-02,16.736855,8.947359994e-05,1.433246280e-06,5.859695,1.132991999e-04,3.588349150e-06,18.509857,2.891286001e-03,5.030766127e-06,4.703301238e-05,1.835534570e-01,3.623570840e-01,3.696109925e-04,1.436219560e-01,7.726308430e-01,3.286630090e-04,row,0.000000000e+00,1,3.993892550e-03,5.916804432e-06,268.845947
cuda_warp_smem,double,global,global,8192,8192,20,4,1,4,20,1.809500000e-07,4.127504027e-08,9.839767550e-03,3.088026298e-05,1.207568900e-03,3.165063994e-05,1.104714660e-02,1.104502950e-02,1.098406500e-02,4.524659170e-05,4.095771817e-01,1.035406115e-02,1.034172639e-02,1.030607960e-02,5.261239905e-05,5.081329760e-01,9.440566397e-03,9.445487976e-03,9.337535858e-03,3.507452309e-05,3.715298597e-01,9.090358801e-04,1.746754745e-05,4.011278610e-01,259.256201,284.342533,284.342533,3,128,-1.000e+00,3.691380710e-01,4.610826989e-03,3.107767200e-02,17.275133,1.983215995e-04,1.158692762e-06,6.609063,2.788384005e-04,5.812367553e-06,18.802575,5.042838797e-04,1.097129023e-05,3.281797399e-05,1.834082430e-01,3.618415610e-01,8.653659897e-04,1.450135890e-01,7.632028620e-01,3.324559948e-04,row,0.000000000e+00,1,9.838610300e-03,3.089781238e-05,272.838793
cuda_warp_smem,double,global,global,8192,8192,32,4,1,4,20,5.107500000e-07,7.926811182e-07,1.597641400e-02,4.858858434e-05,1.723445000e-03,1.819661823e-04,1.769921315e-02,1.767222900e-02,1.759494100e-02,1.772840421e-04,1.001649286e+00,1.632749648e-02,1.647293960e-02,1.558927045e-02,3.275988068e-04,2.006423992e+00,1.524598083e-02,1.528216028e-02,1.502595234e-02,7.821305923e-05,5.130077237e-01,5.456741251e-03,5.643549847e-05,4.082750780e-01,263.051185,281.711445,281.711445,2,96,-1.000e+00,3.760311530e-01,9.506970004e-03,3.106740300e-02,17.280843,3.189760000e-04,2.770107300e-05,6.574639,4.751152009e-04,1.440362922e-05,17.655945,4.782366853e-03,2.127160337e-05,3.136502346e-05,1.789693170e-01,3.577428380e-01,1.288378000e-03,1.395731760e-01,7.700623340e-01,3.219489881e-04,row,0.000000000e+00,1,1.597489875e-02,4.880862489e-05,268.857247
cuda_warp_smem,double,global,global,8192,8192,3,4,2,2,20,1.777520000e-05,2.316092867e-06,1.887553350e-03,4.662246333e-06,2.493375000e-05,3.181970473e-06,1.925417700e-03,1.924021500e-03,1.913779000e-03,5.846353682e-06,3.036407987e-01,1.810571599e-03,1.807431499e-03,1.800824962e-03,8.131569179e-06,4.491161346e-01,1.768327999e-03,1.765152037e-03,1.759135962e-03,7.337285635e-06,4.149278663e-01,1.455075397e-03,2.220008031e-05,4.085768400e-01,222.390092,227.702770,227.702770,4,512,-1.000e+00,3.711652580e-01,5.869068002e-03,3.048252102e-02,17.612418,7.207519971e-05,4.826552036e-06,5.455635,3.418880031e-05,1.562142009e-06,11.501310,1.372036997e-03,9.616613167e-06,2.041397966e-05,1.783240950e-01,3.559867280e-01,1.574229973e-04,1.351607140e-01,7.584606530e-01,2.005629940e-04,row,0.000000000e+00,1,1.882171650e-03,3.834776138e-06,213.930108
cuda_warp_smem,double,global,global,8192,8192,6,4,2,2,20,2.646115000e-05,6.111668583e-06,3.030802050e-03,5.924964441e-06,5.678185000e-05,1.345450473e-06,3.102333600e-03,3.099952000e-03,3.091619000e-03,6.889886795e-06,2.220872312e-01,2.887374147e-03,2.877339583e-03,2.872457092e-03,2.250055701e-05,7.792740346e-01,2.842425597e-03,2.833503962e-03,2.827104092e-03,2.251531574e-05,7.921162745e-01,2.315662048e-03,7.557063487e-06,4.065607880e-01,278.906137,283.316604,283.316604,4,288,-1.000e+00,3.704934130e-01,6.338075007e-03,3.071797200e-02,17.477420,1.231856003e-04,1.646235740e-06,6.384123,5.259520002e-05,1.751740007e-06,14.952543,2.200940447e-03,6.013982502e-06,2.668201341e-05,1.790030400e-01,3.571171790e-01,2.994620008e-04,1.396273540e-01,7.595186570e-01,1.971449819e-04,row,0.000000000e+00,1,3.018796000e-03,3.415516005e-06,266.764090
cuda_warp_smem,double,global,global,8192,8192,8,4,2,2,20,4.379515000e-05,7.537462265e-06,3.907802400e-03,1.126843578e-05,7.812055000e-05,5.710815883e-06,4.007011700e-03,4.004009000e-03,3.982340000e-03,1.381385706e-05,3.447421195e-01,3.733797258e-03,3.726139052e-03,3.707760929e-03,2.763482699e-05,7.401266078e-01,3.669756758e-03,3.658032060e-03,3.648191929e-03,2.798350579e-05,7.625438859e-01,2.987722306e-03,1.484328629e-05,4.141777600e-01,287.573682,292.592097,292.592097,4,224,-1.000e+00,3.821095510e-01,5.036440998e-03,3.104609801e-02,17.292702,1.583695993e-04,2.241310788e-06,6.621069,6.454880070e-05,2.215815510e-06,16.244702,2.842795905e-03,8.510882265e-06,2.730300184e-05,1.840684940e-01,3.638302910e-01,3.491769894e-04,1.035108860e-01,7.780308700e-01,3.251699964e-04,row,0.000000000e+00,1,3.884639200e-03,6.512717814e-06,276.407092
cuda_warp_smem,double,global,global,8192,8192,20,4,2,2,20,1.078463500e-04,3.984895380e-06,8.983321000e-03,1.351462048e-05,2.125317500e-04,9.747640248e-06,9.273804850e-03,9.272815500e-03,9.247343000e-03,1.712036888e-05,1.846099757e-01,8.741725802e-03,8.738609615e-03,8.723576291e-03,1.186142968e-05,1.356875055e-01,8.425057602e-03,8.424831867e-03,8.410623550e-03,7.713372890e-06,9.155276147e-02,6.866208510e-03,1.219957351e-05,4.089072100e-01,307.073754,318.615574,318.615574,3,128,-1.000e+00,3.749277710e-01,1.238405198e-02,3.105243601e-02,17.289172,3.701487988e-04,1.743223338e-06,7.082125,1.404303983e-04,4.949013871e-06,18.667183,6.539803710e-03,1.004994889e-05,2.650599345e-05,1.790771670e-01,3.570549850e-01,8.336619940e-04,1.407315220e-01,7.690098360e-01,2.993649978e-04,row,0.000000000e+00,1,8.952534600e-03,1.259617328e-05,299.842970
cuda_warp_smem,double,global,global,8192,8192,32,4,2,2,20,2.438245000e-04,7.010880291e-05,1.543364005e-02,9.188900427e-05,3.769815000e-04,4.811018006e-05,1.597921345e-02,1.593091000e-02,1.588856300e-02,1.316353245e-04,8.237910140e-01,1.487405152e-02,1.480268031e-02,1.478369336e-02,1.804552360e-04,1.213221803e+00,1.447933612e-02,1.445484829e-02,1.444287968e-02,6.839339442e-05,4.723517284e-01,5.032620218e-03,6.770919803e-05,4.188863720e-01,288.755709,296.627363,296.627363,2,96,-1.000e+00,3.823886790e-01,5.410097016e-03,3.089572399e-02,17.376868,5.961839974e-04,2.755047450e-05,7.035251,3.095664024e-04,8.811696235e-05,13.548964,4.454647416e-03,6.970572995e-05,3.086499055e-05,1.782921410e-01,3.554783840e-01,1.302386023e-03,9.416835199e-02,7.630886830e-01,5.072219938e-04,row,0.000000000e+00,1,1.535800470e-02,8.533191169e-05,279.656595
